"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-3-S" "711_E-3-M" "711_P-1-S" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-2-S" "713_E-2-M" "713_E-3-S" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20170700_S33_22" 0 0 0 0 0 0 0 0.1198399 0 0 0 0 0.555412 0.2817453 3.081055 4.0148306 2.3313673 0 0.092994645 0 0 0 0 0 0 0.05637269 0 0.8898848 0 0 0 1.09991 0.9986269 0 3.841061 0 0.16730918 0 0 0 0 0 0 0 0 0.1154877 0 0.09734166 0 0 0 0 1.1164917 1.0476065 0 0 12.843194 11.751029 6.0880795 3.214662 0.9299932 0 0 0 0 0 0 0 2.5870733 11.196473 2.0437014 1.7368616 0 0 2.405393 2.9490588 0.100858845 0.36447364 9.251645 48.45809 0.095182024 0 0 0 0 0 0 0 0 0 0 0 1.7759179 0 0 2.8072674 3.5433676 0 0 35.33915 0.68274313 0 0.26014742 0.81049687 0 0 0 2.1508625 0.40409458 0 0.21276034 0 0.0729859 0.07840355 0 0.30802792 0.26839727 0 0 0 0.19205913 7.7518225 0.8129698 0 10.837607 0.50724256 0 0 0 0 0 0 2.5664358 0 0.057075024 0 0 0 0 0 5.4996023 22.231903 0
"20111000_S1D_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0475569 0.07047514 0.27079248 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26205912 2.2994874 0.22476166 0 1.4266623 0 0 0.2468267 0.24989782 0 0 0 0 0 0 0 0 3.7892962 6.4083843 0 0 0 2.8169692 0.3321515 0.06371123 0 0 1.0394592 0.088996224 0 0.11049419 0 0 0 0 0 0 0 0 1.1973008 1.6446695 0.28751507 0 0 1.12617 0.82524085 0 0 2.2779207 8.231672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.778187 0.06422296 0 0 3.2891269 0 0 1.1940972 0.42643216 0 0 0 0 0 0 0 0 0 0 0 0 1.5847229 0.092011645 0.097002625 0.082004115 0 3.3433547 0.19813305 0 0.8134669 0 0 0 0 0 0 0 0 0 0 0 0.068635434 0 0 0 0.17999776 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.123_97.95_1.37" 0 0 0.16558406 0 0 0 0 0 0 0 0 0 0 0 0.12608947 0 0 0 0 0.42068425 0 0 0 0 0 0 0 0 0 0 0 0.32999894 0.64384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0018096 1.4028807 0 0 0 11.861138 0 0 0 0 0.27328733 0 0 0 0 0 0 0 0 0 0 0 2.9563537 0 0 0 0 0 0 0.061426725 0 3.289802 0.8196357 0 0 0.05808637 0 0 0 0 0 0 0 0 0 0 0 0 0.9875058 0 0 0 1.0795747 0 0 0 0.08091898 0 0.109712094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12435047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.27_76.49_0.00" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08167004 2.5063322 0.06340606 0 0 0.07139779 0 0 0 0 0 0 0 0 0 0 0 0.11562607 0.7013999 1.7687036 0 0.23658416 0 0 0 0 0 0 0 0 0 0 0 0 3.2025921 3.0028882 0.23981157 0 0 1.7084984 0.08176142 0.076603524 0 0 0.6748682 0.3282872 0.05599966 0 0 0 0 0 0 0 0 0 3.5799148 0.24523029 0.31440547 0 0 0.07118337 0.74347395 0 0 2.2287438 1.5060868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.59331584 0 0 0.057419635 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6210369 0.5525039 0.08141713 0.06926728 0 0.21274965 0 0 2.1463096 0 0 0 0 0 0 0 0 0 0 0 0.6927941 0.83108974 0 0 0.12563498 0 0
"20120700_S1D_29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.096656 0.40445507 0 0 2.8534184 0 0 0 0 0 0 0 0 0 0 0 0.10676198 1.4538542 1.5798087 0 0.40815187 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31223798 5.4505553 0.44097215 0 0.8518305 0.09328856 0 0 0.058959156 0.9766685 0.256952 0 0 0 0 0 0 0 0 0 0 0.7446041 0.33989024 0.146673 0 0 0.6667253 3.1759965 0.14652221 0 4.4994774 2.4343662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6026707 0 0 0 3.5571976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.300451 0.20765796 0.06252009 0 5.70768 0.8446985 0 3.2037692 0 0 0 0 0 0 0 0 0 0 0 0 0.37236714 1.6223066 0 1.1028498 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.32_77.74_4.21" 0 0 0 0 0 0 0 0 0 0 0 0 0.37072188 0 0.84441453 0.31039825 0 0 0.062167265 0 0 0 0 0 0 0.084711924 0 0 0 0 0.68646836 6.52272 0.9880114 0 0.37011155 0 0.08728739 0 0 0 0 0 0 0 0 0 0 3.5917568 2.473369 0.36206722 0 0 3.8617306 0.09465984 0.07082651 0 0.614623 0.645367 0.5296289 0.17741363 0 0 0 0 0 0 0 0 0 2.8577452 0.10577253 0.10977024 0 0 0.31301162 0.49044165 0 0 0.9018996 1.6827241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7902951 0.07001783 0 0 1.9151574 0 0 0 0 0 0 0 0 0 0 0 0.19277316 0 0 0 0 0 0 0.123533644 0 0 0.44249952 0.07176258 0 2.71145 0.11723487 0 0 0 0 0 0 0 0 0 0 0.16540572 2.1925302 0 0 1.2615438 0.06862272 0
"20120700_S1D_108" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3495485 0.7042863 0 0 0.7552647 0 0 0 0 0 0 0 0 0 0 0 0.099561155 0.43752617 1.746086 0 0.642216 0 0 0 0 0 0 0 0 0 0 0 0 0.68258446 0.94929016 0.6462746 0 0 0.8627951 0 0 0 0 0 0.6272032 0.1217033 0 0 0 0 0 0 0 0 0 3.504859 0.19949411 0.32314783 0 0 0.65276885 2.8845556 0 0 0.28818047 1.5249548 0.24200739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2578682 0 0 0 0.6217828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.7896798 0 0 0 4.709656 0.09512186 0 1.9770939 0.2679346 0 0 0 0 0 0 0 0 0 0 0 1.0061018 0 0 0.22140497 0.15998416 0
"Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44962808 5.91261 0.80456084 0.203711 0.37271842 0.56407416 0 0 0 0 0 0 0.6963408 0 0 0 0 2.25993 12.757558 3.552551 0.14916494 1.0099124 0 2.1749463 0.14129709 0.14085574 0 0 0 0 0 0 0 0 26.45755 13.423216 0.24693105 0.56994426 0 18.126574 0.27677295 0.25777024 0 18.654787 2.5656602 0.60498255 0.9951532 0.5257884 0 0 0 0 0 0 0 0 8.10173 0.4177298 1.2552614 0 0 1.8309823 0.96713704 1.3325207 0.15682124 8.214606 3.991139 0.070533216 0.24772751 0 0 0 0 0 0 0 0 0 0 0 0 0 3.5331779 0.06764129 0.17878468 0 1.3445438 0 0 0.1755729 0.12108503 0 0 0 0 0 0 0 0 0 0 0 0 0.16418955 0.11987398 1.9242568 0.93459815 0 2.0080938 1.4951483 1.7040982 2.5345407 0.29961103 0 0 0 0 0 0 0 0 0.09210926 0 2.6552804 1.1179068 1.1267848 1.2247565 1.704251 0.119340025 0
"Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0841632 1.5047158 0 0 0 0 0.0940464 0 0 0 0 0 0 0 0 0 0 0.5420388 0.097298026 0 0 0 8.161497 0 0 0 1.3907919 0 0 0 0 0 0 0 0 0 0 0 0 0.51731515 0 0 0 0 0.06949638 0.3592189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34147877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057592157 0 0 0 0.101883456 0 0
"3300029985_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12547992 3.4023814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35132587 1.8401504 1.2233896 0 0.07382921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.9289973 0.14434536 0 0 0 0.12792915 0.08750145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06525826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09590557 0 0 0 0 0.18122216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.059233557 0 0 0 0 0 0
