"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_5-9" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120600_E1D_41" 0 0.23619674 0.5222 0.34380662 2.7771556 0.76524514 0 0.4263172 0.12348411 0 0.42032513 0 0 0 1.6971722 2.1028435 0 1.6360399 0.86680365 0.24760488 0 0.28056332 0 0 0.21690741 0 0 0 0 0.29309177 0.8916005 0.3478272 0 0 0 2.0412796 2.8377838 1.5977988 0 0 0 0 0.05872826 0 0 0.25799453 0 0 0 0 0 0 0 0 0 0 0.4649509 1.0633131 1.0711808 0 0 0 0 0 0.9598434 3.4655538 3.1226785 0 1.6465894 1.3126619 0 0 0 0.26176113 0.75905675 1.0387962 0 0 0 0 0 0 1.1434885 0 0.4991965 0.40770048 0 0.074804 1.910433 0.8543267 0 0.06888346 0.6731359 0.2619761 0 0.5580543 0.594066 0 0 0 0.7796519 0.63153565 0.31048718 0 0.4302944 0.10913976 0 0 0 0 0 0 0 0 0.60901666 0.4828902 0 0.8043157 1.513657 0 0.1506828 0 0 0 0 0 0 0.5199112 1.3628914
"20170700_S34_13" 0 0.8084574 0 0.14609921 6.222727 0.71445984 0 0 0 0 0 0 0 0 5.2020698 0.14599495 0 0 0 0.5079733 0.062005192 0.2956986 0 0 0.07261101 0 0 0 0 1.0707879 0.15867738 0 0 0 0 0.7142997 1.946477 1.3060073 0 0 0 0 0 0 0 0.57422227 0 0 0 0 0 0 0 0 0 0 5.4312167 0.4682721 0.11464001 0 0 0 0 0 0 8.479548 0.40736115 0 2.0039058 8.142967 0 0 0 0 0.22831137 0 0 0 0 0.2416587 0 0 0.25968906 0 0 0 0 0 0 0 0 0.26838934 0.20946449 0 0 0.16958271 0.75909007 0 0 0 0.9296561 0.13564172 0 0 0.4289538 0 0 0 0 0 0 0 0 0 0.15853095 0.2548174 0 0 0 0 0.23008992 0 0 0 0 0 0 0.08060329 9.457149
"20120600_E1D_42" 0.12123286 0.7260461 0.19142763 0 0.17983441 0.31699842 0 2.2402024 0 0 0 0 0 0 0 0 0 4.910412 0.12540932 0 0 0.16692352 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10058492 0.29726535 0.37888846 0.099150516 0 0 0.1768966 0 0 0 0.15579729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12991129 2.3770595 43.361008 4.2911997 0 0 0.31879783 0 0 0 0 0 0 0 0 0 0 0 0 0.5637947 0 0.08490246 0 0 0.38783076 0.360115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.361703 0 0 0 0 0 0 0 0 0 0 0 0 0.56154263 0.58879834 0 1.9616128 0 0 0 0 0 0 0 0
"PMLO01" 0.6242942 0.75190884 0 0 2.6470292 0 0.119187556 1.1801028 0 0 0 0 0 0 0 0 0 4.4738827 0 0.15802738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38801563 0.7827857 0 0 0 0.058205478 0.06973425 0.20553753 0 0 0.918695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.176188 1.1644896 2.4257185 0 0 0.23335716 0 0.82225233 0 0 0 0 0 0 0 0 0 0 0 1.4122503 0.09369895 0.14799774 0 0 0.61847484 0.07326748 0 0 0 0 0 0 0 0 0 0 0 0.14651991 0 0 0.080904 0.52923065 0 0 0 0 0 0 0 0 0 0 0 0.5091504 4.234567 0.47750467 0.1202057 0.59753823 0 0 0 0 0 0 0 0
"20120600_E1D_25" 0 0 0 0 0 0 0.15250503 0 0.058819775 0 0 0 0 0 0 0 0 1.3955525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16767585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43100545 0 0.32548302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16423883 0.078928374 0 0 0.1804975 0 0 0 0 0 0 0 0 0 0 0 0.9212098 0.17924355 0 0 0.07528621 0 0 0 0 0 0 0 0
"20120600_E2D_33" 0.91672605 4.3678527 3.5821767 0.96389556 16.950617 2.433945 0.53011763 4.420345 1.3738395 0 0 0 0 0 0 0 0 13.577609 0.58722776 1.1147435 0.4775678 3.1514747 0.08816528 0.06484786 1.3214918 0 0 0 0 0 0 0 0 0 0 2.4410305 4.3420453 2.04995 0 0 0.28802353 1.4091125 1.1318672 0 0 2.505562 0.079152256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07284057 1.4964582 14.450134 0.9963492 0.13906217 1.3501624 2.5938187 0 0 0 0 0 0 0 0 0 0 0 0 8.578073 0.32391107 3.165206 0.9299535 0 5.2069044 2.34874 0.4909513 0 0 0 0 0 0 0 0 0 0 1.8221468 0.6688416 0 0 3.64788 0.09005656 0 0 0 0 0 0 0 0 0 0 0.6425032 3.3304222 1.9155545 0.13364998 2.960364 0 0 0 0 0 0 0 0
"20120600_E2D_24" 0.8999652 1.9761401 2.382477 2.0932624 6.694979 1.4526033 1.4962952 2.6012223 1.9589379 0 0 0 0 0 0 0 0 2.1603525 0.29789382 0.8482742 0.80232525 1.7152163 0.120062135 0.12765263 1.229003 0 0 0 0 0 0 0 0 0 0 1.9950761 2.8463154 0.8865412 0.14620143 0.14985341 0.2993197 0.34113103 1.266334 0.060717523 0.1233331 2.872107 0.6457251 0.24094741 0.29393473 0.0786855 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53940856 1.3795874 8.019668 1.8060873 0.3712679 1.2066655 1.6619047 0 0 0 0 0 0 0 0 0 0 0 0 4.1592402 0.76638895 3.6767566 1.2262331 0 2.1204586 3.8477674 1.5448786 0 0 0 0 0 0 0 0 0 0.24560545 2.4795187 3.1678731 1.384015 0 2.5170093 1.5998689 0 0 0 0 0 0 0 0 0 0 1.5260575 4.6832476 3.51604 0.17960182 2.0704978 0.65413904 0 0 0 0 0 0 0
"PMKK01" 0 0.32176462 0 0.18001455 0.67621744 0 0.09604616 0.2441159 0 0 0 0 0 0 0 0 0 0.33347848 0 0.7690629 0 0 0 0.06846565 0 0 0 0 0 0 0 0 0 0 0 0.11909903 0.5613588 0 0 0 0 0.102308184 0 0 0 0.33553594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.064580575 0.35088092 0.32954037 0 0 0.73243403 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2710367 0 0 0 0 0.18736608 0.11447159 0 0 0 0 0 0 0 0 0 0 0 0.087179594 0 0 0 0.12165779 0 0 0 0 0 0 0 0 0 0 0 0 1.7043831 0.2323889 0.06190457 0.38798738 0 0 0 0 0 0 0 0
"PLTW01" 0.3000584 0.8171423 1.3726861 0.45662534 7.4741287 0.5968926 0.0888086 0.3838524 0.7242636 0 0 0 2.9145148 2.6202192 5.841962 2.5670953 1.8502885 2.7145913 2.0431812 0.40971777 0.122779176 0.9476849 0.16353744 0 0.7924332 0 0 0.080224395 0 9.050518 0.495465 2.3157253 0.280139 0.92472595 0.9966794 0.96920866 1.2693651 0.55218405 0 0 0.059587933 0.057171054 0.2483585 0 0 0.76896024 0.3218495 0 0 0 0 0.45018175 0.8620057 1.5487254 0.08263967 0.11596032 11.973446 6.362173 0.6575905 0 1.0013243 1.5745158 0.5582383 0.400394 1.8796843 29.491503 6.158523 0.16097374 3.690574 1.8948307 0 0 0.3973076 4.9734163 1.6874129 0.3893839 0 3.8190112 0.09189243 2.3718727 1.5621032 0.9379014 1.6046964 0 1.4564153 0.9840476 0 0.15738103 1.7607998 1.3467547 0 2.5000565 2.183614 0.6834067 0 4.393241 0.6052336 1.5871419 0.81536895 0 1.3004448 0.7355844 1.5646402 0.098859705 1.2168701 0.5619592 0 0.9348815 0.31704852 0.115343496 0 0.07948581 0.72467417 0.14810225 2.3038273 0.8584776 0.080959454 0.8286475 1.8882601 0.0577564 0.48632824 0.32966715 0 2.7687345 0.9763549 0.43747282 0 3.476502 0.936553
"20120600_E2D_38" 0.7456893 1.8389522 1.7731601 1.4000251 4.622002 1.7409207 1.7570983 3.0134866 1.6679108 0 0 0 0 0 0 0 0 3.3245022 0.37718976 1.6455294 0.7914875 1.8490021 0.26259094 0.25008968 1.9713324 0 0 0 0 0 0 0 0 0 0 1.3392102 1.8243467 0.84242266 0 0 0.3508375 0.44278654 0.7483411 0 0.06543822 1.6858485 0.6715286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0008534 2.7715037 7.7886066 1.2197641 0.5480568 2.7883132 1.4536859 0.11750562 0 0 0 0 0 0 0 0 0 0 0 1.8399351 0.48061156 1.7086741 1.2686213 0.22140759 2.1388133 2.3316426 1.0362244 0 0 0 0 0 0 0 0 0 0.3770223 1.2730815 1.2591269 1.7514238 0.11106211 1.2444661 1.5965383 0 0 0 0 0 0 0 0 0 0 0.92381495 4.710015 2.4391446 0.41617322 1.4579961 1.2469835 0 0 0 0 0 0 0
