"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_5-9" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120600_E3D_49" 0.5774094 2.0120146 2.2302046 0.71926445 2.14753 1.4098393 1.2366136 1.5716114 2.03373 0 0 0 0 0 0 0 0 1.5899562 0.83405805 0.4948133 0.47539 1.5953834 0.179791 0.11185784 1.6499146 0 0 0 0 0 0 0 0 0 0 1.0127726 1.2957448 0.644525 0 0 0.13613625 0.5364813 0.9749653 0 0 1.404693 0.63437086 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1882802 1.2734895 3.2784119 1.2698725 0.084192 0.2737651 0.516764 0 0 0 0 0 0 0 0 0 0 0 0 2.04842 0.5432096 3.059056 1.7524225 0.06296207 1.0027438 1.3168052 1.3183677 0 0 0 0 0 0 0 0 0 0.19901869 1.3567805 1.6345583 1.171381 0 2.4500585 1.803695 0 0 0 0 0 0 0 0 0 0 1.2273273 1.8860607 1.7900362 0.18492952 1.3107605 1.0028558 0 0 0 0 0 0 0
"20120600_E3D_20" 1.2568333 2.6647663 4.6078806 0.83587784 1.5473601 2.7860851 4.0684705 2.8455567 3.5680869 0 0 0 0 0 0 0 0 2.6784234 1.4693915 1.1670859 0.72524124 3.8266368 0.58707446 0.840562 3.3537767 0 0 0 0 0 0 0 0 0 0 2.16821 2.7418847 2.0184987 0.16037717 0 0.48395896 1.0029271 1.4216288 0.22456403 0.061377686 1.3200444 1.0597535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3725361 3.299774 6.5678415 0.64173126 0.48508695 0.2595965 4.112935 0 0 0 0 0 0 0 0 0 0 0 0 3.2468812 4.268172 4.2642508 2.8170216 0.11797651 2.3791628 2.0591283 3.0367224 0 0 0 0 0 0 0 0 0 0.380164 2.3646035 4.7964187 2.5339355 0.060887616 3.203702 3.1830986 0 0 0 0 0 0 0 0 0 0 3.6265547 2.5987856 3.048184 0.6404128 1.6948304 1.3357339 0 0 0 0 0 0 0
"20100900_E1D_13" 0.6420761 1.8975437 0.46788368 0.9495764 0.54265666 14.462893 0.2138063 0.20017792 8.901524 0 0 0 0 0 0 0 0 0.056663238 0.30034888 2.9922462 1.1010686 15.661102 0.99283934 0.061540995 9.445176 0 0 0 0 0 0 0 0 0 0 2.2795358 1.8886524 9.800069 0.21160723 0.073057234 0.16910504 0.8624925 1.156166 0.0686024 0.092489965 1.0768548 4.7867055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.088943236 0 25.796198 0 0 0 0 0 0 0 0 0 0 0 0 0.8315719 0.33428666 4.1032124 4.164736 0 0.15073268 0.08745007 0.21644986 0 0 0 0 0 0 0 0 0 0.07330076 0.71264267 5.4078236 7.0132265 0 2.5858166 14.166104 0 0 0 0 0 0 0 0 0 0 0.24492666 0.2803126 0.396618 0.19709049 1.9336941 8.65912 0 0 0 0 0 0 0
"20100900_E3D_12" 2.0270252 6.603494 6.4630704 2.7378166 4.737715 4.913419 1.1767399 4.413826 6.9126987 0 0 0 0 0 0 0 0 7.875698 2.1147556 2.461816 0.65623236 11.325225 1.3413174 0.33892044 9.634027 0 0 0 0 0 0 0 0 0 0 2.2959433 3.389628 2.464578 1.5259163 1.4275165 0.65184504 1.7561 4.1311793 0.20846884 0.5125803 4.04433 3.0852838 0.51566035 0.64911485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.63326186 2.531262 33.44156 1.467705 0.3455697 8.221276 13.923837 0 0 0 0 0 0 0 0 0 0 0 0 4.922106 0.7413379 6.435206 3.6873188 0.07383902 3.2407572 5.7842884 8.867791 0 0 0 0 0 0 0 0 0 0.50340414 5.5893636 5.9577913 8.434196 0.14412242 5.5462966 9.761505 0 0 0 0 0 0 0 0 0 0 0.46424222 12.049901 6.01746 0.57791376 5.58537 9.170043 0 0 0 0 0 0 0
"20130700_C1D_16" 0 0 0.69537103 0.106449746 0.060311478 2.5531309 0 0.062393554 1.9299877 0 0 0 0 0 0 0 0 0.0601928 0 1.4581894 0.19407493 9.93195 0.059054945 0 3.9245353 0 0 0 0 0 0 0 0 0 0 0.3405375 0.26672426 1.3631499 0 0 0 0 0.17025235 0 0 0 7.684391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.429448 0 0 0 3.4256263 1.1871942 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24732453 0.09817454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.101992026 1.0624305 0 0.07979346 1.1624149 0 0 0 0 0 0 0 0 0 0 0 0.09064211 0.08989361 0 0.17502914 1.0569432 0 0 0 0 0 0 0
"20120600_E2D_16" 0.062149942 1.4886237 5.1534615 3.1548223 5.902113 4.28038 0.4867463 0.8601857 2.3384783 0 0 0 0 0 0 0 0 0.72969747 1.0813727 0.9346173 1.4613419 3.8558135 0.13107564 0 1.9328016 0 0 0 0 0 0 0 0 0 0 2.098224 1.9905937 1.692941 0 0.27451107 0 0.057850517 0.8553992 0 0.2569156 1.8568681 0.40155876 0.33378816 0.22658394 0.058733687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0049342 2.6829545 0 0 3.5481122 0 0 0 0 0 0 0 0 0 0 0 0 4.475014 1.1669034 4.5674763 3.056442 0 3.1463795 3.3964708 1.6980071 0 0 0 0 0 0 0 0 0 0.24669152 2.9169078 3.6909919 2.3328416 0 1.9802647 0.85691255 0 0 0 0 0 0 0 0 0 0 2.3530643 1.7892147 1.3277973 0 0.60147905 0.22022367 0 0 0 0 0 0 0
"3300037224_12" 0 0 0.22236736 0 0 0.34041485 0 0 0.16844803 0 0 0 0 0 0 0 0 0 8.847088 0 0 2.3189647 0 0 1.1826867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5206168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37195665 0 0 0 0.2637936 0 0 0 0 0 0 0 0 0 0 0 0 0.07572907 0 0.47814247 0.25287175 0 0 0 0.57538855 0 0 0 0 0 0 0 0 0 0 0 0.25940546 0.60187423 0 0.12360418 0.28076422 0 0 0 0 0 0 0 0 0 0 0 0 0.08448606 0 0 0.9414227 0 0 0 0 0 0 0
"20110800_E3D_13" 0 0 1.9392118 0 0 0.63276273 0 0 1.4402502 0 0 0 0 0 0 0 0 0 0.21449496 0 0 2.966274 0.3494795 0 4.053279 0 0 0 0 0 0 0 0 0 0 0 0 0 4.343576 1.5458342 0 0 0.121256046 0.7509033 2.7153013 0 2.1055648 2.456982 1.0159128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28058687 0 0 0.0792267 0 0 0 0 0 0 0 0 0 0 0 0 0.32711694 0 3.258563 5.686001 0 0 0.08647609 1.3455691 0 0 0 0 0 0 0 0 0 0 0.28443092 2.7874 4.704773 0 0.21197097 12.62754 0 0 0 0 0 0 0 0 0 0 0.06642907 0.27332464 1.1889338 0 0 7.8620386 0 0 0 0 0 0 0
"20110800_E2D_32" 0.46747744 1.282467 1.6957772 1.2744756 0.9508608 1.6143587 0.7315627 1.019015 1.686098 0 0 0 0 0 0 0 0 0.6790564 0.99426734 0.6072838 0.96492416 2.046744 0.14631388 0.09525229 1.6079379 0 0 0 0 0 0 0 0 0 0 0.69648796 0.78318787 0.41341272 0.25664234 3.7557712 0.0746768 0.46000466 0.2977498 0 4.8761673 0.9598038 0.79313153 1.1413634 2.9904892 2.395986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2647475 3.077406 1.3934336 0.2542733 0.4555957 2.6859329 0 0 0 0 0 0 0 0 0 0 0 0 1.5949996 1.2874914 2.2424717 1.3318166 0 1.6057796 1.7097889 1.1894215 0 0 0 0 0 0 0 0 0 0.29470918 1.976494 2.1617038 1.1775879 0 1.1498113 1.3528622 0 0 0 0 0 0 0 0 0 0 0.51618856 1.3199539 1.5328665 0 0.55444723 0.8881563 0 0 0 0 0 0 0
"20120600_E3D_14" 0 0.11363398 0 0 0 0 0 0.09073525 0 0 0 0 0 0 0 0 0 0.59027123 0 0 0.18589675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22705594 0.36649597 0 0 0 0 0 0 0 0.17361145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24780005 0.2893198 0 0 0.1382605 0 0 0 0 0 0 0 0 0 0 0 0 0 1.629497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5657398 0 0 0 0 0 0 0 0 0 0 0 2.8190944 0.30388314 0 0 0.40469235 0 0 0 0 0 0 0 0
"20120600_E1D_17" 0 0.13564186 0.3333079 0 0.11017341 1.1370049 0 0.117293276 0.5531511 0 0 0 0 0 0 0 0 3.6025977 0.20855756 0.61773825 0.07804992 2.0132432 0.0561289 0 1.2440352 0 0 0 0 0 0 0 0 0 0 0.32124266 0.8380721 0.66639674 0 0 0 0 0 0 0 0.46698567 0.20182447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1656568 1.8780606 1.350359 0 0.17691311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8611354 0.09438698 0.8873925 0.35666782 0 1.0099455 1.1575254 0.3834031 0 0 0 0 0 0 0 0 0 0 0 0.25231075 0.3093762 0 0.42458898 0.37940335 0 0 0 0 0 0 0 0 0 0 0.37529063 0.12833098 0.1500157 0 0 0.082653776 0 0 0 0 0 0 0
"3300037105_13" 0 0.5670437 3.6631005 0.12826997 0.2008459 2.880439 0.10020164 1.2219378 2.0251555 0 0 0 0 0 0 0 0 2.3271344 0.16077816 0.5073495 0.13100274 9.385697 0.45442793 0 6.6860538 0 0 0 0 0 0 0 0 0 0 0.4766355 1.4802221 0.63309467 0 0 0 0.6394911 1.6469002 0 0.07674441 0.86005 1.1871542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.195314 0.119816884 0 0 1.6018023 0 0 0 0 0 0 0 0 0 0 0 0 4.031345 0.2286867 7.8550344 7.0368247 0 0.38636708 1.0582899 3.373883 0 0 0 0 0 0 0 0 0 0 0.17392412 4.146859 3.2226713 0 7.6751056 6.942763 0 0 0 0 0 0 0 0 0 0 0.38161913 1.1601281 4.207091 0 0.8947464 3.921407 0 0 0 0 0 0 0
"3300037109_9" 0.06434055 0 0.1739279 0 0 0.18328981 0 0 0 0 0 0 0 0 0 0 0 0 0.4770337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32417008 0 0 0 0 0 0 0 0.10794119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48061123 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21618973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.073076256 0 0 0 0.14392187 0 0 0 0 0 0 0 0 0 0 0 0.06622468 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E1D_4" 0 0 3.6035776 0.6133617 0.633627 0.099845886 0 0.1465836 0 0 0 0 0 0 0 0 0 0.50525695 0.80913955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20201601 0.14392039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10928385 1.218878 2.3160913 0 0.33678365 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1182913 0 0.6848559 0.32733852 0 0.4040133 0.5094386 0.6004751 0 0 0 0 0 0 0 0 0 0 0.7143811 1.0527122 0.2432883 0 0 0.09992635 0 0 0 0 0 0 0 0 0 0 0 0.15961926 0.12519503 0 0 0 0 0 0 0 0 0 0
"20130700_C1D_8" 0.23848644 0.35561585 0.09691806 0 0 2.7724857 0.62999004 0.18306214 1.93617 0 0 0 0 0 0 0 0 1.4056122 0 0.5725104 0.05659471 3.417787 0.22440967 0 2.0785112 0 0 0 0 0 0 0 0 0 0 0.2376229 0.46795496 0.7564654 0 0 0 0.39162874 0 0 0 0.19522057 1.1764752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9230078 0.16559367 0 0 0.20186909 0 3.2056696 0 0 0 0 0 0 0 0 0 0 0 0 0.50787765 0.8681364 0.8635207 0.3796943 0 0.19011852 0 0.09363594 0 0 0 0 0 0 0 0 0 0 0 0.7757336 1.3347304 0 0.8748722 1.399051 0 0 0 0 0 0 0 0 0 0 2.6878908 0 0.0639134 0 0 1.7644428 0 0 0 0 0 0 0
"PMBT01" 3.6666481 3.8216932 5.1224346 4.952345 6.911879 10.110598 6.8998365 3.920343 7.095193 0 0 0 0 0 0 0 0 1.7626014 2.412207 3.0694802 4.1925473 8.740621 1.5982375 1.5881518 6.743835 0 0 0 0 0 0 0 0 0 0 6.525488 7.674159 6.9252124 2.4148686 0 1.5288736 1.6296594 1.8531122 1.8378863 0.46863914 3.7769058 3.3192844 0.15284975 0.07956011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23150839 0.23902027 1.6010501 1.3426567 0.8989051 0.2102757 4.5242214 0 0 0 0 0 0 0 0 0 0 0 0 5.3349667 4.3577523 8.242173 5.7649374 0.27078274 9.903062 7.128012 8.218794 0 0 0 0 0 0 0 0 0 1.1076396 4.086825 4.955769 6.438508 0.1153494 4.9825974 9.276041 0 0 0 0 0 0 0 0 0 0 5.6835747 3.999082 8.327815 0.9426723 3.6214724 9.006231 0 0 0 0 0 0 0
"20120800_E1D_15" 0.123357624 0.24595787 5.574782 0.25343615 1.0309861 2.7239122 0.4882331 0.78874314 0.95501006 0 0 0 0 0 0 0 0 4.2070127 49.10639 0.809182 0.33971143 1.7065742 0.20496014 0 1.211801 0 0 0 0 0 0.85013247 0 0 0 0 2.1839516 2.1529462 5.5058727 3.793044 1.8285248 0 0.058085777 0.10784899 0.12288755 0.8228856 0.3075536 0.4665111 1.3847532 1.9429011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29945153 0.58082247 16.261604 10.82918 0.41943282 1.6075444 12.66109 0.0762196 0 0 0 0 0 0 0 0 0 0 0 0.8034466 0.22948952 0.90026665 0.7548071 0 0.14250682 2.2313516 2.6220922 0 0 0 0 0 0 0 0 0 0 1.3468902 1.8059051 0.6507812 0 0.4375167 0.7932497 0 0 0 0 0 0 0 0 0 0 0.27397737 0.7933499 1.1421446 0 0.14055783 0.6191412 0 0 0 0 0 0 0
"20130700_C1Y_5" 0 0 0.23596212 0 0.18043728 0.41909936 0 0 0.08649477 0 0 0 0 0 0 0 0 0.40972823 1.186644 0.15028083 0.114788234 0.23026998 0 0 0.16715199 0 0 0 0 0 0.9408552 0 0 0 0 0.07185433 0.10744676 0.15242234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19951035 0.30308208 0.47963205 0.1514036 0.059666917 0.13952687 0.43665674 0 0 0 0 0 0 0 0 0 0 0 0 0.0694136 0 0 0.05883162 0 0 0.057254992 0.14191055 0 0 0 0 0 0 0 0 0 0 0.11353683 0.115093604 0 0 0.108542405 0.0900001 0 0 0 0 0 0 0 0 0 0 0 0.14067817 0.07034285 0 0 0.104792945 0 0 0 0 0 0 0
"20130700_C1D_9" 0.2128907 0.15432999 0.24281356 0 0.084811546 0.2030439 0.88529545 0.42888474 0.9072462 0 0 0 0 0 0 0 0 3.4164622 0.2662682 0.21298513 0.06508652 0.40116373 0.15203685 0.20416723 0.5840802 0 0 0 0 0 0 0 0 0 0 0.1619441 0.3074868 0.25007305 0 0 0.119767934 0.33904824 0.10470416 0 0 0.13433126 0.18032733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8491397 1.2598114 0.38826907 0 0.059527375 0 0.63582796 0 0 0 0 0 0 0 0 0 0 0 0 0.1998718 0.4647642 0.19069405 0.30984297 0 0.091791615 0.1754933 0.3150462 0 0 0 0 0 0 0 0 0 0 0.14904869 0.22047032 0.21787028 0 0.4406633 0.48850396 0 0 0 0 0 0 0 0 0 0 0.6523712 0.4143422 0.69627994 0 0.22674006 0.5308568 0 0 0 0 0 0 0
"3300037049_8" 0 0.06387024 0.06357778 0.4709046 0.34151396 0 0 0.14050093 0 0 0 0 0 0 0 0 0 0.060052577 3.3269167 0.098232284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.86310226 20.3946 0 0.43148276 0.16945831 0 0 0 0 0 0 0 0 0 0 0 0 0.15112707 0 0 0.056392517 0 0.1295176 0.21455136 0.24249466 0 0 0 0 0 0 0 0 0 0 0.08099852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52847105 0.1022767 0 0.1311106 0 0 0 0 0 0 0 0
"20170700_S34_36" 0.22773972 0.40140852 0.7286338 0.2895142 0.9816136 0.4872866 0.38724393 0.61558586 0.36956936 0 0 0 0 0 1.1946667 5.5635247 0 0.5049867 0.28413102 0.27519584 0.4388864 0.5189749 0.06939757 0.26688856 0.38063073 0 0 0 0 0.091768384 0.8779198 0 0 0 0 0.5496196 0.5908688 0.3179542 0.38869852 0.7657857 0.20340137 0.3577098 0.302494 0.074685365 1.5280726 0.3288406 0.11876462 0.50911564 0.49497968 0.17679648 0 0 0 0 0 0 0.10014551 1.2872658 1.2559723 0 0 0 0 0.07638414 0.19338335 0.7790782 0.3755252 0.15810007 0.5207747 0.6911336 0 0 0 0.079041705 3.4010391 0.7695306 0 0 0 0 0 0 0.60679364 0.3443392 0.5592444 0.39383835 0.10047572 0.8120647 0.620119 0.2638516 0 0 2.5070665 0.12697954 0 0.6411162 2.0880632 0.75341946 0.21292244 0.15313004 0.44751048 0.36115134 0.22739673 0.06350546 0.33722374 0.27840838 0 0 0 0 0 0 0 0 1.354215 7.2446404 0.41492727 0.5314284 0.57828945 0.25252923 0.5458684 0.3176248 0 0 0 0 0 2.156536 8.707328
"20120600_E1D_13" 4.4243736 1.7966127 4.0376463 0.25102162 0.9694054 3.3851 6.4611816 1.7512913 1.6408848 0 0 0 0 0 0 0 0 1.706627 2.34877 0.7057283 0.4600014 1.7402793 0.44680443 0.65960157 1.9852285 0 0 0 0 0 0 0 0 0 0 1.7465852 2.0072489 1.6517348 0 0 2.0923915 1.952801 0.52959234 0.055571128 0.059831742 1.7323271 1.0452031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3840525 2.4990175 0.7723964 0 0.21351591 0.18778075 1.1694223 0 0 0 0 0 0 0 0 0 0 0 0 1.1282293 1.8511529 2.5146456 2.8802855 0 2.7933884 5.8409977 1.1056442 0 0 0 0 0 0 0 0 0 0.09036632 2.1063588 1.8923556 2.1566172 0 2.5327296 1.6530163 0 0 0 0 0 0 0 0 0 0 2.4871566 2.5129373 2.1831253 0.2523599 0.69324744 1.1554222 0 0 0 0 0 0 0
"20130700_S2Y_8" 0.11951544 0.27429917 1.3663378 0.46484855 1.0234727 2.0590973 0.27254346 0.337076 1.0341876 0 1.4333564 0 0 0 0.4191408 1.2108485 0 0.26151088 3.6447241 0.48342082 0.33284295 1.4863509 0.72562075 0.16141576 1.3408217 0 0.68142694 0 0 0 17.879343 0 4.138529 0.09027281 0.0748978 0.45122543 0.54472715 0.74763644 1.1686009 1.814173 0.08570715 0.23851264 0.1613576 0.7062739 0.97298986 0.29754052 0.6952427 0.4059826 0.43876973 0.7831503 0 0 0 0 0 0 0 0.42374614 4.338455 0 0 0 0 0.06716764 0.21177138 0.945364 2.2240832 0.08539335 0.34097922 1.37156 9.096571 0 0 0 0.23019108 5.373649 0 0 0 0 0 0 0.7712783 0.2754074 1.8033755 1.4913123 0 0.27129313 0.47994423 1.3531688 0 0 0 0.09816841 0 0 0.30668193 0.25945044 0.3559697 0.0785722 0.75580233 1.3120601 3.245743 0 0.80750406 2.264221 0 0 0 0 0 0 0 0 0 0.27020544 0.31710678 0.85593784 0.6832976 0.09428713 0.31752855 1.2731965 0 0 0 0 0 0 0.8768652
"20120800_E1D_8" 0.10636854 0.24123237 0.8135484 0.25884408 0.5898595 0.6993117 0.24657579 0.24743964 0.83114773 0 0 0 0 0 0.33932924 0.6039928 0 0.24962193 18.075174 0.30940136 0.21532404 1.1014998 0.37190744 0.1106462 1.0551398 0 0 0 0 0 0.8120825 0 1.056608 1.6331187 1.5410563 0.31993392 0.3611119 0.3753399 3.3907495 1.1358851 0.06657581 0.21472089 0.1549383 1.7583039 3.2327445 0.24209306 0.5301107 0.5575279 0.6955167 0.7721559 0 0 0 0.3226528 0.13236463 0 0 0.40985546 0.4773258 0 0 0.60471725 0.8753641 0.10527496 0.26099536 1.8476833 69.49417 0.057113897 0.2180395 0.9557518 0.9187614 0 0 0 1.3349801 2.2077947 0 0.18959525 0 0 0.31086406 0.25890657 0.5542968 0.2257195 0.9157362 0.90481937 0 0.17915334 0.377924 1.9131317 0 0 0.17140995 0.8773801 0 0.073097125 2.0389438 1.1766673 1.5847325 0 0.51943475 0.7523375 1.522906 0 0.7042645 1.0327821 0 0.6458786 7.4691787 11.529419 0 0 0.06455213 0 0 0.5049676 0.26099393 0.53878504 0.58613473 0.06296209 0.26138055 0.8130382 0 0 0 0.11611754 0 0 0.92024076
"3300036929_5" 2.2984595 4.2259855 19.775566 0.395719 1.3446963 25.624847 3.547472 3.7187848 11.311938 0 0 0 0 0 0.21012205 0.12077449 0.10789542 2.7433937 12.472789 5.0492554 1.1808307 29.97876 5.4267454 1.4454317 24.56049 0 0 0 0 0 0.29362422 0 0.19817312 0.49286756 0.4689922 5.1686306 6.606959 8.430489 0.7095234 0.43504596 1.4305136 8.2073145 3.5300488 1.6412345 1.4334995 4.7889414 12.400429 0.21821271 0.14328256 0.15621327 0 0 0 0 0 0 0 0.20292817 0.13918255 0 0 0 0 0.74819 2.3493576 6.723573 0.96631455 0.68524426 1.4060962 16.95661 0 0 0 0 0.10753665 0.24191438 0 0.2901573 0 0 0.13812664 0 15.189254 3.69657 31.662771 24.511742 0 2.943384 15.026417 19.54535 0 0 0 0.41331527 0 0 0.07491903 0.3004498 0.21987839 0.31407157 7.823459 16.685017 28.912203 0 22.82293 23.454536 0 0 0.12437646 0.14148502 0 0 0 0 0 0 4.9014716 8.43946 13.347521 0.63775885 5.164896 18.580688 0 0 0 0 0 0.12528913 0.101719595
"20150700_E14_13" 0.219678 0.28159234 0.97727233 0 0.15707977 1.1067083 0.4168579 0.27960038 0.8680071 0 0 0 0 0 0.28339124 0.1065556 0.3260321 0.5571494 1.8790382 0.27816027 0.10738554 1.3250344 0.34410983 0.13822721 1.1962839 0 0 0 0 0.273807 0.20613857 0.097615905 0 5.8075337 5.499208 0.47208503 0.59239703 0.6270022 0.071706794 0 0.113607235 0.42344823 0.22169176 0.13551237 0.08586413 0.2745158 0.57919496 0 0 0 0 0 0.25635204 0 0 0 0.4293905 0.792223 0.084507585 0 0 0 0 0.33138067 0.80360055 2.23659 0.19084096 0.06521653 0.18468526 1.3350072 0 0 0 0.34854 0.06432761 0 0 2.419862 0 0 1.5018746 0 0.60970455 0.2695053 0.90810585 0.7578811 0 0.23054579 0.4154315 1.0574638 0 0 0.07693145 0.4261957 0 0 0 0.19673264 0.12267718 0 0.5959397 0.8900495 0.99912405 0 1.0556319 1.0060023 0 0 0.07362681 0.063714996 0 0 0 0.059956416 0 0 0.39712977 0.49176648 0.72215325 0.062090583 0.37485635 0.9632638 0 0 0.14241374 0 0 1.8263229 0
"3300037085_4" 2.5873396 4.832757 19.677324 0.33128217 1.0965333 12.663089 3.333072 4.236263 10.879251 0 0 0 0 0 0.09430728 0.0558033 0 2.4036622 5.49615 2.355401 0.70057344 18.204916 3.260556 1.1154343 22.994774 0 0 0 0 0 0.3566376 0 0.14019363 0.22846124 0.21003877 11.629872 8.759723 9.220501 0.42735568 0.24806193 1.2315553 6.4843616 5.6312227 0.7852639 0.84028035 2.9918902 6.294628 0.12950574 0.07125582 0 0 0 0 0 0 0 0 0.21216717 0.13765202 0 0 0 0 0.6830509 2.2515779 4.495634 0.5134738 0.46025312 0.94720656 19.443808 0 0 0 0 0 0.13003017 0 0.18429528 0 0 0 0 16.115726 2.9092414 23.945696 16.035551 0 1.0082394 1.8713313 4.433573 0 0 0 0.48325062 0 0 0 0.26275125 0.13678648 0.181604 8.558457 12.22371 9.356534 0 13.87343 12.605098 0 0 0 0 0 0 0 0 0 0 2.594065 2.6289432 4.8665557 0.6646081 5.53651 13.97516 0 0 0 0 0 0 0
"20120700_P3D_117" 0 0.117091544 0.22112066 0.2561519 0.29733878 0.3650047 0 0.08671868 0.47114325 0 2.5361156 0 0 0 0 0 0 0.22310647 0.07229185 0.13308212 0.13429834 1.2035605 0 0 0.46757492 0 1.311247 0 0 0 0 0 0 0 0 0.12221903 0.11269869 0.1063683 0.508942 0.15060984 0 0 0.05658264 0 0.13414517 0.08315203 0 0.7009743 0.3859309 0.15355797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83594894 0.3618605 0 0 1.5096358 0.580749 0 0 0 0 0 0 0 0 0 0 0 0.2707823 0.12528537 0.23487735 0.07600085 0 0.47272447 0.32720634 0.10956367 0 0 0 0 0 0 0 0 0 0 0.19276066 0.23346926 0.17435054 0 0 0.124219 0 0 0 0 0 0 0 0 0 0 0.3804184 0.3423241 0.20125125 0 0 0 0 0 0 0 0 0 0
