"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "712_S-1-S" "712_S-1-M" "712_S-3-S" "713_P-3-M" "713_S-1-S" "713_S-3-S" "713_S-3-M" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S2_1-5" "716_S2_10-14" "716_S3_10-14" "717_P1_10-14" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S3_1-5"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.94_89.19_4.42" 2.433009 0 1.0772878 0 4.277297 0 0 0.75202775 4.919048 0 2.7348588 0.05804239 1.3984363 0 0.0683613 0 0.4760347 0 0.52902323 1.0213511 0 0 0.102009445 0.77500474 1.4125689 0.7457289 0 0.98612404 0.31781745 0.17548862 0 0.8946527 0.07138378 0 0.81438744 0.39971176 0.0859224 0 5.030422 1.8843786 1.1848588 0.39576682 0 0 1.6772767 0 0 13.544704 9.554481 0 0 0.32448608 0 0 2.1150575 0.24912688 0 1.3560709 3.8989432
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.241_91.03_4.38" 3.5491822 0 6.19546 0 0.9685571 0 0 0 5.393059 0 3.9366968 0.083574325 3.2732353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.497879 0.14487967 0 0 0.8642315 0 0 0.7503153 0.38193995 0 0 3.634673 0.96960413 1.8168422 0 0 0 0.35197422 0 0 0.3595932 1.379806 0 0 0 0.644566 0 3.3937845 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10" 0.38657546 0 0.2922583 0 1.2899439 0 0 0.09767602 0.6989618 0 0.63916665 0 0.16061744 0 0 0.12917612 0.540522 0 0.1487838 1.3684999 0.1284981 0 0.50373715 0.09354606 0.75267005 0.9747235 0.09352228 0.22051603 1.0135325 0.21860327 0.18796875 0.40456617 0 0 0.6596987 0.15524392 0 0 0.94588983 0.36413577 0.26610792 0 0 0 0.3493933 0 0 1.1549056 0.7527077 0 0.12249684 0.40567398 0.26009223 0.18144558 0.9296802 0.23678356 0 0.62580097 3.1421444
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.300_98.33_0.91" 0.08539415 0 0 0 1.5616239 0 0 0 2.1568642 0 2.2468681 0 0.74629456 0 0 0 0 0.13795215 0 0 0 0 0 0 0 0 0 3.213835 0.06892303 0 0 2.493909 0 0 1.9161465 1.8056883 0 0 0.52271914 0.115372226 0.18599838 0 0 0 0.14119078 0 0 0 0 0 0 0 0 0 0.6395567 0.71362555 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25" 1.9864092 0.23656298 0.37480167 0.13576382 4.162098 0.69767857 0 0 0.7039544 0.35971564 1.0974764 0.0866143 0.6662852 0.42765307 0 0 0 0.5048064 0 0 0 0 0 0 0 0 0 0.20930752 0.06162861 0.0721018 0 0.5904698 0.25933594 0 0.2785383 0.698161 0.1114942 0 1.4059371 0.77233875 1.3674744 0.67133224 0 0.19892587 0.74455553 0 0 0 0 0 0 0.1170667 0.15381916 0 1.5913404 1.1699734 0 0 0
"20110700_P3S_3" 3.2652385 0 2.137325 0 8.660705 0.2609161 0 0 11.305575 0 4.2758045 0.14859208 7.0246134 0 0 0 0 1.2884613 0 0 0 0 0 0 0 0 0 0.43331712 0 0 0 2.5837522 1.0254422 0 3.3739138 1.7721877 0 0 5.7795286 4.128773 7.751239 3.1679032 0 0 4.7584724 0 0 0 0.23209824 0 0 0.17371193 2.1629534 0 17.215296 3.0092394 0 0 0
"Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.27_81.74_0.87" 4.838909 0 0.8198968 0 2.0176108 0.65555483 0 0 4.0529256 0.59097624 4.9617214 0.45465407 2.9044333 0.6819527 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3508989 0.7575479 0.17275612 0.13669555 0.743829 0.37356332 0 2.1947577 1.1984476 0.07451735 0 3.5046358 3.2406962 1.01038 0.45693922 0 0.5476271 2.245967 0.3670708 0 0 0 0 0 0.31205648 0.5897742 0 1.344762 1.5567361 0.38045138 0 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26" 0.4453724 0 0.20345117 0 0.36961618 0 0 0 0.9763906 0 0.057144996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12630618 0 0 0 0 0 0 0.35414442 0.2771983 0.2114151 0.07505144 0 0 0.20113127 0 0 0 0 0 0 0 0 0 0.56402624 0.12627046 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.128_97.22_0.00" 0 0 0 0 0.43524346 0 0 0 4.749683 0 0 0.08504764 0 0 0 0 0 0.07964498 0 0 0 0 0 0 0.38223615 0 0 0.16768982 0 0 0 2.4867437 0.3764894 0 3.7502117 0.3405764 0 0 8.0484915 0.19963647 0.6513692 0.2805866 0 0 1.591747 0 0 0.122302964 0.29980618 0 0 0 0 0.15510547 1.154519 0 0 0 0
"20120600_P2S_3" 2.797446 0 2.216047 0 4.985794 0 0 0 22.36441 0 18.769817 0.2569417 5.692016 0 0 0 0 0.5307663 0 0 0 0 0 0 0 0 0 1.3616992 0 0 0 1.2294953 0 0 6.7592883 2.2454035 0 0 6.463356 0.36603123 1.005415 0.3744842 0 0 0 0 0 0 0 0 0 0 1.6356428 0 10.236906 0 0 0 0
"20120600_P1M_1" 1.6213037 0 0.4344473 0 6.8626266 0 0 0 6.794358 0 1.356856 0.06749447 5.4536624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.89753115 0 0 0 0.38692006 0 0 0.83223015 0.064775735 0 0 2.4501615 2.0774288 0.8425096 0 0 0 0 0 0 0 0 0 0 0 0 0 4.018297 1.010793 0 0 0
"20120600_P2S_4" 1.0885048 0 0.28944474 0 10.345109 0 0 0 39.039715 0 10.207237 0.2814433 6.3261194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34933054 0 0 0 1.3332384 0 0 7.5702367 0.24972273 0 0 23.093933 0.91155726 0.5617852 0 0 0 0 0 0 0 0 0 0 0 0 0 34.105392 0.16131343 0 0 0
"20150700_P11_6" 2.0958228 0 3.0430958 0 0 0 0 0 0 0 1.1171994 0 0.106179625 0 0 0 0 0 0 0 0 0 0 0.12631428 0 0 0 39.847412 18.874056 0.6298694 0.18853898 1.7197677 0.13702056 0 0 0 0 0 0.5255484 0.9661449 0 0 0 0 0 0 0 0.08355395 0 0.17673624 0 0 0.31166026 0 0 0 0 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.126_94.83_0.00" 3.1786368 0 0.5215813 0 5.8975506 0 0 0 11.406187 0 10.2715025 0.49820933 1.0047017 0 0 0 0 0.1959777 0 0 0 0 0 0 0 0 0 7.321251 0.91815186 0 0 1.4530485 0.23747891 0 4.823946 3.7961547 0.09968615 0 8.757992 1.4464389 0.35405192 0.14846617 0 0 0.68856496 0 0 0 0.11607987 0 0 0 0.34632245 0 11.800233 0.89719796 0 0 0
