"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-D" "713_S-1-X0" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-X0" "713_S-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_20-24" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120500_P32_6" 0 1.1336097 0 0 3.419851 0 0 0.22884324 3.4109821 0 0 3.9804761 1.9814912 0.6313822 0 0.24466689 0.30902803 0 0.53808236 0.5622319 0 0.17182651 0 1.1222953 0 0 0 0 0 0.20476726 0 0.8681922 3.244041 0.10492505 0.2173351 0 0 0.121240556 8.392081 0 0 26.382528 0 0 1.0214168 0 0 0 0.24663848 0 0.059330568 0 0.073174946 0 0.175713 0.36299717 0.93435687 0 0.10124528 6.7997503 0 0.19313084 0.27402297 17.13911 0.1342818 0 0.16044381 0 0 0 0.12382614 57.501537 9.751399 0.094352305 25.898203 0 0.14956 0 8.249397 4.8154826 0 0.2297472 5.263633 0.18579984 0 1.6020281 0.4342181 0 1.1827079 8.408658 0.2903488 0.18537147 30.093946 0 0 0 0.06364872 0.08778247 0.18966414 0 5.8247066 0 0.12175921 0.5752202 1.0115389
"20160700_P15_24" 0 0.15396228 0 0.46833396 0.67406416 0 0 0.11820503 0 0 0 0 0 0 0 0.39725727 0 0 1.1066965 0 0 0.2862264 0 0 0 0 0 0 0 0.16659668 0 0 0 0 0 0 0 0 0 0 0 0.66768867 0 0 0 0 0 0 0 0 0 0 0 0 0.16042218 1.4210908 1.7168684 0 0.23924758 0.16980393 0 0 2.2643256 1.5797237 0 0 0 0 0 0 0 10.483915 1.9113659 0.44412902 0.07389437 0 1.6443198 0.30033976 0 0 0.30311912 0 0 0 0 0.3008185 0 0 0 0 0 0.8294342 0.104520194 0.2874529 0.06839384 0 0 0.059746463 0 0.09599937 0 0 0 0 0
"20170700_P14_3" 0 6.7048607 0 0 2.923265 0.4678671 0 1.7814784 28.560078 0 0 0 0.54576623 0 0 0.9458573 5.449621 0 1.6744095 17.693106 0 4.6342106 0 0 0 0 0 0 0.11024267 0 0.10053456 0.113568164 0 0 0 0.09393372 0.057943925 0 0.20961875 0.17096893 0 35.455322 0 0 0 0 0 0 0 0 0.06475674 0 0 0 0 0.0854128 14.185289 0 0.16890512 23.001451 0 0 0 53.359966 0 0 0 0 0 0 0 59.475132 10.101581 0 31.17152 1.0984268 3.8150504 0 9.373924 11.115061 4.2380137 0.24806198 2.1381366 0.14557469 0.15978904 1.1760916 0.088144384 0 0 0 0 0.8042422 55.47717 0 0.48971638 2.1612394 0 0 9.5724535 0 0 0 0 0 0
"20110600_P1M_18" 0 1.5104866 0 0 4.457649 0 0 4.9736214 0.1595763 0 0.311758 0.51034886 0.3415283 0 0 1.8637218 0 0 0.099331714 0.05753548 0 1.499777 0.179941 0.2633909 0.19866306 0 0.25158525 0.23340361 0 0.40132052 0 0.19208996 0.6503492 0.18552497 0.31942335 0.08853287 0.0817358 0.24189857 0.3906845 0 0 1.7208385 0.05810427 0.11092884 0.65216386 0.32473767 0.3344229 0.13724443 0.8733883 0 0.1126422 0.08029431 0.2846688 0 0.4178923 0.24760227 0.43815756 0 0.1675253 0.46755394 0 0.2193663 0.36644217 1.0157989 0.5761008 0.4308974 0.19488895 0.4844267 0.23703773 0 0.09544783 0.3825874 0.09630948 0.37744364 1.4855307 0 3.0457184 0.10434028 0.09564307 0 0 0.47250134 0.7487754 0.19398457 0 1.4400975 0.67358285 0.80783635 0.15307614 0.4195261 0.57860506 0.2152868 0.38921502 0 9.643725 3.0103276 0 0.68199897 0.69803995 0.058180157 1.0888913 0.81789804 0.20819466 0.06436497 0.33207443
"20160700_P15_19" 0 5.5568724 0 0.27884945 3.757815 0 0 18.900993 3.209479 0 0 0 0 0 0 17.284363 0.0771108 0 3.2074492 0.12961252 0.100065045 10.086837 0 0 0 0 0 0 0 3.853935 0 0 0 0 0 0 0 0 0 0.30641574 0 15.0853615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9383526 0.10652176 4.3170004 14.287298 0.31769705 0 0.49274752 25.147526 0 0 0 0 0 0 0.13423447 18.266727 3.6021686 4.07591 8.952749 0 25.463497 3.4205375 28.56506 14.270573 0 0 0 0 0 0 0 0 0 0 0 1.0004002 3.976783 0.20977217 0.36518204 0.27393037 0.115710616 1.0456449 5.498085 0 0 0 0 0 0
"20120700_P1M_6" 0 21.961275 0 0 11.897919 0 0 23.000978 0.12902233 0 0 0 0 0 0 28.938232 0 0 1.0134679 0 0 11.943513 0 0 0 0 0 0 0 3.40282 0 0 0 0 0 0 0 0 0 1.881042 0 16.016888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09293177 0 0.99841636 7.216225 0 0 0 15.651666 0 0 0 0 0 0 0 2.0879471 0.31927672 1.3743762 17.75098 0 2.9183314 0.08624309 10.86162 13.398737 0 0 0 0 0 0 0 0 0 0 0 0.11173448 1.2651784 0 1.7144592 0.7549516 0 0.06157455 13.43793 0 0 0 0 0 0
"20120600_P3D_1" 0 19.470572 0 0.17558143 0.32937536 0 0 5.1056128 0 0 0 0 0 0 0 1.9667629 0 0 5.3597083 0 0 1.845592 0 0 0 0 0 0 0 5.2564173 0 0 0 0 0 0 0 0 0 0 0 0.1073896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46245322 0 0 0.72905934 0 0 0 0.13307536 0 0 0 0 0 0 0 0 0 0.39018756 1.5055431 0 7.021437 0.06071124 0 0 0 0 0 0 0 0 0 0 0 0 0 0.099949494 0 0.24597548 0 0 0 0.087508366 0 0 0 0 0 0 0
"20160700_P15_18" 0 3.6044676 0 0 2.1579025 0 0 1.3941094 0 0 0 0 0 0 0 3.85429 2.3172457 0 1.5752556 0 0 3.3189502 0 0 0 0 0 0 0 5.0140414 0 0 0 0 0 0 0 0 0 0 0 4.7235026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.2508407 16.632168 0 0 1.6510864 3.124796 0 0 0 0 0 0 0 20.35885 3.4679952 2.113754 16.414766 0.24689592 0.31294438 3.0827262 9.383629 15.079903 0.22830552 0 0 0 0.2328834 1.8834747 0 0 0 0 0 0.5251894 59.041782 0 0.68451524 1.258266 0 0.10545285 3.9270396 0 0 0 0 0 0
"20110700_P3M_11" 0 14.014628 0 0 9.690068 0 0 24.187548 0 0 0 0 0 0 0 51.30788 0 0 8.090701 0 0 7.4652762 0 0 0 0 0 0 0 8.6024685 0 0 0 0 0 0 0 0 0 0 0 0.52285534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4021876 0 0.7829292 7.32346 0 0 0 25.705528 0 0 0 0 0 0 0 0 0.1603497 12.623972 15.561322 0 43.875313 10.252325 1.1880502 0 0 0 0 0 0 0 0 0 0 0 0 0.1423297 0 0 0 0 0 3.813161 0.44766355 0 0 0 0 0 0
"3300037147_7" 0 0.1996442 0 0 0.1552073 2.2305276 0 0 0.7137151 0 0 0 0 0 0 0 1.3363392 0 0 1.4361081 0 0.91761625 0 0 0 0 0 0 0.47712407 0 0.077754796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.056100123 0 0 0 0 0 0 0 1.726219 0.22759998 0 2.0325696 0.2996084 0 0 3.2456698 3.527926 0.21971807 0 0 0 0 0 0 0 0 0 0 0 0 0 5.966195 2.70304 0 0 1.8194867 0 0 0 0 0 0
