"","net$colors","mergedColors"
"20160700_E33_2",8,"pink"
"20160700_S11_6",8,"pink"
"20160700_S15_2",5,"green"
"20170700_E14_6",6,"red"
"20170700_E15_8",6,"red"
"20170700_S24_10",1,"turquoise"
"20170700_S24_14",5,"green"
"20170700_S24_5",6,"red"
"20170700_S25_14",1,"turquoise"
"20170700_S25_25",5,"green"
"20170700_S25_26",5,"green"
"20170700_S25_38",5,"green"
"20170700_S25_8",1,"turquoise"
"20170700_S25_9",1,"turquoise"
"20170700_S34_10",3,"brown"
"20170700_S34_13",5,"green"
"20170700_S34_23",1,"turquoise"
"20170700_S34_24",3,"brown"
"20170700_S34_25",1,"turquoise"
"20170700_S34_36",2,"blue"
"20170700_S34_41",11,"greenyellow"
"20170700_S35_18",5,"green"
"20170700_S35_19",3,"brown"
"20170700_S35_4",4,"yellow"
"20170700_S35_8",2,"blue"
"3300023248_5",4,"yellow"
"3300023254_4",8,"pink"
"3300024238_3",7,"black"
"3300036884_16",10,"purple"
"3300036884_17",10,"purple"
"3300036884_7",1,"turquoise"
"3300036886_10",10,"purple"
"3300036888_6",5,"green"
"3300036913_19",8,"pink"
"3300036929_5",8,"pink"
"3300037049_8",6,"red"
"3300037062_11",0,"grey"
"3300037076_10",1,"turquoise"
"3300037076_20",11,"greenyellow"
"3300037085_4",8,"pink"
"3300037089_15",1,"turquoise"
"3300037090_15",1,"turquoise"
"3300037091_10",10,"purple"
"3300037104_11",11,"greenyellow"
"3300037104_19",2,"blue"
"3300037104_22",11,"greenyellow"
"3300037105_13",8,"pink"
"3300037109_9",8,"pink"
"3300037132_13",1,"turquoise"
"3300037132_9",1,"turquoise"
"3300037155_12",11,"greenyellow"
"3300037155_22",11,"greenyellow"
"3300037198_12",7,"black"
"3300037224_12",8,"pink"
"3300037225_15",11,"greenyellow"
"3300037225_16",7,"black"
"3300037225_17",1,"turquoise"
"3300037226_12",7,"black"
"3300037239_6",2,"blue"
"3300037355_2",2,"blue"
"3300037360_7",4,"yellow"
"3300037361_7",9,"magenta"
"3300037365_14",7,"black"
"3300038458_11",4,"yellow"
"3300038461_13",1,"turquoise"
"3300038461_16",1,"turquoise"
"3300038461_4",1,"turquoise"
"3300038461_5",1,"turquoise"
"3300038473_8",7,"black"
"3300038475_6",4,"yellow"
"3300038476_2",0,"grey"
"3300038519_6",2,"blue"
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92",3,"brown"
"Bog.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.33_96.24_0.54",6,"red"
