"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120600_E3D_14" 0 0.11363398 0 0 0 0 0 0.09073525 0 0.59027123 0 0 0.18589675 0 0 0 0 0 0.22705594 0.36649597 0 0 0 0 0 0 0 0.17361145 0 0 0 0 0 0.24780005 0.2893198 0 0 0.1382605 0 1.629497 0 0 0 0 0 0 0 0 0 0 0 0 1.5657398 0 2.8190944 0.30388314 0 0 0.40469235 0
"20120600_E1D_17" 0 0.13564186 0.3333079 0 0.11017341 1.1370049 0 0.117293276 0.5531511 3.6025977 0.20855756 0.61773825 0.07804992 2.0132432 0.0561289 0 1.2440352 0.32124266 0.8380721 0.66639674 0 0 0 0 0 0 0 0.46698567 0.20182447 0 0 0 0.1656568 1.8780606 1.350359 0 0.17691311 0 0 0.8611354 0.09438698 0.8873925 0.35666782 0 1.0099455 1.1575254 0.3834031 0 0 0.25231075 0.3093762 0 0.42458898 0.37940335 0.37529063 0.12833098 0.1500157 0 0 0.082653776
"PMBT01" 3.6666481 3.8216932 5.1224346 4.952345 6.911879 10.110598 6.8998365 3.920343 7.095193 1.7626014 2.412207 3.0694802 4.1925473 8.740621 1.5982375 1.5881518 6.743835 6.525488 7.674159 6.9252124 2.4148686 0 1.5288736 1.6296594 1.8531122 1.8378863 0.46863914 3.7769058 3.3192844 0.15284975 0.07956011 0 0.23150839 0.23902027 1.6010501 1.3426567 0.8989051 0.2102757 4.5242214 5.3349667 4.3577523 8.242173 5.7649374 0.27078274 9.903062 7.128012 8.218794 1.1076396 4.086825 4.955769 6.438508 0.1153494 4.9825974 9.276041 5.6835747 3.999082 8.327815 0.9426723 3.6214724 9.006231
"20130700_C1D_9" 0.2128907 0.15432999 0.24281356 0 0.084811546 0.2030439 0.88529545 0.42888474 0.9072462 3.4164622 0.2662682 0.21298513 0.06508652 0.40116373 0.15203685 0.20416723 0.5840802 0.1619441 0.3074868 0.25007305 0 0 0.119767934 0.33904824 0.10470416 0 0 0.13433126 0.18032733 0 0 0 0.8491397 1.2598114 0.38826907 0 0.059527375 0 0.63582796 0.1998718 0.4647642 0.19069405 0.30984297 0 0.091791615 0.1754933 0.3150462 0 0.14904869 0.22047032 0.21787028 0 0.4406633 0.48850396 0.6523712 0.4143422 0.69627994 0 0.22674006 0.5308568
"20120600_E1D_13" 4.4243736 1.7966127 4.0376463 0.25102162 0.9694054 3.3851 6.4611816 1.7512913 1.6408848 1.706627 2.34877 0.7057283 0.4600014 1.7402793 0.44680443 0.65960157 1.9852285 1.7465852 2.0072489 1.6517348 0 0 2.0923915 1.952801 0.52959234 0.055571128 0.059831742 1.7323271 1.0452031 0 0 0 1.3840525 2.4990175 0.7723964 0 0.21351591 0.18778075 1.1694223 1.1282293 1.8511529 2.5146456 2.8802855 0 2.7933884 5.8409977 1.1056442 0.09036632 2.1063588 1.8923556 2.1566172 0 2.5327296 1.6530163 2.4871566 2.5129373 2.1831253 0.2523599 0.69324744 1.1554222
"3300038475_6" 1.4851276 2.0043242 5.8621073 0.5156177 1.6329014 6.9238486 1.9004381 0.9372249 1.7394499 2.6538334 9.046924 1.1707256 0.23254344 2.6002848 0.13837859 0 1.7739198 2.9414876 3.0013278 4.4285326 0.48183382 0.15885453 0.1382574 0.8492217 0.14384958 0 0 4.994291 0.68624717 0 0 0 1.4569607 6.6380353 2.25921 0 0.670024 0.49213162 7.0933146 1.2395008 0.6340424 0.6848426 0.5776586 0 0.22325996 1.4232047 2.197371 0.06523393 3.4654 1.4093639 1.4825957 0 4.2774553 1.1121538 0.44849813 0.45520332 1.570385 0 0.53103036 1.5707598
"20120600_E2D_2" 1.1532362 2.2413325 3.2469676 5.0449533 19.770163 4.966146 0.5401884 5.583417 1.0569235 3.5512922 0.6230529 1.6192364 2.221862 1.7226014 0.123899125 0.08851675 1.1159499 2.665688 4.3027215 1.385925 0 0 0.32495075 0.90007585 0.4124721 0 0 1.8703148 0.3012301 0 0 0 0.17958866 0.9394025 2.811705 1.9214132 0.2810571 0.37512574 1.286868 3.588167 1.0505685 3.465648 1.181527 0.1757021 3.3525832 7.274903 3.1802177 0.3951048 1.5175515 1.6698173 0.41693205 0.09183079 1.5803506 0.37942147 1.5732757 1.5673368 0.63925505 0.13171802 1.2728372 0.27091956
"20150700_E34_4" 2.2580795 4.6434355 9.038416 7.8712506 21.402962 17.345074 4.4920726 10.137462 5.004139 11.889359 10.3536825 6.0787582 8.728462 12.144801 0.743237 1.4411658 7.9096336 13.857598 16.229628 6.7664504 2.0554929 0.06937544 1.4038928 2.2005165 1.9207054 0.36778703 0.21422446 6.159405 2.3482416 0.21394812 0 0 3.2209544 9.061367 11.075244 7.6272855 2.1481605 2.9276738 13.0086775 8.814504 2.0308735 11.125358 4.6352835 0.5864224 15.485009 20.8967 11.118825 0.5257848 4.274119 5.6696773 3.870918 0.42216384 3.552163 4.969777 4.3553615 4.408974 3.5060303 1.949771 3.7923539 5.5305433
"20100900_E2D_7" 0.3356595 1.5168823 6.178476 1.5804088 2.0401332 6.143762 2.402482 2.5811892 2.367935 0.69150126 1.5380969 0.9126206 0.5512638 3.2029517 0.23271725 0 1.3889185 1.6261784 2.0143704 3.6589189 1.0078108 0.22589192 0.14123861 0.9832955 0.76259255 0.08710377 0.6551557 2.285048 0.6700369 0.82738197 0.10234685 0.13547257 0.0989456 0.23526137 1.4495453 0.32896134 0.14572787 0.8054401 3.6968625 2.0644615 0.48694065 2.1515357 1.4110128 0 1.1342052 1.7862389 2.248609 0.11662581 2.7651963 3.3808029 3.3731916 0 1.5180738 1.0266483 0.4275018 2.054442 2.9099524 0 0.4506499 0.11277554
"20120600_E3D_50" 0.18250225 2.2791553 2.0785818 1.1554154 2.6277375 1.9933486 1.7736882 2.4198594 2.2686615 1.2740211 0.8182118 0.47397164 0.6245166 2.2481072 0.18298621 0.1370934 2.1167312 0.9602441 1.562181 1.351538 0 0 0.1396854 0.454373 0.9666283 0 0 2.573369 0.5855065 0 0 0 0.11578852 0.9014623 1.4403236 0.3476 0.32261598 0.788238 1.4688658 2.0646405 0.9857779 1.5981615 1.0372955 0 1.7071582 1.5562631 1.0357597 0.23567833 2.3960018 2.1328847 1.5671479 0 2.0117679 1.6286638 0.49711698 1.6875418 2.0453916 0 0.74169827 0.5834258
