"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"3300036929_5" 2.2984595 4.2259855 19.775566 0.395719 1.3446963 25.624847 3.547472 3.7187848 11.311938 2.7433937 12.472789 5.0492554 1.1808307 29.97876 5.4267454 1.4454317 24.56049 5.1686306 6.606959 8.430489 0.7095234 0.43504596 1.4305136 8.2073145 3.5300488 1.6412345 1.4334995 4.7889414 12.400429 0.21821271 0.14328256 0.15621327 0.74819 2.3493576 6.723573 0.96631455 0.68524426 1.4060962 16.95661 15.189254 3.69657 31.662771 24.511742 0 2.943384 15.026417 19.54535 0.31407157 7.823459 16.685017 28.912203 0 22.82293 23.454536 4.9014716 8.43946 13.347521 0.63775885 5.164896 18.580688
"20110600_S1D_11" 0.40445864 0.8973815 4.3910074 0.23121035 0.62966967 3.2367425 0.88263035 0.7658527 4.6626844 0.79907244 11.423197 1.1657208 0.32353193 5.1994934 1.4458308 0.3500864 5.3720765 2.1772144 2.804487 3.4799774 0.6797121 0.49387476 0.24858905 1.0830431 1.0325487 0.60443765 0.6144058 0.9018468 2.9819613 0.18419056 0.20695499 0.19635463 0.39601132 1.0913209 9.384839 1.5685397 0.26375124 0.7276409 11.70248 3.111852 0.74291664 5.367298 4.0237045 0 0.5172786 1.6261398 3.9870493 0.0726559 2.7585895 3.980064 5.2164836 0 4.2243996 5.1827927 0.81410563 1.3430766 2.0851529 0.15114005 1.1793725 4.161505
"20150700_E14_13" 0.219678 0.28159234 0.97727233 0 0.15707977 1.1067083 0.4168579 0.27960038 0.8680071 0.5571494 1.8790382 0.27816027 0.10738554 1.3250344 0.34410983 0.13822721 1.1962839 0.47208503 0.59239703 0.6270022 0.071706794 0 0.113607235 0.42344823 0.22169176 0.13551237 0.08586413 0.2745158 0.57919496 0 0 0 0.33138067 0.80360055 2.23659 0.19084096 0.06521653 0.18468526 1.3350072 0.60970455 0.2695053 0.90810585 0.7578811 0 0.23054579 0.4154315 1.0574638 0 0.5959397 0.8900495 0.99912405 0 1.0556319 1.0060023 0.39712977 0.49176648 0.72215325 0.062090583 0.37485635 0.9632638
"3300037085_4" 2.5873396 4.832757 19.677324 0.33128217 1.0965333 12.663089 3.333072 4.236263 10.879251 2.4036622 5.49615 2.355401 0.70057344 18.204916 3.260556 1.1154343 22.994774 11.629872 8.759723 9.220501 0.42735568 0.24806193 1.2315553 6.4843616 5.6312227 0.7852639 0.84028035 2.9918902 6.294628 0.12950574 0.07125582 0 0.6830509 2.2515779 4.495634 0.5134738 0.46025312 0.94720656 19.443808 16.115726 2.9092414 23.945696 16.035551 0 1.0082394 1.8713313 4.433573 0.181604 8.558457 12.22371 9.356534 0 13.87343 12.605098 2.594065 2.6289432 4.8665557 0.6646081 5.53651 13.97516
"20150700_S15_1" 0 0.077176735 1.3902485 0 0.09459316 0.9995494 0.11532588 0.07856604 0.4511202 0.18026824 5.840647 0.1481502 0 1.1610676 0.3096421 0 0.90938133 0.15977602 0.19399318 0.35081542 0.24013539 0.07606236 0 0.08106871 0 0.15703589 0.314494 0.0685027 0.3207297 0.22494772 0.27317083 0.07141649 0 0.23929796 0.9176853 0.56035876 0 0 6.2877693 0.28699756 0 0.85871583 1.3276721 0 0.08464272 0.29521033 1.0881499 0 0.2524604 0.59194314 1.4255624 0 0.30449092 0.66218907 0.07590034 0.16962416 0.348133 0 0.11019245 0.6846387
"20150700_E35_2" 0.48631978 1.6389545 9.69418 0.15584682 0.22624594 13.325035 0.42544433 0.16470265 7.5186005 0.11872842 21.510347 1.3804929 0.12830903 14.042173 1.2367042 0 14.367844 0.44833782 0.29856205 0.931184 3.7332528 2.7977138 0 1.8354356 0.6343068 0.35720357 0.38332146 1.6010638 5.2744527 0 0 0 0.1406411 0.30319354 0.10956332 0 0.22457628 0 10.401196 2.8186476 0.47641754 6.3306756 6.3094435 0 0 1.0413053 10.333305 0 2.2945879 4.9259343 8.931193 0 5.5803123 6.994046 0.423595 0.32378963 1.4273566 0 0.1244493 8.876473
"20100900_E1D_8" 0.12062638 0.5861732 9.573195 0.0867508 0.84213966 9.655738 1.5571886 1.725894 12.101959 10.112006 4.530873 1.8450887 0.1517044 15.986192 2.1777318 0.10170078 13.097178 3.3681953 7.355169 4.567007 0.30172285 0 0.12618795 1.0976788 1.6178331 0.5964511 0.31757134 0.46209258 3.9828465 0.07068574 0 0 0.685722 2.0522168 33.574966 0.34060332 0.1658839 0.22909273 20.387466 2.5696573 0.4411413 3.2295845 8.698686 0 1.2790984 3.6301522 7.7176776 0 1.1938152 6.898577 8.204958 0 5.4361715 14.201086 0.53300875 1.8790771 6.035867 0 1.0707985 8.4486885
"20130700_C2X_11" 0.7510248 1.0096189 7.6270013 0.13777405 0.35278037 2.3854382 0.7443074 0.643424 2.4506896 2.1414504 0.8498005 1.1518292 0.2206674 9.375009 0.996173 0.123518 6.4094114 0.6835294 0.9867964 1.3184885 0.095538035 0 0.11974708 1.8477095 1.2002752 0.123375654 0.22779718 1.1153932 3.321996 0 0 0 0.79085135 0.91580987 1.0954396 0 0.20482713 0.22751667 3.65819 2.6334574 1.9488155 3.7895393 4.4292736 0.06226312 0.27352116 0.63124114 3.5681577 0.0887375 1.8643876 2.053822 8.4021225 0 3.8614008 5.1745315 1.8794003 1.2507429 5.203691 0.17964116 1.761914 6.0368733
"20110700_E1D_5" 0.42885894 1.6548027 17.895725 2.1864798 2.7940054 14.411335 5.154125 6.2401896 12.129812 5.4384813 7.5620008 2.0320027 1.6915318 14.582683 1.195746 0.15846933 14.705691 5.80562 8.717002 6.601648 1.5970641 0.14187701 0.29517275 0.721754 3.0789483 0.84256744 0.960565 2.0241797 3.5119147 0.9378095 0.7161519 0 1.822008 4.1554136 4.4800363 2.6529791 1.8844626 3.3137329 15.489385 5.868925 0.9911927 5.9984107 11.746481 0 3.792023 5.9561667 3.5989356 0.13533702 4.829724 8.936716 7.6049657 0 7.1314335 12.580999 0.51360285 4.1423197 7.4889326 0.09282578 2.444472 10.878065
"20120600_E1D_53" 8.149274 12.78872 40.43539 1.1211976 5.172383 23.063774 7.9457 9.141444 18.388033 10.864929 7.3696365 3.3489106 1.2129115 19.733576 2.6944487 0.8970116 18.05459 17.006622 17.820347 12.984341 0.2506622 0 1.3038317 4.383548 2.7259212 1.6358727 1.2807537 15.080935 10.917078 0.10427698 0 0 1.1832477 6.3198953 6.0049357 0.3373075 0.7096846 0.79059565 20.197132 20.644165 8.653836 22.2624 22.550432 0 2.5271983 7.0754175 12.34542 0.47085634 20.372707 25.86573 22.91068 0 14.202006 22.607067 6.007234 6.523903 12.219166 0.33216754 3.5398467 30.565062
