"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120600_E3D_38" 0.6786786 7.0877743 8.334328 1.9344167 4.4733624 1.0515687 1.2841346 0.99965245 3.569438 5.9067774 17.412876 0.8038749 0.765879 4.193969 3.7811778 0.16173846 6.276274 1.0985613 1.2164209 0.57154596 7.1098332 10.735539 0.25963274 1.2890185 0.809321 0.34442422 8.751692 6.071512 0.44961438 3.8327992 10.086789 1.0926234 0.70321006 2.249267 19.503065 22.984692 1.1681572 9.298655 0.98637116 8.673348 0.94839054 8.636441 7.4923887 0.92300284 1.3316444 4.8460693 1.9238425 13.029788 7.4203515 12.598676 4.909475 4.8510194 0.55829537 2.5881703 4.388636 0 2.0674965 1.6336517
"20130700_C1X_17" 0 0 0.5606986 0 0 0 0 0 0 0.16310565 5.4912677 0 0.066056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48227358 0.42756328 0.34467024 0.152544 0.22096473 0 0 0 0 0 0 0.12865405 0.557185 0.71118176 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.33_96.24_0.54" 0 0 0.068800546 0 0 0 0 0 0 0.21180807 0.13780843 0 0 0.1754018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1215149 0.2500995 0 0.15847129 0.09700377 0 0 0 0 0.05925617 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_S3D_28" 0 0 0.06004817 0 0 0 0 0 0 0 1.530474 0 0 0 0 0 0 0 0 0 0 0.22670096 0 0 0 0 0.10219897 0 0 0 0 0 0 0 0.45207673 1.3372335 0 0.078678824 0 0 0 0 0 0 0.09882781 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00" 0 0 1.0842899 0 2.7766695 0.4479506 0 0 0 0.08055851 28.680391 0.34504855 0 0.17328392 0 0 0.063537285 0.67539793 0.7213426 0.5666749 0.13745397 0.16757545 0 0 0 0 0.22810803 0 0 0 0.1479459 0 0 0 1.0407362 4.734892 0.07191044 2.3425434 6.302968 0.08239437 0 0 0.12208855 0 0.10025801 0.6633639 0 0.16167596 0.08370644 0.39171955 0 0 0 0 0 0 0 0
"20110600_S3M_2" 0.35357904 0.5308796 1.4208734 0.33028078 0.8377943 1.690328 0.45710817 0.39015236 0.8267033 0.5093096 2.841037 0.3413378 0.29694524 1.5397048 0.17852779 0.1722823 1.3190653 0.8693372 0.85112035 0.9648775 0.7912306 0.7470997 0.16891658 0.454396 0.38314635 0.11171566 2.9906507 0.5694625 0.42751774 0.9002058 1.4590483 0.6834834 0.20451312 0.6164388 2.7265267 2.233599 0.19402626 0.63979286 1.8741006 0.96822244 0.30266315 1.5462309 0.96227986 0.6396094 0.8025266 0.73208904 0 0.99237025 1.4228063 0.969877 0.96511734 1.2728528 0.6214338 0.6067259 0.6883706 0.14828098 0.6648703 1.1000861
"20120700_E1D_7" 0.0826117 0.52746946 3.9638996 0.76732874 3.9900713 5.6328735 0.5708068 1.2049892 0.13685107 2.015909 53.54673 0.8538658 0.36827567 1.4280318 0.39119747 0 1.1044785 1.5058877 1.7095723 3.9687724 0.5062667 0.46366212 0 0.06356873 0 0.24285677 2.1545622 0.32084587 0 0.5179415 0.58190596 0.07630427 0.5272156 2.8369043 12.886142 4.087796 0.4315711 2.043555 7.430205 1.1344142 0.14555088 0.61514217 0.8188487 1.2153306 2.3688369 2.4966047 0 0.8554419 0.14239253 1.1974988 0.23026489 0.06584918 0 0.4417866 0.41838837 0 0 0
"20140700_S12_11" 0 0.33466247 1.8366796 0.6229957 2.4697878 1.6929473 0.071867764 0.8352328 0.5087164 2.273668 8.884264 0.2873654 0.082070574 0.6389065 0 0 0.38161215 0.43688518 0.5786123 0.7838108 0.62853354 0.2151498 0 0 0 0 0.4269937 0.21003209 0 0.51492894 0.44709462 0 0.24852802 1.8501219 25.935297 9.697296 0.18485883 3.3121574 2.5462992 1.1787746 0 0.61298406 0.90760064 0.41276968 2.8810303 0.77593434 0 1.329089 0.480779 0.82477283 0.5353858 0.18574451 0 0.7990654 0.7961792 0 0.17718092 0
"Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.126_96.49_2.19" 0 0 0.06398379 0 0.57174945 0 0 0 0.064675145 0.22615527 0.8913393 0 0 0 0 0 0 0.1563585 0.20515728 0 0 0 0 0 0 0 0 0.09156525 0 0 0 0 0.06447253 0 3.296415 1.9064857 0 0.28846204 0 0.063916825 0 0.06962371 0 0 0.32924038 0 0 0.23557791 0 0 0.11781304 0 0 0 0 0 0.06739658 0
"20120800_E1D_14" 0 0 0.66855973 0 0.111202486 0.30015302 0 0 0.11558482 0.14848928 39.96542 0.075426556 0 0.35415822 0 0 0.15262799 1.3830278 1.3171228 0.44435176 0 0 0 0 0 0.10265732 0.122854084 0 0 0 0 0 0 0 46.555637 132.74467 0 0.5444109 2.6743734 0 0 0.07740919 0.27294883 0 0.5580736 4.2268867 0 0.24282773 0.17685774 0.28639325 0 0 0 0 0.083717905 0 0 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59" 0 0 0.16418825 0 0.117141 0.2134398 0 0 0 0.22292466 2.1662295 0.063234515 0.06449846 0.13335106 0 0 0.08442473 0 0.13366804 0.097061194 0 0.3590354 0 0 0 0 0.084418125 0 0 0 0 0.07889349 0.16145301 0.34204313 0.9713813 1.4300672 0.07263617 0.34233668 0.5208506 0.070792094 0 0 0 0 0.088797025 0.08565599 0 0.06590504 0.0690857 0 0.07068512 0 0 0.08868014 0.10381742 0 0.056307916 0
"20150700_E14_2" 0 0 2.595777 0 0 0 0 0 0 0 1.1809698 0 0 0 0 0 0 0 0 0.12120699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.467041 0.9548416 0 0 1.7652501 0 0 0 0 0 0.07389257 0.8035135 0 0 0 0 0 0 0 0 0 0 0 0
"20160700_E25_15" 0 0 0.06793029 0 0.06545907 0 0 0 0 0.22527824 1.1049318 0 0 0 0 0 0.06074745 0 0 0 0 0 0 0 0 0 0.068529904 0 0 0.21800447 0.5168861 0 0 0 12.512163 1.9623506 0 0 0.10612599 0.17417859 0 0 0 0 0 0.06323404 0 0 0 0 0 0 0 0 0.1277708 0 0 0
"20110800_S2M_3" 0 0 0 0 0 0.090626106 0 0 0 0 0.49872917 0 0 0 0 0 0 0.25011146 0.33025774 0.2554602 0 0 0 0 0 0 0 0 0 0 0.06756627 0 0 0 1.3619971 3.4979262 0 0.06256447 0.8377247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45" 0 0 0.28573927 0 0 0 0 0 0 0 0.071476795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31528056 0.15525241 0 0 0.40600684 0 0 0 0.098062344 0 0 0.105193526 0 0 0 0 0 0 0 0 0 0 0 0
