"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"3300037394_5" 0.10463233 8.23851 0 0 9.957918 0 0 8.974746 2.0024652 0 4.5760484 0.55883867 0 6.6663327 1.4192226 0 5.086863 0 5.4365835 0 0.7239645 0 8.707383 0 0 0 1.309726 0 0.50090593 2.0397954 0 0 0.19411215 10.821178 0 0 2.9772053 0.55889827 3.5381691 10.309566 0 6.479821 0.5558029 3.7232566 1.615194 1.5890156 0.35921693 0.09955809 2.417243 0.74356437 0 1.3057133 14.96029
"20110700_P1M_3" 0.3498436 7.9689393 0 0.17740461 1.0189341 0 0 0.086930156 0 0 4.7512045 0 0.13920443 1.1503085 0 0.95747095 0.6719158 0 3.0288801 0 0 0 0 0 0.2308571 0.21203248 1.9706973 0 0 0 0.6214835 0.1547553 0.48861632 1.4253377 0.59671843 2.6341991 0 0 0.15308695 0 0 6.5468163 0.070760824 0 0 5.7082376 0 0.594863 0 0 0.057491094 0.39051226 0
"20130700_S3M_11" 0.8572848 0.24077144 0 0.22642216 0.0655354 0 0 0.08367988 0 0.63644695 0.06477832 0 0.109765515 0.065071724 0 0.24754648 0 0 0.23562346 0 0 0 4.2733393 0.12824437 0.17744036 0.10744852 0.1271479 0.090568274 0.6651958 10.724199 0.18513046 0 0.2746198 0.15175945 0.80942905 0.18350317 1.0470711 1.179916 0.63739574 0.30693418 0 0.17235431 2.192695 0.29563826 0.08259478 0.10351993 6.098456 0 0 0 0.25497618 0.11821133 0
"20170700_S33_22" 0.1198399 0 0 0 0 0 0 0 0.555412 0 0 0.05637269 0 0 0.8898848 0 0 0.1154877 0 0 0 0 2.5870733 0 0 0 0 0 0 1.7759179 0 0 0 0 0 0 2.1508625 0.40409458 0 0.21276034 0 0.0729859 0.07840355 0 0.30802792 0 2.5664358 0 0 0.057075024 0 0 0
"20120500_P23_6" 0 69.30449 0 0 46.908417 0 0 24.360209 3.7074823 0 16.108614 0.21038465 0 72.83682 4.6044846 0 61.84454 0.72493404 10.990586 0 0.13473962 0 48.356476 0.070090175 0 3.489854 149.90778 0 57.944912 7.679961 0 0 44.90206 65.12241 0.12042403 2.024555 14.806385 6.5195074 54.94783 17.77147 1.2260033 28.968477 41.712692 70.07904 5.3702955 99.71595 9.969478 0 1.7473752 3.8207655 2.010696 13.041725 64.58987
"3300037180_6" 0 14.40937 0 0 0 0 0 4.7969613 19.428333 0 7.29726 0 0 0 3.1991374 0 6.5708585 0 0 0 0 0 2.1946635 0 0 0 0.24778028 0 0.7709659 0.4456954 0 0 0 2.95262 0 0 0.9566366 0.12528063 0 3.0309877 0.9901481 4.7622266 4.359173 9.961243 0.6310695 0.16242233 4.5869684 0 0 0.08951198 1.0076263 0 11.005268
"20150700_P15_12" 0 1.2463642 0 0 3.4134877 0 0 2.838797 0 0 3.1082766 0 0 4.5027676 0.06855542 0 3.1533759 0 3.2626448 0 0 0 3.352168 0 0.07222405 7.3062716 10.940432 0 1.2278923 1.8415827 0 0 1.3346598 5.011591 0 0.30160865 1.0518624 0.19062169 1.6133814 1.3749918 0 18.214413 0.11884 0.38986346 0 3.300505 1.7220095 0.42837968 1.5869981 0 0 0.14438303 0.76524216
"3300037241_7" 0 0 0 0 3.7968 0 0 7.255505 0.11298882 0 15.727408 0 0 17.401937 0.2782299 0 8.420925 0 2.1826603 0 0 0 63.45046 0 0.07527773 15.97388 25.433361 0 5.1010795 9.301123 0 0 4.288711 25.138958 0 0 0 0 1.4561766 6.1819563 0 19.653662 0.155687 0.32885903 0 12.459896 5.1229367 0 0 0 0 0 0.09403217
"20160700_S23_17" 0 1.6672039 0 0 0.54734904 0 0 1.2331638 0.30550474 0 1.7017447 0 0 0 0 0 1.7221147 0.24212952 0 0 0 0 2.7085083 0 0 0 0.5496947 0 0.6667709 2.961062 0 0 0 5.175952 0 0 2.2707 0.33428544 0.1035023 2.4550822 0 2.4467907 0.7437899 7.9473352 0.5693371 0.23873973 6.46213 0 0 0.29098198 0 0 1.3012164
"20150700_P24_12" 0 0.74684054 0 0 1.423375 0.5730346 0 1.6181 8.512532 0 1.041325 1.1544579 0 0.057412624 4.674681 0 0.2792825 0.22075744 3.6813216 0 0.8840093 0 76.08552 0 0 0 0.1765506 0 0.24568261 15.591721 0 0 0 27.113874 0 0 12.273682 2.0658774 0.7283455 26.062504 0 1.327744 0.12414682 8.9158535 7.0556984 0.18315522 31.726795 0 1.5044658 3.7132843 0 0 3.6521275
