"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03" 2.9347398 0 3.9827123 0.34138048 0 0 0.1173257 0 1.9760674 0 0 5.494617 0.49863005 0 2.6746666 0.24264531 0 0 0.967461 0 0 0.9074963 4.9121766 3.9263177 0 1.0739286 1.0038766 0 2.7078712 3.8830216 1.7619412 0 1.2908459 0.8307105 0 0.63672364 1.5383071 0 0 0 0.29362082 0 0 1.4572468 0 2.0081553 0 0 0.47489592 1.0362259 0
"20150700_P13_2" 0.21042033 0 1.7027528 0 0 0 0 0 0 0 0 0 0.2431453 0 0.9142134 0 0 0 0.17109746 0 0 0 11.1375675 0.5251011 0 0 0.072624326 0 0.07075818 1.8213469 3.2593715 0 0 1.9108771 0 0 0 0 0 0 0 0 0 0.94378567 0 5.8586736 0 0 0 0 0
"20150700_P13_7" 9.406081 0.17310463 1.9997396 0.66246915 0 0.33585772 0.55250204 0 1.9136598 0.9174723 0 5.866635 0.6166563 0 3.488318 0.7869557 0 0 1.2929431 0 0 1.35247 22.851614 13.04131 2.0263698 0.7438571 0.19062151 0.16764705 6.300028 6.0634775 0.10797129 0.12377879 1.2723641 2.37998 0 1.0231807 1.1954662 0 0 0.41717866 0.6594374 0 0 0.6027866 0 1.7002692 0 0 0.73312604 0.7688283 0
"20160700_S23_5" 3.0740585 0.06838489 0.75485784 0 0 3.9244235 0.32049 0 1.2143239 0.06578729 0 1.2633524 0.46768457 0 1.4394042 0.16183096 0 0 0.27939087 0 0 0.8962142 0.6429049 0.19719133 0.43936777 3.4813457 2.2609155 0 7.6858773 1.2311941 0.50455743 0 1.1401128 3.5012636 0 5.008961 1.7567236 0 0 0.06415784 1.672786 0 0 0.27919608 0 0.45693973 0 0 1.164373 2.5837996 0
"20120600_P3M_9" 11.37612 2.2065697 2.3510516 2.6841135 0 6.4702334 5.5965137 0 5.6864686 4.824882 0 13.66096 4.19461 0 2.2711267 3.6001885 0 0 0.6842782 0 0 7.1844554 11.437482 10.104039 11.003063 1.8780946 3.2129526 0 2.0491614 10.683853 5.590883 1.317483 2.3227706 4.2281322 0 2.7450328 2.6882095 0 0 2.780217 4.3297143 1.0600829 0 9.484018 0 2.0728204 0 0 8.01137 4.557381 1.2031702
"20150700_P31_7" 0 0.14511356 0.17927513 0.111212425 0 0.09315712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12637584 0 0 0 11.775096 0.08171088 0.21681201 0 0 0 0 2.1926413 0.14828046 0 0 0 0.49779078 0 0 0.098073006 0 0 0 0 0 0 0
"20150700_P31_13" 2.798358 0 10.498472 0 0 0.314307 0.13250399 0 2.4673476 0.2853579 0 0.5829815 2.5527925 0 9.096991 0 0 0 14.822983 0 0 0 0 0.113153115 0.66004986 2.3737228 3.9264913 0 16.869831 0.6218774 0.8350219 0 1.2999312 2.3628795 0 23.054138 16.90414 0 0 0.06480526 2.662017 0 0 3.520543 0 8.259055 0 0 4.911226 1.2753954 0
"20150700_P31_3" 3.1315606 0 3.0435417 0 0 1.7757974 0 0 0.75127786 0 0 8.455582 0.5763673 0 1.546784 0 0 0 0.39421603 0 0 10.48082 3.085236 0.20187184 1.3056769 3.4567714 4.124887 0 18.137447 8.122009 3.54466 0 0.58446926 8.249117 0 2.628843 0.8021213 0 0 0.88207644 1.9286047 0 0 1.9373469 0 3.4776351 0 0 0.3677137 0.64962196 0
"20120700_P3S_2" 0 0 28.133074 0 0 0 0 0 1.4396666 0 0 10.743565 0.08091764 0 54.85092 0 0 0 0 0 0 1.639387 0 0 0 5.4698544 0 0 24.365871 1.9248599 0.19427103 0 0 1.0834537 0 1.1150842 0 0 0 0 0 0 0 0.07065846 0 11.770635 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.60_72.97_9.43" 0.27552164 0 0.240188 0 0 0.17877837 0.16207446 0 0.66434735 0.45355275 0 1.0990621 0.42547673 0 0.6052872 0.12482025 0 0 0.25134325 0 0 0.5576547 0.38378063 0.23611087 0 0.24774386 0.15157647 0 0.8855159 0.82704794 0.43671912 0 0.9260588 0.71123785 0 0.16697209 0.3887084 0 0 0 0.32345766 0 0 0.23258139 0 0.6673268 0 0 0.65783983 0.36771533 0
"Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12" 0.07024845 0.32989746 0.97761524 1.0983927 0 2.4995582 0.9068475 0 5.8204136 0.587615 0 8.188726 1.9947559 0 1.7444391 0.6404997 0 0 0.70675087 0 0.14674176 2.4408252 2.1744459 1.421578 2.6511695 2.8832786 2.1920924 0.11579214 7.8213277 18.55415 6.592681 0.6377276 12.269609 3.9570503 0 3.95698 1.841857 0 0 5.006401 4.5872154 0.21565081 0 5.6224194 0 0.64288795 0 0 9.533888 1.3388225 0.13121834
"Palsa.Unlabelled.R1.T1.F1.trimmomatic.megahit_bin.45_71.69_6.46" 0.32698974 0 1.1082109 0 0 0.3079031 0 0 1.5808274 0 0 0.11038685 0.08258601 0 1.3472184 0.08577784 0 0 0.47402665 0 0 0 0 0 0 0 0 0 0 0 0 0.7453062 0 0.19731845 0 0.18508524 0 0 0 2.5229573 0.19709286 0.30150178 0 0 0 0.47101876 0 0 0.15730144 0.60023606 0.9630253
"20110700_P2S_4" 13.08632 0.115496494 76.152336 0 0 0.85456824 0.13237724 0 11.876935 0.082671456 0 0.06402045 1.521586 0 93.489914 0.33009082 0 0 11.332616 0 0.11680452 0 0 0.06486863 0.3111538 0.24244732 0.07534066 0.17650265 0 0.11273299 0.24844067 1.8811088 0 5.8461456 0 6.9765215 1.5371255 0 0 24.205965 6.5532756 11.326533 0 2.4613602 0 28.716066 0 0 2.872549 7.6966906 3.620659
"20170700_P31_1" 35.53688 0.33453223 29.53437 0.24824837 0 43.847485 14.663414 0 55.345615 14.307472 0 93.647484 66.13344 0.14439838 34.267136 8.63621 0 0 20.339891 0 1.0247304 35.134594 37.603523 52.76888 41.02544 20.809053 22.413988 3.081191 42.275112 45.695496 36.572758 3.95947 33.782055 44.308647 0.4758423 25.546652 18.387102 0.087445855 0 12.384726 14.239532 12.542749 0.2686451 21.868526 0.64602387 26.507048 0 0 69.83761 13.445134 8.377157
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.30_89.06_2.80" 0 0 0 0 0 0 0 0 0.077877276 0 0 1.4047468 0.08922412 0 0 0.13473894 0 0 0 0 0 0.7298143 5.5074034 1.1026169 0 0 0.061491247 0 0.064485155 0 0.14466436 0 0.7296544 0.09102467 0 0 0 0 0 0.064071454 0.35817116 0.15777986 0 0.1095453 0 0 0 0 0.17413665 0 0
