"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "713_P-3-M" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20110600_P3S_13" 13.822015 0 1.2124711 0 1.0537704 0 0 7.5207744 0 10.529483 0.19278897 3.7217202 0 0 0 5.6096644 1.2627752 0 0 0.59271854 0 0 1.638269 0.15365227 0 0 4.8460035 2.254153 0.53349495 0 0 0 0.49142045 0 0 0.13865434 0 0.24303915 0 5.0469513 1.6171404 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71" 5.0464454 0 0.10294662 0 0.79252535 0 0 36.21754 0 3.2126625 0.1575713 17.954388 0 0.068325534 0 0 0 0 0 6.1367884 0 0 22.240582 0.10544762 0 0 26.777666 5.308965 2.6938808 0 0 0 2.9790525 0 0 0 0 0 0 6.9972615 6.602632 0
"20110600_P3S_9" 3.299319 0 0.11131401 0 0.60779905 0 0 6.5731144 0 14.0166 0.16145873 3.0484037 0 0 0 6.8403416 0 0 0 0.2266528 0 0 1.8331796 0 0 0 4.659917 0.071865015 0 0 0 0 0 0 0 0 0 0 0 1.4346396 0 0
"20120600_P3M_4" 27.75003 0 0.59105504 0 0.7785611 0 0 9.250298 0 45.963005 0.77027947 21.821434 0 0 0 15.942686 2.289076 0 0 1.6039838 0 0 5.158884 2.1896987 0 0 4.7586145 6.3731055 1.571134 0 0 0 0.9666725 0 0 0 0 1.483238 0 7.496999 13.848679 0
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19" 0.5275147 0 0 0 1.71757 0.111036964 0 0.7834252 0 0.0868764 0.070938766 0 0 0 0 0 0 0 0.07489561 0.18123092 0.085637376 0 0.5732395 0 0.06560229 0 0.84348696 0.2275835 0.13750929 0.07041694 0 0.072567716 0.20108823 0 0 0 0 0 0 2.180524 0.3380687 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.15_88.82_6.04" 0.96583724 0 0.19657333 0 0.40813348 0 0 5.128172 0 3.407739 0 1.2168846 0 0 0 1.0698817 0.45916152 0 0 0.447636 0 0 1.1442342 0.13538568 0 0 4.2583375 0.29304913 0.07702013 0 0 0 0 0 0 0 0 0 0 1.4470459 0 0
"Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.56_91.47_0.17" 0 0 0.4193112 0 0.392134 0 0 8.077203 0 5.0354404 0.102766685 0.33007836 0 0 0 5.755681 0.31418082 0 0 1.6345308 0 0 17.451967 0.69390506 0 0 9.611785 0.8489514 0.2465363 0 0 0 0.843226 0 0 0 0 0 0 2.2623687 0 0
"Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50" 0 0 0.11742195 0.08341929 0 0.061821707 0 0 0 0 0 0 0.1277176 0 0 0.112178095 0.10491796 0.1862442 0.59864396 0 0 0 0.13529088 0.3491249 0.26946464 0 6.1929607 0.20550555 0.20058711 3.0287144 0 0 1.0875368 0 0 0.08305294 0 0 0 0 0.86780465 0
"20110600_P3S_5" 0.22960897 0 0.08721954 0 0 0 0 5.029172 0 5.2760334 0.06991258 0 0 0 0 7.4194746 0.9287671 0 0 0.10461647 0 0 0.34077165 0.36605436 0 0 5.3986244 0.16552894 0 0 0 0 0.09884673 0 0 0 0 0 0 0.39289907 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.239_74.60_5.56" 2.7967231 0 0.2437018 0 1.0273902 0 0 0.3793192 0 0.9169183 0 0.32481515 0 0 0 0.503097 0.07177678 0 0 0.4182598 0 0 0.43092534 0.25475934 0 0 1.0993017 0.752072 0.1374099 0 0 0 0.076823406 0 0 0 0 0 0 1.0295676 0.15347677 0
