trait	tree	distance	cluster_size
yellow	1	0.022757673	2
yellow	1	0.0360860805	2
yellow	1	0.022511435	3
yellow	1	0.2042104035	2
yellow	1	0.0169294935	1
yellow	1	0.050545685	1
yellow	1	0.095614724	1
yellow	1	0.009183638	1
yellow	1	0.004060577	1
yellow	1	0.0318238125	1
yellow	1	0.0272851395	1
yellow	1	0.014868449	1
yellow	1	0.0183116035	1
yellow	1	0.029247376	1
yellow	1	0.0180828715	1
yellow	1	0.005898786	1
yellow	1	0.044235773	1
yellow	1	0.026945337	1
yellow	1	0.0132594685	1
yellow	1	0.019721455	1
yellow	1	0.073409601	1
yellow	1	0.1135207275	1
yellow	1	0.0127711675	1
yellow	1	0.0154757305	1
yellow	1	0.015530125	1
yellow	1	0.0256568455	1
yellow	1	0.0248170795	1
yellow	1	0.009104172	1
yellow	1	0.0383536125	1
yellow	1	0.0596815575	1
yellow	1	0.333066208	1
yellow	1	0.0217441435	1
yellow	1	0.017099429	1
yellow	1	0.009424142	1
yellow	1	0.012638444	1
yellow	1	0.02327645	1
yellow	1	0.0292499555	1
yellow	1	0.0178328565	1
yellow	1	0.009690094	1
yellow	1	0.0976314705	1
yellow	1	0.019056322	1
yellow	1	0.0290987745	1
yellow	1	0.033761274	1
yellow	1	0.0338065645	1
yellow	1	0.0121274255	1
yellow	1	0.008327895	1
yellow	1	0.01237944	1
yellow	1	0.015604857	1
yellow	1	0.0113068965	1
yellow	1	0.0166674575	1
yellow	1	0.0387305335	1
yellow	1	0.0059357385	1
yellow	1	0.0496852085	1
yellow	1	0.0202121175	1
yellow	1	0.0194315385	1
yellow	1	0.0101092625	1
yellow	1	0.020284449	1
yellow	1	0.0391111975	1
