trait	tree	distance	cluster_size
green	1	0.0378277528	5
green	1	0.030150184	2
green	1	0.02466914775	4
green	1	0.0141090085	2
green	1	0.017952688	1
green	1	0.017921982	1
green	1	0.0104419265	1
green	1	0.048533524	1
green	1	0.024361011	1
green	1	0.0293407445	1
green	1	0.0158733085	1
green	1	0.020513141	1
green	1	0.037259793	1
green	1	0.0112215025	1
green	1	0.064669832	1
green	1	0.0333620435	1
green	1	0.012496467	1
green	1	0.3915247185	1
green	1	0.023248126	1
green	1	0.021834397	1
green	1	0.0464738255	1
green	1	0.0290860915	1
green	1	0.0328090065	1
green	1	0.036749793	1
green	1	0.029883956	1
green	1	0.031810781	1
green	1	0.1789605	1
green	1	0.010619914	1
green	1	0.018438968	1
green	1	0.2524241985	1
green	1	0.0435061795	1
green	1	0.008388551	1
green	1	0.444728766	1
green	1	0.010572343	1
green	1	0.024838118	1
green	1	0.0275395945	1
green	1	0.245716078	1
green	1	0.0206884	1
green	1	0.1665274405	1
green	1	0.076133893	1
green	1	0.0313775275	1
green	1	0.011648883	1
green	1	0.0298201905	1
green	1	0.3262490245	1
green	1	0.024262354	1
green	1	0.0413838705	1
green	1	0.0100589015	1
green	1	0.012057539	1
green	1	0.2982589	1
green	1	0.55669213125	1
green	1	0.0182529645	1
