trait	tree	distance	cluster_size
blue	1	0.011369918	2
blue	1	0.0090694775	2
blue	1	0.040833601	2
blue	1	0.0197105265	2
blue	1	0.025087378	2
blue	1	0.0557938415	2
blue	1	0.0442822575	2
blue	1	0.019524737	2
blue	1	0.0711348865	2
blue	1	0.310205212272727	11
blue	1	0.042250976	2
blue	1	0.09487229625	4
blue	1	0.0534232175	2
blue	1	0.0232690976666667	3
blue	1	0.038039553	1
blue	1	0.020388127	1
blue	1	0.0269887215	1
blue	1	0.0252097805	1
blue	1	0.030973159	1
blue	1	0.027817417	1
blue	1	0.0804194225	1
blue	1	0.063097946	1
blue	1	0.031457878	1
blue	1	0.0693312695	1
blue	1	0.0499073	1
blue	1	0.0279964655	1
blue	1	0.0253113575	1
blue	1	0.0221872015	1
blue	1	0.6435396125	1
blue	1	0.031275438	1
blue	1	0.074172441	1
blue	1	0.047691434	1
blue	1	0.013347798	1
blue	1	0.0130140025	1
blue	1	0.383579821	1
blue	1	0.026307849	1
blue	1	0.0613243035	1
blue	1	0.1383863495	1
blue	1	0.0268278155	1
blue	1	0.0507978335	1
blue	1	0.039879408	1
blue	1	0.159112658	1
blue	1	0.0111965335	1
blue	1	0.022330609	1
blue	1	0.026533196	1
blue	1	0.0529870495	1
blue	1	0.0483305415	1
blue	1	0.11218984	1
blue	1	0.046651057	1
blue	1	0.024643974	1
blue	1	0.0929583365	1
blue	1	0.026432483	1
blue	1	0.0120665185	1
blue	1	0.0241497495	1
blue	1	0.0127457535	1
blue	1	0.0450069635	1
