x	y	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	pval
sulfur_redox-dissimilatory_sulfur_oxidation	lactose_degradation-all	-0.23662036820861135	-28.073299166383297	1.6313468169376146e-168	13288	-0.25260586343718916	-0.22050573569270257	Pearson's product-moment correlation	two.sided	2.2072450892256584e-167
sulfur_redox-dissimilatory_sulfur_oxidation	Calvin_Benson-all	0.24444092599524742	29.059114385360648	4.743374284839318e-180	13288	0.22838837213278618	0.26036060596036464	Pearson's product-moment correlation	two.sided	7.189956810703807e-179
sulfur_redox-dissimilatory_sulfur_oxidation	CAZy-Arabinose_cleavage	-0.21334888127202672	-25.17307387308359	1.2248479054094983e-136	13288	-0.22951806762804292	-0.197061966992495	Pearson's product-moment correlation	two.sided	1.3493406433363653e-135
sulfur_redox-dissimilatory_sulfur_oxidation	CAZy-Fucose_Cleavage	-0.2204577316372359	-26.053971783938497	5.446297536570377e-146	13288	-0.23657273580504073	-0.2042214697520586	Pearson's product-moment correlation	two.sided	6.383567345189464e-145
sulfur_redox-dissimilatory_sulfur_oxidation	CAZy-Pectin	-0.2421139415510953	-28.76516903419728	1.4212629482989983e-176	13288	-0.2580534192864949	-0.22604269639263927	Pearson's product-moment correlation	two.sided	2.0613425206984033e-175
sulfur_redox-dissimilatory_sulfur_oxidation	CAZy-Xylans	-0.20551753687035726	-24.207490610164736	1.0086869080732801e-126	13288	-0.22174444491837075	-0.1891768326700759	Pearson's product-moment correlation	two.sided	1.0270266700382488e-125
sulfur_redox-dissimilatory_sulfur_oxidation	CAZy-Xyloglucan	-0.24411234091165954	-29.01757520066715	1.4766227680269334e-179	13288	-0.2600348274718844	-0.2280571364180261	Pearson's product-moment correlation	two.sided	2.2215458957778342e-178
urea_degradation-all	phosphorous_redox-assimilatory_phosphonate_oxidation	0.24786846043007074	29.49305594439192	3.069414688918309e-185	13288	0.2318437773965088	0.26375864815615035	Pearson's product-moment correlation	two.sided	4.872393710912844e-184
urea_degradation-all	Calvin_Benson-all	0.2343520560980328	27.788461010253013	3.0217854542270054e-165	13288	0.21821981172811417	0.2503562564276442	Pearson's product-moment correlation	two.sided	3.981646716157936e-164
carbon_redox-dissimilatory_methanotrophy	propionate_fermentation-acrylate_pathway	0.22646968950218543	26.802346443134677	3.663702991958247e-154	13288	0.21027762027076607	0.24253754597121088	Pearson's product-moment correlation	two.sided	4.503673921821845e-153
phosphorous_redox-assimilatory_phosphonate_oxidation	phosphorous_redox-anabolic_phosphate_reduction	0.21063310726917348	24.837662261154733	3.735889077658184e-133	13288	0.19432730090346984	0.22682254412657749	Pearson's product-moment correlation	two.sided	4.027568117945936e-132
