WP_000062639.1_Staphylococcus_aureus_qNor	qNor; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus
BAG66139.1_Geobacillus_stearothermophilus_qNor	qNor; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Anoxybacillaceae; g__Geobacillus; s__Geobacillus thermophilus
CBE68939.1_Ca_Methylomirabilis_oxyfera_qNor	qNor; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
WP_003691589.1_Neisseria_gonorrhoeae_qNor	qNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria; s__Neisseria gonorrhoeae
WP_003113237.1_Pseudomonas_aeruginosa_cNor	cNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas aeruginosa
WP_011748763.1_Paracoccus_denitrificans_cNor	cNor; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__Paracoccus denitrificans
CBE69502.1_Ca_Methylomirabilis_oxyfera_Nod	Nod; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
CBE69496.1_Ca_Methylomirabilis_oxyfera_Nod	Nod; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
A0A143PN64_Luteitalea_pratensis	unknown; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__Luteitalea pratensis
B3DWW2_Methylacidiphilum_infernorum	unknown; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum infernorum
A0A221UVC1_Arenibacter_algicola	unknown; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Arenibacter; s__Arenibacter algicola
WP_009034367.1_Indibacter_alkaliphilus	unknown; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; 
CDX01088.1_Desulfitobacterium_hafniense_cNor	cNor; d__Bacteria; p__Firmicutes_B; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriaceae; g__Desulfitobacterium; s__Desulfitobacterium hafniense
WP_010923475.1_Saccharolobus_solfataricus_qNor	qNor; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__Saccharolobus solfataricus
CBL45628.1_gammaproteobacterium_HdN1_qNor	qNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Ketobacteraceae; g__HdN1; s__HdN1 sp000198515
CBL43845.1_gammaproteobacterium_HdN1_Nod	Nod; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Ketobacteraceae; g__HdN1; s__HdN1 sp000198515
UniRef90_A0A1M3DUU2	norZ_norB
UniRef90_A0A1M3HD06	norZ_norB
UniRef90_A0A1M3NZ98	norZ_norB
UniRef90_A0A1M3NZB2	norZ_norB
UniRef90_A0A1M4SNS9	norZ_norB
UniRef90_A0A1M4V4A6	norZ_norB
UniRef90_A0A1M4XHP3	norZ_norB
UniRef90_A0A1M4XVQ7	norZ_norB
UniRef90_A0A1M5ANG5	norZ_norB
UniRef90_A0A1M5DZW9	norZ_norB
UniRef90_A0A1M5I0B2	norZ_norB
UniRef90_A0A1M5JZ89	norZ_norB
UniRef90_A0A1M5K5E9	norZ_norB
UniRef90_A0A1M5NDK2	norZ_norB
UniRef90_A0A1M5PPG5	norZ_norB
UniRef90_A0A1M5RLH4	norZ_norB
UniRef90_A0A1M5S4B8	norZ_norB
UniRef90_A0A1M5Z6C2	norZ_norB
UniRef90_A0A1M6ELF9	norZ_norB
UniRef90_A0A1M6J662	norZ_norB
UniRef90_A0A1M6LSR7	norZ_norB
UniRef90_A0A1M6MG69	norZ_norB
UniRef90_A0A1M6X5S5	norZ_norB
UniRef90_A0A1M7A227	norZ_norB
UniRef90_A0A1M7FWE3	norZ_norB
UniRef90_A0A1M7GD67	norZ_norB
UniRef90_A0A1M7IB83	norZ_norB
UniRef90_A0A1M7M1Y2	norZ_norB
UniRef90_A0A1M7P3R9	norZ_norB
UniRef90_A0A1N6IAI9	norZ_norB
UniRef90_A0A1N6KPT1	norZ_norB
UniRef90_A0A1N6R9P2	norZ_norB
UniRef90_A0A1N7AJ47	norZ_norB
UniRef90_A0A1N7B315	norZ_norB
UniRef90_A0A1N7EZL6	norZ_norB
UniRef90_A0A1N7GN77	norZ_norB
UniRef90_A0A1N7MXX1	norZ_norB
UniRef90_A0A1N7P8I3	norZ_norB
UniRef90_A0A1P8WAJ8	norZ_norB
UniRef90_A0A1Q1FKR9	norZ_norB
UniRef90_A0A1Q2CDD4	norZ_norB
UniRef90_A0A1Q3HP61	norZ_norB
UniRef90_A0A1Q3J1Z4	norZ_norB
UniRef90_A0A1Q3KHV7	norZ_norB
UniRef90_A0A1Q3QFF2	norZ_norB
UniRef90_A0A1Q3QKE4	norZ_norB
UniRef90_A0A1Q3QVH7	norZ_norB
UniRef90_A0A1Q3SQ69	norZ_norB
UniRef90_A0A1Q3V994	norZ_norB
UniRef90_A0A1Q3VLL0	norZ_norB
UniRef90_A0A1Q4D096	norZ_norB
UniRef90_A0A1Q4ENG7	norZ_norB
UniRef90_A0A1Q8QWY2	norZ_norB
UniRef90_A0A1Q8TFQ3	norZ_norB
UniRef90_A0A1Q9GX71	norZ_norB
UniRef90_A0A1R1I9S2	norZ_norB
UniRef90_A0A1R1LE13	norZ_norB
UniRef90_A0A1R3TCC9	norZ_norB
UniRef90_A0A1R3WKN3	norZ_norB
UniRef90_A0A1R4GGZ9	norZ_norB
UniRef90_A0A1S1NNX3	norZ_norB
UniRef90_A0A1S2RF20	norZ_norB
UniRef90_A0A1S6QGA8	norZ_norB
UniRef90_A0A1S7LKY4	norZ_norB
UniRef90_A0A1S8FUM6	norZ_norB
UniRef90_A0A1T0A7T0	norZ_norB
UniRef90_A0A1T0CNZ8	norZ_norB
UniRef90_A0A1T1AN70	norZ_norB
UniRef90_A0A1T4LBU8	norZ_norB
UniRef90_A0A1T4ST60	norZ_norB
UniRef90_A0A1T5GI22	norZ_norB
UniRef90_A0A1T5IKY7	norZ_norB
UniRef90_A0A1U6GKL7	norZ_norB
UniRef90_A0A1U7CLY8	norZ_norB
UniRef90_A0A1U7GJU9	norZ_norB
UniRef90_A0A1U7H9L0	norZ_norB
UniRef90_A0A1U7MF66	norZ_norB
UniRef90_A0A1V2VPF9	norZ_norB
UniRef90_A0A1V3NE18	norZ_norB
UniRef90_A0A1V3QPI9	norZ_norB
UniRef90_A0A1V3S1M0	norZ_norB
UniRef90_A0A1V5CSY9	norZ_norB
UniRef90_A0A1V5FJ45	norZ_norB
UniRef90_A0A1V5G3B6	norZ_norB
UniRef90_A0A1V5HZ81	norZ_norB
UniRef90_A0A1V5IP32	norZ_norB
UniRef90_A0A1V5LVU8	norZ_norB
UniRef90_A0A1V5LZM2	norZ_norB
UniRef90_A0A1V5M085	norZ_norB
UniRef90_A0A1V5R6M6	norZ_norB
UniRef90_A0A1V5RK72	norZ_norB
UniRef90_A0A1V5X0K0	norZ_norB
UniRef90_A0A1V5YY80	norZ_norB
UniRef90_A0A1V6JPK3	norZ_norB
UniRef90_A0A1V9FQN2	norZ_norB
UniRef90_A0A1W1BLB2	norZ_norB
UniRef90_A0A1W1BYE7	norZ_norB
UniRef90_A0A1W1CXB6	norZ_norB
UniRef90_A0A1W1E702	norZ_norB
UniRef90_A0A1W1XWQ5	norZ_norB
UniRef90_A0A1W2DX83	norZ_norB
UniRef90_A0A1W2HB85	norZ_norB
UniRef90_A0A1W9QWN0	norZ_norB
UniRef90_A0A1X0D8X1	norZ_norB
UniRef90_A0A1X1XJL9	norZ_norB
UniRef90_A0A1X1Y7J8	norZ_norB
UniRef90_A0A1X2ECP4	norZ_norB
UniRef90_A0A1X4N6W2	norZ_norB
UniRef90_A0A1X9YQN6	norZ_norB
UniRef90_A0A1Y0CXT6	norZ_norB
UniRef90_A0A1Y0D0V6	norZ_norB
UniRef90_A0A1Y0FRW0	norZ_norB
UniRef90_A0A1Y0FSP0	norZ_norB
UniRef90_A0A1Y1CL64	norZ_norB
UniRef90_A0A1Y5NW56	norZ_norB
UniRef90_A0A1Y5SN91	norZ_norB
UniRef90_A0A1Y6CCH2	norZ_norB
UniRef90_A0A1Z3HQ92	norZ_norB
UniRef90_A0A1Z4VMM0	norZ_norB
UniRef90_A0A1Z5HDL3	norZ_norB
UniRef90_A0A1Z5IX44	norZ_norB
UniRef90_A0A202DNL4	norZ_norB
UniRef90_A0A212DWV4	norZ_norB
UniRef90_A0A212R8Z2	norZ_norB
UniRef90_A0A218PRU9	norZ_norB
UniRef90_A0A221UVC1	norZ_norB
UniRef90_A0A223PP93	norZ_norB
UniRef90_A0A223PPA5	norZ_norB
UniRef90_A0A223PPJ2	norZ_norB
UniRef90_A0A223PPK5	norZ_norB
UniRef90_A0A223PPU5	norZ_norB
UniRef90_A0A223PQ11	norZ_norB
UniRef90_A0A223PQ18	norZ_norB
UniRef90_A0A223PQ35	norZ_norB
UniRef90_A0A223PQA6	norZ_norB
UniRef90_A0A223PQD3	norZ_norB
UniRef90_A0A238DSL2	norZ_norB
UniRef90_A0A238HJ02	norZ_norB
UniRef90_A0A238J9T7	norZ_norB
UniRef90_A0A239AHI2	norZ_norB
UniRef90_A0A239F4F9	norZ_norB
UniRef90_A0A239LI50	norZ_norB
UniRef90_A0A239ZR16	norZ_norB
UniRef90_A0A248LIP1	norZ_norB
UniRef90_A0A249MZT0	norZ_norB
UniRef90_A0A250L0Y3	norZ_norB
UniRef90_A0A254TCX2	norZ_norB
UniRef90_A0A254TEU3	norZ_norB
UniRef90_A0A255H792	norZ_norB
UniRef90_A0A257I0P0	norZ_norB
UniRef90_A0A257N131	norZ_norB
UniRef90_A0A257PR87	norZ_norB
UniRef90_A0A257QA81	norZ_norB
UniRef90_A0A257SHZ1	norZ_norB
UniRef90_A0A257W6P9	norZ_norB
UniRef90_A0A257WC14	norZ_norB
UniRef90_A0A257WFM4	norZ_norB
UniRef90_A0A258BV23	norZ_norB
UniRef90_A0A258C473	norZ_norB
UniRef90_A0A258I207	norZ_norB
UniRef90_A0A258JXU0	norZ_norB
UniRef90_A0A258KVZ8	norZ_norB
UniRef90_A0A258UIQ1	norZ_norB
UniRef90_A0A258WKN8	norZ_norB
UniRef90_A0A259F8G7	norZ_norB
UniRef90_A0A259GR22	norZ_norB
UniRef90_A0A259LFM9	norZ_norB
UniRef90_A0A259LS02	norZ_norB
UniRef90_A0A261GUU8	norZ_norB
UniRef90_A0A261SF53	norZ_norB
UniRef90_A0A265NB57	norZ_norB
UniRef90_A0A265NC93	norZ_norB
UniRef90_A0A284VJY6	norZ_norB
UniRef90_A0A284VRY2	norZ_norB
UniRef90_A0A285NMA4	norZ_norB
UniRef90_A0A285P2K2	norZ_norB
UniRef90_A0A285P712	norZ_norB
UniRef90_A0A285X0U7	norZ_norB
UniRef90_A0A286CZ39	norZ_norB
UniRef90_A0A286GE56	norZ_norB
UniRef90_A0A286GKG1	norZ_norB
UniRef90_A0A286RJX6	norZ_norB
UniRef90_A0A286U3X6	norZ_norB
UniRef90_A0A290Y598	norZ_norB
UniRef90_A0A290Y5B1	norZ_norB
UniRef90_A0A290ZL23	norZ_norB
UniRef90_A0A291ARH6	norZ_norB
UniRef90_A0A291ARI0	norZ_norB
UniRef90_A0A291ARJ5	norZ_norB
UniRef90_A0A291ARJ7	norZ_norB
UniRef90_A0A291ARK6	norZ_norB
UniRef90_A0A291ARL4	norZ_norB
UniRef90_A0A291ARL6	norZ_norB
UniRef90_A0A291ARM0	norZ_norB
UniRef90_A0A291ARQ5	norZ_norB
UniRef90_A0A291ARR4	norZ_norB
UniRef90_A0A291ARS0	norZ_norB
UniRef90_A0A291ARS5	norZ_norB
UniRef90_A0A291ARS7	norZ_norB
UniRef90_A0A291ARS8	norZ_norB
UniRef90_A0A291ART1	norZ_norB
UniRef90_A0A291ART4	norZ_norB
UniRef90_A0A291ARU2	norZ_norB
UniRef90_A0A291ARU9	norZ_norB
UniRef90_A0A291ARV1	norZ_norB
UniRef90_A0A291HT76	norZ_norB
UniRef90_A0A291IL76	norZ_norB
UniRef90_A0A292YSI0	norZ_norB
UniRef90_A0A2A3MG74	norZ_norB
UniRef90_A0A2A4QJ74	norZ_norB
UniRef90_A0A2A4TRD8	norZ_norB
UniRef90_A0A2A4UYK1	norZ_norB
UniRef90_A0A2A4Z450	norZ_norB
UniRef90_A0A2A5ACY7	norZ_norB
UniRef90_A0A2A5AHZ8	norZ_norB
UniRef90_A0A2A5BHF9	norZ_norB
UniRef90_A0A2A5FYP1	norZ_norB
UniRef90_A0A2A5GCZ5	norZ_norB
UniRef90_A0A2A5HQI2	norZ_norB
UniRef90_A0A2A5QPL2	norZ_norB
UniRef90_A0A2A7UR79	norZ_norB
UniRef90_A0A2A8IB07	norZ_norB
UniRef90_A0A2A8IBB6	norZ_norB
UniRef90_A0A2A8ICN8	norZ_norB
UniRef90_A0A2C1ZES2	norZ_norB
UniRef90_A0A2D2D7A6	norZ_norB
UniRef90_A0A2D3WQH8	norZ_norB
UniRef90_A0A2D4VER8	norZ_norB
UniRef90_A0A2D5ZCD8	norZ_norB
UniRef90_A0A2D6BKA0	norZ_norB
UniRef90_A0A2D6HBD9	norZ_norB
UniRef90_A0A2D6MRV3	norZ_norB
UniRef90_A0A2D6N005	norZ_norB
UniRef90_A0A2D6PU34	norZ_norB
UniRef90_A0A2D6Q1A6	norZ_norB
UniRef90_A0A2D7ZXE9	norZ_norB
UniRef90_A0A2D8J563	norZ_norB
UniRef90_A0A2D8X9N6	norZ_norB
UniRef90_A0A2E0ULG5	norZ_norB
UniRef90_A0A2E0W242	norZ_norB
UniRef90_A0A2E0WP44	norZ_norB
UniRef90_A0A2E0X5V5	norZ_norB
UniRef90_A0A2E1EIN2	norZ_norB
UniRef90_A0A2E1VQ91	norZ_norB
UniRef90_A0A2E2AY46	norZ_norB
UniRef90_A0A2E2MQT6	norZ_norB
UniRef90_A0A2E2W122	norZ_norB
UniRef90_A0A2E2XPG3	norZ_norB
UniRef90_A0A2E2XVS8	norZ_norB
UniRef90_A0A2E4EKG3	norZ_norB
UniRef90_A0A2E4R8M0	norZ_norB
UniRef90_A0A2E6LRU6	norZ_norB
UniRef90_A0A2E6RCF8	norZ_norB
UniRef90_A0A2E6REV0	norZ_norB
UniRef90_A0A2E7XK93	norZ_norB
UniRef90_A0A2E7YVR8	norZ_norB
UniRef90_A0A2E8PSU5	norZ_norB
UniRef90_A0A2E9D366	norZ_norB
UniRef90_A0A2E9GQ68	norZ_norB
UniRef90_A0A2E9JCF7	norZ_norB
UniRef90_A0A2E9JUF5	norZ_norB
UniRef90_A0A2E9RHQ5	norZ_norB
UniRef90_A0A2E9X814	norZ_norB
UniRef90_A0A2G1BYV2	norZ_norB
UniRef90_A0A2G2FYM7	norZ_norB
UniRef90_A0A2G2GMW1	norZ_norB
UniRef90_A0A2G2I5Q0	norZ_norB
UniRef90_A0A2G2LL51	norZ_norB
UniRef90_A0A2G2LTH4	norZ_norB
UniRef90_A0A2G2QCJ4	norZ_norB
UniRef90_A0A2G2QYG2	norZ_norB
UniRef90_A0A2G4YUM6	norZ_norB
UniRef90_A0A2G6G4B1	norZ_norB
UniRef90_A0A2G8AV55	norZ_norB
UniRef90_A0A2G8HUC2	norZ_norB
UniRef90_A0A2G8TCN3	norZ_norB
UniRef90_A0A2G9ZUY0	norZ_norB
UniRef90_A0A2H0DD20	norZ_norB
UniRef90_A0A2H0DJU1	norZ_norB
UniRef90_A0A2H0DN40	norZ_norB
UniRef90_A0A2H0FP55	norZ_norB
UniRef90_A0A2H0LPW4	norZ_norB
UniRef90_A0A2H0PM56	norZ_norB
UniRef90_A0A2H1E6X1	norZ_norB
UniRef90_A0A2H1XN49	norZ_norB
UniRef90_A0A2H5VPQ1	norZ_norB
UniRef90_A0A2H5VR04	norZ_norB
UniRef90_A0A2H5W1S7	norZ_norB
UniRef90_A0A2H5WHQ0	norZ_norB
UniRef90_A0A2H5XF77	norZ_norB
UniRef90_A0A2H5ZY84	norZ_norB
UniRef90_A0A2H9SKF8	norZ_norB
UniRef90_A0A2I0QAX2	norZ_norB
UniRef90_A0A2I0QD64	norZ_norB
UniRef90_A0A2I6S700	norZ_norB
UniRef90_A0A2I6SB01	norZ_norB
UniRef90_A0A2I8VPX2	norZ_norB
UniRef90_A0A2J6XGQ7	norZ_norB
UniRef90_A0A2J9DX40	norZ_norB
UniRef90_A0A2K1C7G2	norZ_norB
UniRef90_A0A2K8MI32	norZ_norB
UniRef90_A0A2K8X0W9	norZ_norB
UniRef90_A0A2K8XE14	norZ_norB
UniRef90_A0A2K8XS02	norZ_norB
UniRef90_A0A2K9LK57	norZ_norB
UniRef90_A0A2K9MCR2	norZ_norB
UniRef90_A0A2K9PPM6	norZ_norB
UniRef90_A0A2M6GDX6	norZ_norB
UniRef90_A0A2M6YX36	norZ_norB
UniRef90_A0A2M7ADW9	norZ_norB
UniRef90_A0A2M7EYA2	norZ_norB
UniRef90_A0A2M7FAU6	norZ_norB
UniRef90_A0A2M7G063	norZ_norB
UniRef90_A0A2M7GHM2	norZ_norB
UniRef90_A0A2M7L1T0	norZ_norB
UniRef90_A0A2M7QM07	norZ_norB
UniRef90_A0A2M8D0S6	norZ_norB
UniRef90_A0A2M8UIR2	norZ_norB
UniRef90_A0A2M9ZQP0	norZ_norB
UniRef90_A0A2N0HA53	norZ_norB
UniRef90_A0A2N0ZRW4	norZ_norB
UniRef90_A0A2N1RM29	norZ_norB
UniRef90_A0A2N1VHG4	norZ_norB
UniRef90_A0A2N2A9R5	norZ_norB
UniRef90_A0A2N2H6T9	norZ_norB
UniRef90_A0A2N2JG24	norZ_norB
UniRef90_A0A2N2N831	norZ_norB
UniRef90_A0A2N2PHT5	norZ_norB
UniRef90_A0A2N2S4W1	norZ_norB
UniRef90_A0A2N2T9C9	norZ_norB
UniRef90_A0A2N2VT28	norZ_norB
UniRef90_A0A2N2WV08	norZ_norB
UniRef90_A0A2N2YX73	norZ_norB
UniRef90_A0A2N2Z572	norZ_norB
UniRef90_A0A2N2ZFQ5	norZ_norB
UniRef90_A0A2N3AA20	norZ_norB
UniRef90_A0A2N3AEL0	norZ_norB
UniRef90_A0A2N3AV14	norZ_norB
UniRef90_A0A2N3BSY6	norZ_norB
UniRef90_A0A2N3BXH1	norZ_norB
UniRef90_A0A2N3CNG9	norZ_norB
UniRef90_A0A2N3DT49	norZ_norB
UniRef90_A0A2N3HMW1	norZ_norB
UniRef90_A0A2N3T434	norZ_norB
UniRef90_A0A2N4UIY1	norZ_norB
UniRef90_A0A2N5G8X2	norZ_norB
UniRef90_A0A2N5X282	norZ_norB
UniRef90_A0A2N6B1M9	norZ_norB
UniRef90_A0A2N6BM63	norZ_norB
UniRef90_A0A2N6FXU3	norZ_norB
UniRef90_A0A2N6INU2	norZ_norB
UniRef90_A0A2N7VCS5	norZ_norB
UniRef90_A0A2N7VGL2	norZ_norB
UniRef90_A0A2N8KQC6	norZ_norB
UniRef90_A0A2N8Z6S6	norZ_norB
UniRef90_A0A2N9LUF8	norZ_norB
UniRef90_A0A2N9M4Z8	norZ_norB
UniRef90_A0A2N9PD03	norZ_norB
UniRef90_A0A2P1NHT3	norZ_norB
UniRef90_A0A2P1PRK4	norZ_norB
UniRef90_A0A2P5TNT9	norZ_norB
UniRef90_A0A2P6JQF9	norZ_norB
UniRef90_A0A2P6WDZ9	norZ_norB
UniRef90_A0A2P7TZ06	norZ_norB
UniRef90_A0A2P8C694	norZ_norB
UniRef90_A0A2P9H1N3	norZ_norB
UniRef90_A0A2R3QBX5	norZ_norB
UniRef90_A0A2R3Z858	norZ_norB
UniRef90_A0A2R4BN67	norZ_norB
UniRef90_A0A2R4MC25	norZ_norB
UniRef90_A0A2R5F911	norZ_norB
UniRef90_A0A2R5GZY1	norZ_norB
UniRef90_A0A2R6FB37	norZ_norB
UniRef90_A0A2R7K132	norZ_norB
UniRef90_A0A2R8AJ75	norZ_norB
UniRef90_A0A2R8BKD3	norZ_norB
UniRef90_A0A2S0IHL6	norZ_norB
UniRef90_A0A2S0MDT1	norZ_norB
UniRef90_A0A2S0MSH4	norZ_norB
UniRef90_A0A2S0VN16	norZ_norB
UniRef90_A0A2S2CYK2	norZ_norB
UniRef90_A0A2S5A2K9	norZ_norB
UniRef90_A0A2S5LYU8	norZ_norB
UniRef90_A0A2S5N337	norZ_norB
UniRef90_A0A2S5QL88	norZ_norB
UniRef90_A0A2S5SSN8	norZ_norB
UniRef90_A0A2S6D3B7	norZ_norB
UniRef90_A0A2S6NN33	norZ_norB
UniRef90_A0A2S8A7Y6	norZ_norB
UniRef90_A0A2S8HCJ3	norZ_norB
UniRef90_A0A2S8KM75	norZ_norB
UniRef90_A0A2S8L5F9	norZ_norB
UniRef90_A0A2S8S3A6	norZ_norB
UniRef90_A0A2S9XE03	norZ_norB
UniRef90_A0A2S9YF27	norZ_norB
UniRef90_A0A2T0AQ66	norZ_norB
UniRef90_A0A2T0LGV1	norZ_norB
UniRef90_A0A2T0U0Y4	norZ_norB
UniRef90_A0A2T1HLY3	norZ_norB
UniRef90_A0A2T4JRL6	norZ_norB
UniRef90_A0A2T4S701	norZ_norB
UniRef90_A0A2T4TZ41	norZ_norB
UniRef90_A0A2T4U1L3	norZ_norB
UniRef90_A0A2T4U1L4	norZ_norB
UniRef90_A0A2T4VA43	norZ_norB
UniRef90_A0A2T5IGS4	norZ_norB
UniRef90_A0A2T5KP40	norZ_norB
UniRef90_A0A2T7G8E0	norZ_norB
UniRef90_A0A2T9WXI1	norZ_norB
UniRef90_A0A2U1CM59	norZ_norB
UniRef90_A0A2U1RJV2	norZ_norB
UniRef90_A0A2U1RVV5	norZ_norB
UniRef90_A0A2U1S150	norZ_norB
UniRef90_A0A2U1VT74	norZ_norB
UniRef90_A0A2U1VVP2	norZ_norB
UniRef90_A0A2U1W1K6	norZ_norB
UniRef90_A0A2U2BVM4	norZ_norB
UniRef90_A0A2U2CR43	norZ_norB
UniRef90_A0A2U2HI66	norZ_norB
UniRef90_A0A2U2J088	norZ_norB
UniRef90_A0A2U2PAE2	norZ_norB
UniRef90_A0A2U3QHM3	norZ_norB
UniRef90_A0A2U8FPK0	norZ_norB
UniRef90_A0A2U9T484	norZ_norB
UniRef90_A0A2V1K1Q7	norZ_norB
UniRef90_A0A2V3AA08	norZ_norB
UniRef90_A0A2V8J4Y6	norZ_norB
UniRef90_A0A2V8RFW8	norZ_norB
UniRef90_A0A2V8S8I2	norZ_norB
UniRef90_A0A2V9IRQ8	norZ_norB
UniRef90_A0A2V9KH32	norZ_norB
UniRef90_A0A2W2BXQ6	norZ_norB
UniRef90_A0A2W4IT33	norZ_norB
UniRef90_A0A2W4KSM0	norZ_norB
UniRef90_A0A2W4LTR2	norZ_norB
UniRef90_A0A2W4M2W3	norZ_norB
UniRef90_A0A2W4MAB3	norZ_norB
UniRef90_A0A2W4NGS1	norZ_norB
UniRef90_A0A2W4XXE0	norZ_norB
UniRef90_A0A2W5LMY6	norZ_norB
UniRef90_A0A2W6DDM1	norZ_norB
UniRef90_A0A2W6UDI4	norZ_norB
UniRef90_A0A2W6W2F3	norZ_norB
UniRef90_A0A2W7SS63	norZ_norB
UniRef90_A0A2X1TDE7	norZ_norB
UniRef90_A0A2X1WJ19	norZ_norB
UniRef90_A0A2Z2NQU7	norZ_norB
UniRef90_A0A2Z4UJJ8	norZ_norB
UniRef90_A0A2Z5R0J7	norZ_norB
UniRef90_A0A2Z6A7R1	norZ_norB
UniRef90_A0A2Z6DXZ7	norZ_norB
UniRef90_A0A315XV43	norZ_norB
UniRef90_A0A316DPY6	norZ_norB
UniRef90_A0A316IES3	norZ_norB
UniRef90_A0A317IF95	norZ_norB
UniRef90_A0A317Q5G6	norZ_norB
UniRef90_A0A318D7F4	norZ_norB
UniRef90_A0A318GVG9	norZ_norB
UniRef90_A0A318IYM3	norZ_norB
UniRef90_A0A318KVJ7	norZ_norB
UniRef90_A0A318MUL7	norZ_norB
UniRef90_A0A326RUH7	norZ_norB
UniRef90_A0A327JN28	norZ_norB
UniRef90_A0A327JXN3	norZ_norB
UniRef90_A0A327LZ99	norZ_norB
UniRef90_A0A328P3L3	norZ_norB
UniRef90_A0A329B6V6	norZ_norB
UniRef90_A0A329N0G1	norZ_norB
UniRef90_A0A336N6W9	norZ_norB
UniRef90_A0A344J7E1	norZ_norB
UniRef90_A0A344URR8	norZ_norB
UniRef90_A0A345NJI0	norZ_norB
UniRef90_A0A346DKT9	norZ_norB
UniRef90_A0A346DKV6	norZ_norB
UniRef90_A0A347UKM8	norZ_norB
UniRef90_A0A348Y983	norZ_norB
UniRef90_A0A349L3C3	norZ_norB
UniRef90_A0A350BWG0	norZ_norB
UniRef90_A0A350DMW9	norZ_norB
UniRef90_A0A350UH59	norZ_norB
UniRef90_A0A352GJS1	norZ_norB
UniRef90_A0A352JQS6	norZ_norB
UniRef90_A0A353MEK3	norZ_norB
UniRef90_A0A353NHE0	norZ_norB
UniRef90_A0A353PFR8	norZ_norB
UniRef90_A0A353RJA6	norZ_norB
UniRef90_A0A353XSF5	norZ_norB
UniRef90_A0A354C018	norZ_norB
UniRef90_A0A354GVW9	norZ_norB
UniRef90_A0A354Z4G9	norZ_norB
UniRef90_A0A355IVX6	norZ_norB
UniRef90_A0A356LMA2	norZ_norB
UniRef90_A0A357F1X8	norZ_norB
UniRef90_A0A358Q2B7	norZ_norB
UniRef90_A0A359C7B6	norZ_norB
UniRef90_A0A359FZI1	norZ_norB
UniRef90_A0A359LQQ9	norZ_norB
UniRef90_A0A363SKZ9	norZ_norB
UniRef90_A0A363SL42	norZ_norB
UniRef90_A0A363TT03	norZ_norB
UniRef90_A0A365T574	norZ_norB
UniRef90_A0A365TAM6	norZ_norB
UniRef90_A0A365XZC8	norZ_norB
UniRef90_A0A366HKE2	norZ_norB
UniRef90_A0A366XR48	norZ_norB
UniRef90_A0A368YMD7	norZ_norB
UniRef90_A0A369CJS0	norZ_norB
UniRef90_A0A369WMP3	norZ_norB
UniRef90_A0A370DM51	norZ_norB
UniRef90_A0A370G441	norZ_norB
UniRef90_A0A370K802	norZ_norB
UniRef90_A0A372DNI8	norZ_norB
UniRef90_A0A376BUG3	norZ_norB
UniRef90_A0A376HX61	norZ_norB
UniRef90_A0A377G765	norZ_norB
UniRef90_A0A377GHI0	norZ_norB
UniRef90_A0A377H8B5	norZ_norB
UniRef90_A0A377IUB5	norZ_norB
UniRef90_A0A377Q4I1	norZ_norB
UniRef90_A0A378IAX0	norZ_norB
UniRef90_A0A378IQ47	norZ_norB
UniRef90_A0A378JF81	norZ_norB
UniRef90_A0A378JT90	norZ_norB
UniRef90_A0A378KA64	norZ_norB
UniRef90_A0A378LAS7	norZ_norB
UniRef90_A0A378LRI4	norZ_norB
UniRef90_A0A378QGZ0	norZ_norB
UniRef90_A0A378U4I6	norZ_norB
UniRef90_A0A378UWL9	norZ_norB
UniRef90_A0A378XFL3	norZ_norB
