WP_000062639.1_Staphylococcus_aureus_qNor	qNor; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus
BAG66139.1_Geobacillus_stearothermophilus_qNor	qNor; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Anoxybacillaceae; g__Geobacillus; s__Geobacillus thermophilus
CBE68939.1_Ca_Methylomirabilis_oxyfera_qNor	qNor; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
WP_003691589.1_Neisseria_gonorrhoeae_qNor	qNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria; s__Neisseria gonorrhoeae
WP_003113237.1_Pseudomonas_aeruginosa_cNor	cNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas aeruginosa
WP_011748763.1_Paracoccus_denitrificans_cNor	cNor; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__Paracoccus denitrificans
CBE69502.1_Ca_Methylomirabilis_oxyfera_Nod	Nod; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
CBE69496.1_Ca_Methylomirabilis_oxyfera_Nod	Nod; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxyfera
A0A143PN64_Luteitalea_pratensis	unknown; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__Luteitalea pratensis
B3DWW2_Methylacidiphilum_infernorum	unknown; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum infernorum
A0A221UVC1_Arenibacter_algicola	unknown; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Arenibacter; s__Arenibacter algicola
WP_009034367.1_Indibacter_alkaliphilus	unknown; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; 
CDX01088.1_Desulfitobacterium_hafniense_cNor	cNor; d__Bacteria; p__Firmicutes_B; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriaceae; g__Desulfitobacterium; s__Desulfitobacterium hafniense
WP_010923475.1_Saccharolobus_solfataricus_qNor	qNor; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__Saccharolobus solfataricus
CBL45628.1_gammaproteobacterium_HdN1_qNor	qNor; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Ketobacteraceae; g__HdN1; s__HdN1 sp000198515
CBL43845.1_gammaproteobacterium_HdN1_Nod	Nod; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Ketobacteraceae; g__HdN1; s__HdN1 sp000198515
UniRef90_A0A1F2R917	norZ_norB
UniRef90_A0A1F2RSQ1	norZ_norB
UniRef90_A0A1F2SYJ2	norZ_norB
UniRef90_A0A1F2T3Y7	norZ_norB
UniRef90_A0A1F3B5M5	norZ_norB
UniRef90_A0A1F3C917	norZ_norB
UniRef90_A0A1F3DKD9	norZ_norB
UniRef90_A0A1F3H581	norZ_norB
UniRef90_A0A1F3JVB8	norZ_norB
UniRef90_A0A1F3MSH2	norZ_norB
UniRef90_A0A1F3SEE7	norZ_norB
UniRef90_A0A1F3T131	norZ_norB
UniRef90_A0A1F3T867	norZ_norB
UniRef90_A0A1F3TVX1	norZ_norB
UniRef90_A0A1F3V426	norZ_norB
UniRef90_A0A1F3Y0S4	norZ_norB
UniRef90_A0A1F4HPC7	norZ_norB
UniRef90_A0A1F4JG92	norZ_norB
UniRef90_A0A1F4K2H3	norZ_norB
UniRef90_A0A1F4LHM9	norZ_norB
UniRef90_A0A1F4P580	norZ_norB
UniRef90_A0A1F4XE67	norZ_norB
UniRef90_A0A1F4YMF3	norZ_norB
UniRef90_A0A1F5BNS4	norZ_norB
UniRef90_A0A1F5YT30	norZ_norB
UniRef90_A0A1F7RWI1	norZ_norB
UniRef90_A0A1F8WXA8	norZ_norB
UniRef90_A0A1F8YP54	norZ_norB
UniRef90_A0A1F9B4N1	norZ_norB
UniRef90_A0A1F9BWB9	norZ_norB
UniRef90_A0A1F9C4H5	norZ_norB
UniRef90_A0A1F9CQ08	norZ_norB
UniRef90_A0A1F9CUE8	norZ_norB
UniRef90_A0A1F9EEJ0	norZ_norB
UniRef90_A0A1F9EY69	norZ_norB
UniRef90_A0A1F9I0S3	norZ_norB
UniRef90_A0A1F9LZY3	norZ_norB
UniRef90_A0A1F9NK86	norZ_norB
UniRef90_A0A1F9RAB7	norZ_norB
UniRef90_A0A1F9RXF4	norZ_norB
UniRef90_A0A1F9WAD5	norZ_norB
UniRef90_A0A1G0FWB3	norZ_norB
UniRef90_A0A1G0KV36	norZ_norB
UniRef90_A0A1G0LPW3	norZ_norB
UniRef90_A0A1G0NWK1	norZ_norB
UniRef90_A0A1G1F505	norZ_norB
UniRef90_A0A1G1FFG2	norZ_norB
UniRef90_A0A1G1HQD2	norZ_norB
UniRef90_A0A1G1IJV3	norZ_norB
UniRef90_A0A1G2WCA0	norZ_norB
UniRef90_A0A1G3ABG0	norZ_norB
UniRef90_A0A1G3C1G4	norZ_norB
UniRef90_A0A1G3J368	norZ_norB
UniRef90_A0A1G3QGA9	norZ_norB
UniRef90_A0A1G3QRT0	norZ_norB
UniRef90_A0A1G4A673	norZ_norB
UniRef90_A0A1G4G7T8	norZ_norB
UniRef90_A0A1G4SBN0	norZ_norB
UniRef90_A0A1G5P4F7	norZ_norB
UniRef90_A0A1G5Q8K4	norZ_norB
UniRef90_A0A1G5SHH0	norZ_norB
UniRef90_A0A1G5VPQ5	norZ_norB
UniRef90_A0A1G6D3P2	norZ_norB
UniRef90_A0A1G6HE87	norZ_norB
UniRef90_A0A1G6P318	norZ_norB
UniRef90_A0A1G6PNY8	norZ_norB
UniRef90_A0A1G6XK59	norZ_norB
UniRef90_A0A1G6YQ66	norZ_norB
UniRef90_A0A1G7AA60	norZ_norB
UniRef90_A0A1G7BJ26	norZ_norB
UniRef90_A0A1G8CWS4	norZ_norB
UniRef90_A0A1G8V086	norZ_norB
UniRef90_A0A1G8Z2Y7	norZ_norB
UniRef90_A0A1G8ZDN8	norZ_norB
UniRef90_A0A1G9BUT1	norZ_norB
UniRef90_A0A1G9HK24	norZ_norB
UniRef90_A0A1G9TNJ4	norZ_norB
UniRef90_A0A1G9U6Z3	norZ_norB
UniRef90_A0A1H0FNK7	norZ_norB
UniRef90_A0A1H0ITX6	norZ_norB
UniRef90_A0A1H0MPP6	norZ_norB
UniRef90_A0A1H0Z641	norZ_norB
UniRef90_A0A1H1FT42	norZ_norB
UniRef90_A0A1H1IBQ5	norZ_norB
UniRef90_A0A1H2FFB4	norZ_norB
UniRef90_A0A1H2R974	norZ_norB
UniRef90_A0A1H3B921	norZ_norB
UniRef90_A0A1H3FNC4	norZ_norB
UniRef90_A0A1H3GLZ4	norZ_norB
UniRef90_A0A1H3VK70	norZ_norB
UniRef90_A0A1H4CK09	norZ_norB
UniRef90_A0A1H4DUJ5	norZ_norB
UniRef90_A0A1H4GML5	norZ_norB
UniRef90_A0A1H4LLL8	norZ_norB
UniRef90_A0A1H5HBN6	norZ_norB
UniRef90_A0A1H5JE53	norZ_norB
UniRef90_A0A1H5TIX6	norZ_norB
UniRef90_A0A1H6BAE9	norZ_norB
UniRef90_A0A1H6FD37	norZ_norB
UniRef90_A0A1H6HV74	norZ_norB
UniRef90_A0A1H7KNW2	norZ_norB
UniRef90_A0A1H7VRX0	norZ_norB
UniRef90_A0A1H8FXC3	norZ_norB
UniRef90_A0A1H8I210	norZ_norB
UniRef90_A0A1H8PFV7	norZ_norB
UniRef90_A0A1H8R7M4	norZ_norB
UniRef90_A0A1H8ZR76	norZ_norB
UniRef90_A0A1H9A6S7	norZ_norB
UniRef90_A0A1H9J4P3	norZ_norB
UniRef90_A0A1H9S3S1	norZ_norB
UniRef90_A0A1H9SKS6	norZ_norB
UniRef90_A0A1I0RBR8	norZ_norB
UniRef90_A0A1I1CZ83	norZ_norB
UniRef90_A0A1I1FPY0	norZ_norB
UniRef90_A0A1I1X2P4	norZ_norB
UniRef90_A0A1I2ECQ5	norZ_norB
UniRef90_A0A1I2M7V9	norZ_norB
UniRef90_A0A1I2V2V9	norZ_norB
UniRef90_A0A1I3CWQ6	norZ_norB
UniRef90_A0A1I3DLS4	norZ_norB
UniRef90_A0A1I3PKI0	norZ_norB
UniRef90_A0A1I3R7T7	norZ_norB
UniRef90_A0A1I4R7L5	norZ_norB
UniRef90_A0A1I4SHF1	norZ_norB
UniRef90_A0A1I5AHQ0	norZ_norB
UniRef90_A0A1I5ULN0	norZ_norB
UniRef90_A0A1I6GR71	norZ_norB
UniRef90_A0A1I6HNZ5	norZ_norB
UniRef90_A0A1I6ITL0	norZ_norB
UniRef90_A0A1I6LWH5	norZ_norB
UniRef90_A0A1I6T3G1	norZ_norB
UniRef90_A0A1I6XLL1	norZ_norB
UniRef90_A0A1I7C5T0	norZ_norB
UniRef90_A0A1I7G764	norZ_norB
UniRef90_A0A1I7HRR5	norZ_norB
UniRef90_A0A1I7HYS8	norZ_norB
UniRef90_A0A1I7Y0A9	norZ_norB
UniRef90_A0A1J0LJH6	norZ_norB
UniRef90_A0A1J4SUG6	norZ_norB
UniRef90_A0A1J5HWS4	norZ_norB
UniRef90_A0A1J5N4V4	norZ_norB
UniRef90_A0A1J5PWK6	norZ_norB
UniRef90_A0A1J5PYQ8	norZ_norB
UniRef90_A0A1J5QWD6	norZ_norB
UniRef90_A0A1J5R4U9	norZ_norB
UniRef90_A0A1J5RNX0	norZ_norB
UniRef90_A0A1J5RQN0	norZ_norB
UniRef90_A0A1J5SBE5	norZ_norB
UniRef90_A0A1J5SPN9	norZ_norB
UniRef90_A0A1K1MAF6	norZ_norB
UniRef90_A0A1K1SIH2	norZ_norB
UniRef90_A0A1L0A6R0	norZ_norB
UniRef90_A0A1L5YNC0	norZ_norB
UniRef90_A0A1L5YNC3	norZ_norB
UniRef90_A0A1L5YND1	norZ_norB
UniRef90_A0A1L5YND2	norZ_norB
UniRef90_A0A1L5YND3	norZ_norB
UniRef90_A0A1L5YND4	norZ_norB
UniRef90_A0A1L5YND5	norZ_norB
UniRef90_A0A1L5YND6	norZ_norB
UniRef90_A0A1L5YND7	norZ_norB
UniRef90_A0A1L5YND8	norZ_norB
UniRef90_A0A1L5YND9	norZ_norB
UniRef90_A0A1L5YNE0	norZ_norB
UniRef90_A0A1L5YNE1	norZ_norB
UniRef90_A0A1L5YNE2	norZ_norB
UniRef90_A0A1L5YNE5	norZ_norB
UniRef90_A0A1L5YNE7	norZ_norB
UniRef90_A0A1L5YNE9	norZ_norB
UniRef90_A0A1L5YNF0	norZ_norB
UniRef90_A0A1L5YNF3	norZ_norB
UniRef90_A0A1L5YNF4	norZ_norB
UniRef90_A0A1L5YNF5	norZ_norB
UniRef90_A0A1L5YNF6	norZ_norB
UniRef90_A0A1L5YNF7	norZ_norB
UniRef90_A0A1L5YNF8	norZ_norB
UniRef90_A0A1L5YNF9	norZ_norB
UniRef90_A0A1L5YNG1	norZ_norB
UniRef90_A0A1L5YNG2	norZ_norB
UniRef90_A0A1L5YNG3	norZ_norB
UniRef90_A0A1L5YNG8	norZ_norB
UniRef90_A0A1L5YNH1	norZ_norB
UniRef90_A0A1L5YNH3	norZ_norB
UniRef90_A0A1L6REJ0	norZ_norB
UniRef90_A0A1L7CZ45	norZ_norB
UniRef90_A0A1L7I0I1	norZ_norB
UniRef90_A0A1L9BA42	norZ_norB
UniRef90_A0A1M3DA28	norZ_norB
UniRef90_A0A1M3DNI4	norZ_norB
