"","MEgreenyellow","MEpurple","MEturquoise","MEblack","MEblue","MEmagenta","MEbrown","MEred","MEgreen","MEpink","MEyellow","MEgrey"
"711_E-1-D",-0.0500452872782371,-0.0563219577362525,-0.0590738898347442,-0.0723592674441523,-0.083090224338143,-0.0858967257981622,-0.00628924285333099,0.136134467129132,0.113452613383049,0.175869406362239,0.0723233512533508,-0.00847918493712529
"711_E-1-M",-0.0475433880150832,-0.0535272286275552,-0.0691872071894085,0.0626064438704222,0.106825700322111,0.0991070846871626,0.00169402015562359,-0.0602590674767744,0.0687035041664248,-0.00410057684183764,0.146610093141959,-0.0217078204845588
"711_E-1-S",-0.0537017097240924,-0.0525385700332941,-0.0715519191636926,0.0938587492089213,0.129224454080068,0.175643450312061,-0.0475734342124071,-0.0859908278699508,-0.0790396698192971,-0.0494452898398378,0.0399513516476094,-0.0988496499788855
"711_E-2-D",-0.0435334959385737,-0.0465974954114399,-0.0426684986285058,-0.00571067356822702,-0.0936872566934962,-0.0931472484763512,-0.0672269965168629,0.0319452989819714,0.0869471835352014,0.206305303599011,0.0772789006204334,0.0737991708286029
"711_E-2-M",-0.0366128334355816,-0.0521957997511591,-0.0424985711815355,-0.118746472866655,0.0231312664499499,-0.0598227458041657,0.135991256412077,0.0385322048439619,0.343157361895857,-0.0812726168878909,0.141335542293692,0.0868816320464286
"711_E-2-S",-0.0445666675782281,-0.050258910511679,-0.0553183509933731,-0.0904473938717791,0.181982699748268,-0.00650485786842545,-0.0221924163622481,-0.0573111105462624,0.00964293068698533,-0.0791154926718483,0.0780937276949666,0.250824932866126
"711_E-3-D",-0.0508990742032226,-0.0431414075229572,-0.047058997657974,0.186417297316667,-0.0304675957606844,0.02215544058452,-0.0650370798777165,-0.0215385536019945,-0.011864993146393,0.148096052422972,0.0719967087432563,0.115709741255547
"711_E-3-M",-0.0467655994991148,-0.0534972625628822,-0.0660177361445549,-0.0235476998592654,0.0947997844353353,0.00466860417618551,0.0861244250227805,-0.0457512379926611,-0.0590969266314154,0.0194476372684311,0.170622962988661,0.000614856425275534
"711_E-3-S",-0.0376876220189636,-0.0495292061344963,-0.0688456131152888,0.0594014221905881,0.180198460112279,0.0612495606529364,0.00159662597806873,-0.0756803786061721,-0.100401894445793,-0.0135159702453486,0.0582201760659685,-0.186030949621521
"712_E-1-D",-0.0263835868244502,-0.0590336718115683,0.01035809253834,-0.111119529717247,-0.143314475201757,-0.112446288980784,0.0250430443781854,0.491380971019403,0.0571851820397873,0.0764970205646913,-0.0682411315852945,-0.0181393826686732
"712_E-1-M",-0.0444506810478983,-0.0613100572258321,-0.0667879102467251,-0.115228080783605,-0.00804507605925212,-0.0970948040313012,0.340381804928631,0.0949639392504266,0.0185337911149912,0.049433771774812,0.251408634370379,-0.0419449773141011
"712_E-1-X",0.811316572385046,0.0759051574723546,0.143093001371715,-0.140470349597149,-0.128143836291742,-0.115443211697048,-0.0432311831263294,0.00702321531264529,-0.103738286226786,-0.18912962804904,-0.220811708257221,0.163988750436218
"712_E-2-D",-0.0452023138469786,-0.0401736546604309,-0.0325837234983659,0.122069435552118,-0.0704280598293462,-0.038483979180714,-0.0503037722826736,0.00858618313663584,0.0577413326297,0.197968575689669,0.0547081226804733,0.164233448524618
"712_E-2-M",-0.0315138203596456,-0.0411750806091621,-0.0492693803334663,-0.0767961540653754,0.184086393903655,-0.0384673549949393,-0.0148629172415151,-0.0529085406426586,-0.0311887022762587,-0.0326583767196586,0.0652490881721073,0.239220121106271
"712_E-2-S",-0.0395195095967341,-0.0399878738715565,-0.0611864104630118,-0.0662544548531226,0.113978814151124,-0.0636527183095939,0.0527479601180849,-0.0115491450044818,0.114238199226337,0.0843273967661948,0.0880552359163639,0.094003073380144
"712_E-2-X",-0.0494681699175815,-0.043802158091418,-0.0696404856316043,0.0673625389454047,0.208126982950845,0.336781130373505,-0.0718151360376544,-0.0958913845235298,-0.109406330073475,-0.0825817723840871,-0.0841949693942678,-0.19843394813513
"712_E-3-D",-0.0444066832242368,-0.0411632975685709,-0.0414233766812367,0.176222266461499,-0.0746623387259851,-0.0276245338557667,-0.0667763735687882,-0.00421566823018145,0.00628304403709985,0.192366196261637,0.0296124495890894,0.0756166697648678
"712_E-3-M",-0.0457236757516828,-0.0465569155798707,-0.0676506085829794,0.121824353020551,0.183595846983984,0.386915207511996,-0.0716333923568025,-0.0986040683627354,-0.12217161863085,-0.115733836890108,-0.119877630242308,-0.111338967327233
"712_E-3-S",-0.0338947291110176,-0.0376339599343019,-0.0384760892954924,0.223231217995898,-0.000815031109958211,0.0782305143807824,-0.0919050649590483,-0.0609666629181338,-0.0843751012368252,0.0959750825607765,-0.0636075992002047,-0.129258300451478
"712_E-3-X",0.0896219283477711,0.0331599774257953,0.271476783659477,-0.0980700475952389,-0.144786425913739,-0.0979817496097861,-0.077448849310552,0.0436399809765173,-0.105356952209677,-0.172512570238352,-0.201689512451259,0.0786034916359397
"713_E-1-D",-0.0532136006545342,-0.0516702136845818,-0.0535145495618289,-0.107681780032129,-0.106872305912682,-0.102945343187684,-0.0210843236043421,0.0560514524783937,0.211648552437265,0.155478283403587,0.0838676561094563,-0.0151736726776069
"713_E-1-M",-0.0481705140067214,-0.0555114154005955,-0.0530498384637055,-0.117662478566263,-0.0329869267429765,-0.0736761654207077,0.120918984430934,0.0245008516057193,0.316064627058222,0.0715022648074211,0.126659516744201,0.0247758798872516
"713_E-1-S",-0.0454146586237045,-0.0521938226288413,-0.0572406069397733,-0.10884371010305,-0.0181970633552203,-0.0884849325861536,0.0328061835259435,-0.00206968364691712,0.319782667004944,0.0770147731875745,0.0932839902723465,0.0816486536634436
"713_E-1-X0",0.110929397228801,0.178496140113252,0.302091422773491,-0.047295448439393,-0.125000070477616,-0.0665516681077579,-0.0991172728811868,-0.0488210644649876,-0.0745553103446722,-0.117703332196263,-0.169630282044881,0.11475202517213
"713_E-1-X1",0.152624907993904,0.389284266838627,0.211791963546965,-0.137666583273876,-0.15396138551659,-0.105899284383534,-0.080877333996095,-0.0560539686458469,-0.111377298129302,-0.159389520786772,-0.208888891947616,-0.0261048658488639
"713_E-1-X2",0.105775172196005,0.300102636469547,0.277813967707419,-0.142070609660467,-0.149776981979301,-0.105583586856796,-0.0878014819011164,-0.0472862470542441,-0.112386407695441,-0.158980659755621,-0.206768951755053,0.0604777584421405
"713_E-2-D",-0.0506986514108522,-0.0511705474922943,-0.0685056210696732,0.16385132695809,-0.00568069465705339,0.0630279529757105,-0.078375583082636,-0.071236839932003,-0.0419483110743792,0.0420076256960829,0.0695214359151832,0.0713698655250022
"713_E-2-M",-0.0577864100362678,-0.0539742637109791,-0.0777608681281022,0.200053314067538,0.0372709549938829,0.103537455473458,-0.0582871752927512,-0.0862969676773794,-0.0877112842450216,0.0306784835763236,0.0538345846385272,-0.19610664902448
"713_E-2-S",-0.0553158047274661,-0.0487918059664929,-0.0804451915991248,0.127756082821169,0.121205385905701,0.266442642884862,-0.0663224982765551,-0.0965373374944123,-0.115744969924086,-0.0817070811749913,-0.0277486910260649,-0.131165026357512
"713_E-2-X0",-0.0160964510493743,0.00324777281583298,0.154014460715625,0.083826858919553,-0.124155918078862,-0.0209298627454202,-0.101687584047603,-0.0579194360445468,-0.0885048932148106,-0.0607884751953977,-0.150185368671357,-0.0150853407168279
"713_E-2-X1",0.136075673986958,0.0677650553780789,0.361038227140739,-0.0786549868338769,-0.135203812426895,-0.0935995139213132,-0.0854019292185169,-0.0163618111457641,-0.086437272260724,-0.137348515460844,-0.176216449025147,0.158785049929444
"713_E-2-X2",0.193952795095848,0.212434330774137,0.298406214702246,-0.0750552051803113,-0.142081280121182,-0.0907370070013203,-0.0937984765075685,-0.0508245643650929,-0.112176289792731,-0.129835617687328,-0.181127524632629,0.026873383498639
