"","Radius"
"20120700_S3D_8",0.482589590639803
"PLTT01",0.411125015720877
"3300037196_14",0.18302941179125
"3300037175_6",1.5671617040257
"20170700_S25_25",0.546458466273687
"20110800_E2D_15",0.34992502663565
"PLNE01",0.37031092230354
"20120500_P26_8",0.678791553762296
"20140700_E22_12",2.32347847052887
"20130700_C2X_13",0.90048400225326
"20120700_S1D_115",0.0445466787030879
"20120700_S3X_18",0.808282893513641
"20120700_S1X_2",4.89700359719867
"20140700_E14_11",1.92733574945361
"20110800_E3D_9",1.94193788646013
"20110800_S1M_17",1.84559556708644
"20170700_S34_26",0.436650945611327
"20140700_S15_2",1.08411208876783
"20170700_S25_36",0.673910637389813
"20170700_S33_33",0.302135456998463
"PLTW01",0.275408285426677
"20110800_S3D_3",0.494762793097154
"3300037185_7",0.0118416716865625
"20170700_S25_23",0.154178603583501
"20140700_S36_11",0.569943937376721
"20120700_S1D_33",0.102013062040962
"20110800_S1D_14",1.48384816669391
"20110800_S3D_28",0.223623956256085
"20170700_S34_29",0.07324151517578
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00",1.08056494844842
"20120700_S1D_60",0.347384966768028
"20170700_S25_8",0.38918040728734
"20170700_S25_3",0.505497244508106
"20120500_P32_6",0.0334186400384302
"20120600_S2D_6",0.10966346142632
"20170700_S25_9",1.9358991797355
"20120800_E1D_14",1.32250349081312
"20170700_S34_24",0.625700115963031
"20170700_S34_23",0.661495851429404
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92",0.031989275213827
"20120600_E1D_19",0.0975940207519163
"20120600_S1D_7",0.375534670777619
"PLCS01",0.16906667380954
"20110700_P2D_11",0.564998446336531
"20170700_E15_6",0.0020926658363783
"20150700_S15_15",0.949284786795459
"20130700_S2D_2",0.0316997653088869
"20110700_S3M_11",0.716169228210133
"20150700_E15_20",0.239556857972343
"20110800_S2M_3",0.0524195553199842
"20170700_S25_7",0.488823710934528
"20120800_E1D_18",0.585846309374851
"20110600_S1M_11",0.0629110062489212
"20110600_S1D_15",0.457268861712576
"20110600_P1M_18",0.0780627536917683
"20170700_S24_10",1.21786648029474
"20170700_S25_14",1.85124179925276
"20120600_S1D_1",0.0522072274457368
"20120800_S3X_7",1.93693603560749
"20110600_S1D_17",0.601489928595405
"20170700_S25_1",1.57239211929234
"PLPO01",0.666382493117074
"20120500_P28_11",0.87945117106077
"20170700_S24_5",0.0593373064524763
"20110700_S3M_12",0.0820352537183915
"20120700_S1D_41",0.126043279930421
"20120700_P3D_35",0.0889089195255683
"PLHP01",0.816508057903333
"20170700_S25_26",3.45126265212821
"20160700_S15_2",1.17388581990943
"20110800_S3D_19",0.288442090029413
"20110800_S1M_8",0.160185687173901
"20130700_S3Z_1",0.739174183025389
"20170700_S25_38",0.640683374392034
"20120700_S1D_13",0.354268987728848
"20120700_S1D_25",0.291704435222256
"PLNV01",0.651596754282589
"20120700_S1D_97",0.0178520920325039
"20120700_S1D_52",0.711785967124812
"PLTJ01",0.156647971649528
"20120700_P3D_87",0.349259274352168
"20120700_P3D_148",0.207855453563433
"20120700_S1D_106",0.109159892171289
"20160700_S14_9",0.383349342866567
"20120700_S1D_73",0.0195639102575936
"20120700_S1D_103",0.128716606983713
"20120700_S1D_30",0.146490616952635
"20160700_E23_26",0.000899527313751145
"PLXS01",0.874045433486104
"20120700_S1D_89",0.131168755997012
"20170700_S24_4",0.167963571635484
"20110800_S3D_14",0.228202004127598
"PLGF01",1.14693092263502
"20170700_S25_32",0.0514039492255732
"20110700_S2D_14",0.442508313926783
"20120700_S1D_61",0.098794672854538
"20120800_E1D_21",0.0145984943398369
"20120700_S2X_13",1.4415338630078
"20170700_S24_9",0.286246379594729
"20120800_E1D_8",0.345678934293343
"20110600_S1D_11",1.39923048727707
"20150700_E14_13",0.145716133707115
"20120700_S1D_85",0.342450129608497
"20170700_S24_16",0.0582187017540733
"20120700_S1D_67",0.155412883417326
"20120800_E1D_7",0.526207233022037
"20150700_E14_5",0.289725699323732
"20120700_S1D_107",0.118120293920475
"20150700_S15_12",0.457690309984257
"20120700_S1D_12",0.0451059360899118
"20120700_S1D_70",0.345270310159337
"3300037207_8",0.0615134721216667
"PLGY01",4.09824907811352
"20120700_S1D_59",0.124533838501874
"20110700_S2D_21",0.288852045456495
