gene_id	gene_description	module	sheet	header	subheader	potential_amg
K18472	EMERGE	HPHB_DCHB_8	EMERGE	Emerge	propionyl-CoA+bicarbonate+acetyl-CoA+bicarbonate->S-methylmalonyl-CoA+malonyl-CoA	False
K18556	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K18557	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K18558	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K18559	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K18560	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K18930	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K18916	EMERGE	phosphorous_redox_5	EMERGE	Emerge	phosphite->phosphate	False
K19668	EMERGE	cellulose_degradation_2	EMERGE	Emerge	1,4-B-D-cellulose->cellobiose	False
K19669	EMERGE	phosphorous_redox_7	EMERGE	Emerge	pyruvate-phosphonate->phosphate	False
K19670	EMERGE	phosphorous_redox_8	EMERGE	Emerge	acetate-phosphonate->phosphate	False
K19709	EMERGE	butanoate_fermentation_11	EMERGE	Emerge	butanoyl-CoA->butanoate	False
K19745	EMERGE	propionate_fermentation_13	EMERGE	Emerge	acryloyl-CoA->propionyl-CoA	False
K20143	EMERGE	propionate_fermentation_13	EMERGE	Emerge	acryloyl-CoA->propionyl-CoA	False
K20626	EMERGE	propionate_fermentation_12	EMERGE	Emerge	lactoyl-CoA->acryloyl-CoA	False
K20627	EMERGE	propionate_fermentation_12	EMERGE	Emerge	lactoyl-CoA->acryloyl-CoA	False
K20829	EMERGE	cellulose_degradation_1	EMERGE	Emerge	1,4-B-D-cellulose->cellobiose	False
K20932	EMERGE	nitrogen_redox_8	EMERGE	Emerge	ammonium/nitric oxide->hydrazine	False
K20933	EMERGE	nitrogen_redox_8	EMERGE	Emerge	ammonium/nitric oxide->hydrazine	False
K20934	EMERGE	nitrogen_redox_8	EMERGE	Emerge	ammonium/nitric oxide->hydrazine	False
K20935	EMERGE	nitrogen_redox_9	EMERGE	Emerge	hydrazine->dinitrogen	False
K21576	EMERGE	reductive_glycine_7	EMERGE	Emerge	glycine->acetyl-P+ammonium	False
K21577	EMERGE	reductive_glycine_7	EMERGE	Emerge	glycine->acetyl-P+ammonium	False
K21836	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K22015	EMERGE	Wood_Ljungdahl_1	EMERGE	Emerge	carbon dioxide->formate	False
K22186	EMERGE	xylose_degradation_7	EMERGE	Emerge	D-xylonate->2-dehydro-3-deoxy-D-xylonate	False
K22224	EMERGE	propionate_fermentation_9	EMERGE	Emerge	propionyl-CoA->propionate	False
K22268	EMERGE	xylan_degradation_1	EMERGE	Emerge	1,4-B-D-xylan->D-xylose	False
K22396	EMERGE	xylose_degradation_7	EMERGE	Emerge	D-xylonate->2-dehydro-3-deoxy-D-xylonate	False
K22473	EMERGE	ethanol_fermentation_5	EMERGE	Emerge	ethanol->acetaldehyde	False
K22474	EMERGE	ethanol_fermentation_5	EMERGE	Emerge	ethanol->acetaldehyde	False
K22480	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K22481	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K22482	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K22515	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K22622	EMERGE	sulfur_redox_10	EMERGE	Emerge	thiosulfate->sulfur	False
K22896	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K22897	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K22898	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K22899	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K22903	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K23077	EMERGE	sulfur_redox_9	EMERGE	Emerge	sulfur->sulfite	False
K23995	EMERGE	carbon_redox_4	EMERGE	Emerge	methanol->formaldehyde	False
K23996	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K23999	EMERGE	phosphorous_redox_2	EMERGE	Emerge	PEP->pyruvate-phosphonate	False
K24012	EMERGE	propionate_fermentation_9	EMERGE	Emerge	propionyl-CoA->propionate	False
K24442	EMERGE	xylose_degradation_5	EMERGE	Emerge	D-xylose->D-xylonolactone	False
K24443	EMERGE	xylose_degradation_6	EMERGE	Emerge	D-xylonolactone->D-xylonate	False
K25123	EMERGE	Wood_Ljungdahl_1	EMERGE	Emerge	carbon dioxide->formate	False
K25124	EMERGE	Wood_Ljungdahl_1	EMERGE	Emerge	carbon dioxide->formate	False
K10714	EMERGE	carbon_redox_6	EMERGE	Emerge	formaldehyde->formate	False
K17993	EMERGE	sulfur_redox_15	EMERGE	Emerge	polysulfide->sulfide	False
K17994	EMERGE	sulfur_redox_15	EMERGE	Emerge	polysulfide->sulfide	False
K17995	EMERGE	sulfur_redox_15	EMERGE	Emerge	polysulfide->sulfide	False
K17996	EMERGE	sulfur_redox_15	EMERGE	Emerge	polysulfide->sulfide	False
