gene_id	gene_description	module	sheet	header	subheader	potential_amg
K01429	EMERGE	urea_degradation_1	EMERGE	Emerge	urea->carbon dioxide	False
K01430	EMERGE	urea_degradation_1	EMERGE	Emerge	urea->carbon dioxide	False
K01491	EMERGE	Wood_Ljungdahl_7	EMERGE	Emerge	5,10_methenyl_H4F->5,10_methylene_H4F	False
K01499	EMERGE	Wood_Ljungdahl_6	EMERGE	Emerge	5_formyl_H4MPT->5,10_methenyl_H4MPT	False
K01500	EMERGE	Wood_Ljungdahl_5	EMERGE	Emerge	5_formyl_H4F->5,10_methenyl_H4F	False
K01512	EMERGE	acetoclastic_methanogenesis_2	EMERGE	Emerge	acetate->acetyl-P	False
K01568	EMERGE	ethanol_fermentation_4	EMERGE	Emerge	pyruvate->acetaldehyde	False
K01601	EMERGE	Calvin_Benson_1	EMERGE	Emerge	carbon dioxide->3-P-glycerate	False
K01602	EMERGE	Calvin_Benson_1	EMERGE	Emerge	carbon dioxide->3-P-glycerate	False
K01623	EMERGE	Calvin_Benson_8	EMERGE	Emerge	erythrose-4-P+dihydroxyacetone-P->sedoheptulose-1,7-bis-P	False
K01624	EMERGE	Calvin_Benson_8	EMERGE	Emerge	erythrose-4-P+dihydroxyacetone-P->sedoheptulose-1,7-bis-P	False
K01625	EMERGE	galacturonic_acid_degradation_5	EMERGE	Emerge	2-dehydro-3-deoxy-6-phospho-D-gluconate->glyceraldehyde-3-phosphate+pyruvate	False
K01628	EMERGE	fucose_degradation_3	EMERGE	Emerge	L-fuculose-1P->glycerone-P	False
K01648	EMERGE	rTCA_1	EMERGE	Emerge	citrate->acetyl-CoA+oxaloacetate	False
K01685	EMERGE	galacturonic_acid_degradation_3	EMERGE	Emerge	D-altronate->2-dehydro-3-deoxy-D-gluconate	False
K01692	EMERGE	HPHB_DCHB_20	EMERGE	Emerge	crotonyl-CoA->3-hydroxybutanoyl-CoA	False
K01715	EMERGE	HPHB_DCHB_20	EMERGE	Emerge	crotonyl-CoA->3-hydroxybutanoyl-CoA	False
K01752	EMERGE	reductive_glycine_6	EMERGE	Emerge	serine->pyruvate+ammonium	False
K01754	EMERGE	reductive_glycine_6	EMERGE	Emerge	serine->pyruvate+ammonium	False
K01782	EMERGE	HPHB_DCHB_20	EMERGE	Emerge	crotonyl-CoA->3-hydroxybutanoyl-CoA	False
K01783	EMERGE	Calvin_Benson_11	EMERGE	Emerge	xylulose-5-P->ribulose-5-P	False
K01784	EMERGE	galactose_degradation_4	EMERGE	Emerge	UPD-a-galactose->UPD-glucose	False
K01785	EMERGE	galactose_degradation_1	EMERGE	Emerge	D-galactose->a-D-galactose	False
K01803	EMERGE	Calvin_Benson_4	EMERGE	Emerge	glyceraldehyde-3-P->dihydroxyacetone-P	False
K01805	EMERGE	xylose_degradation_1	EMERGE	Emerge	D-xylose->D-xylulose	False
K01807	EMERGE	Calvin_Benson_10	EMERGE	Emerge	ribose-5-P->ribulose-5-P	False
K01808	EMERGE	Calvin_Benson_10	EMERGE	Emerge	ribose-5-P->ribulose-5-P	False
K01809	EMERGE	mannose_degradation_3	EMERGE	Emerge	D-mannose-6P->D-fructose-6P	False
K01812	EMERGE	galacturonic_acid_degradation_1	EMERGE	Emerge	D-galacturonate->D-tagaturonate	False
K01818	EMERGE	fucose_degradation_1	EMERGE	Emerge	L-fucose->L-fuculose	False
K01825	EMERGE	HPHB_DCHB_20	EMERGE	Emerge	crotonyl-CoA->3-hydroxybutanoyl-CoA	False
K01841	EMERGE	phosphorous_redox_2	EMERGE	Emerge	PEP->pyruvate-PO3	False
K01847	EMERGE	HPHB_DCHB_15	EMERGE	Emerge	R-methylmalonyl-CoA->succinyl-CoA	False
K01848	EMERGE	HPHB_DCHB_15	EMERGE	Emerge	R-methylmalonyl-CoA->succinyl-CoA	False
K01849	EMERGE	HPHB_DCHB_15	EMERGE	Emerge	R-methylmalonyl-CoA->succinyl-CoA	False
K01895	EMERGE	acetoclastic_methanogenesis_1	EMERGE	Emerge	acetate->acetyl-CoA	False
K01905	EMERGE	propionate_fermentation_9	EMERGE	Emerge	propionyl-CoA->propionate	False
K01938	EMERGE	Wood_Ljungdahl_2	EMERGE	Emerge	formate+THF->formyl-H4MPT	False
K01961	EMERGE	Fuchs_Holo_1	EMERGE	Emerge	acetyl-CoA->malonyl-CoA	False
K01962	EMERGE	HPHB_DCHB_8	EMERGE	Emerge	propionyl-CoA+bicarbonate+acetyl-CoA+bicarbonate->S-methylmalonyl-CoA+malonyl-CoA	False
K01963	EMERGE	HPHB_DCHB_8	EMERGE	Emerge	propionyl-CoA+bicarbonate+acetyl-CoA+bicarbonate->S-methylmalonyl-CoA+malonyl-CoA	False
K02160	EMERGE	HPHB_DCHB_8	EMERGE	Emerge	propionyl-CoA+bicarbonate+acetyl-CoA+bicarbonate->S-methylmalonyl-CoA+malonyl-CoA	False
K02305	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K02387	EMERGE	flagella_assembly_5	EMERGE	Emerge	basal body->None	False
K02388	EMERGE	flagella_assembly_5	EMERGE	Emerge	basal body->None	False
K02390	EMERGE	flagella_assembly_8	EMERGE	Emerge	hook->None	False
K02391	EMERGE	flagella_assembly_5	EMERGE	Emerge	basal body->None	False
K02392	EMERGE	flagella_assembly_5	EMERGE	Emerge	basal body->None	False
K02393	EMERGE	flagella_assembly_7	EMERGE	Emerge	L-ring->None	False
K02394	EMERGE	flagella_assembly_6	EMERGE	Emerge	P-ring->None	False
K02396	EMERGE	flagella_assembly_8	EMERGE	Emerge	hook->None	False
K02397	EMERGE	flagella_assembly_8	EMERGE	Emerge	hook->None	False
K02400	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02401	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02406	EMERGE	flagella_assembly_9	EMERGE	Emerge	filament->None	False
K02409	EMERGE	flagella_assembly_4	EMERGE	Emerge	MS-ring->None	False
K02410	EMERGE	flagella_assembly_2	EMERGE	Emerge	C-ring->None	False
K02412	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02414	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02416	EMERGE	flagella_assembly_2	EMERGE	Emerge	C-ring->None	False
K02417	EMERGE	flagella_assembly_2	EMERGE	Emerge	C-ring->None	False
K02419	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02420	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02421	EMERGE	flagella_assembly_3	EMERGE	Emerge	type-III secretion->None	False
K02437	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K02446	EMERGE	Calvin_Benson_6	EMERGE	Emerge	fructose-1,6-bis-P->fructose-6-P	False
K02556	EMERGE	flagella_assembly_1	EMERGE	Emerge	stator->None	False
K02557	EMERGE	flagella_assembly_1	EMERGE	Emerge	stator->None	False
K02567	EMERGE	nitrogen_redox_1	EMERGE	Emerge	nitrate->nitrite	False
K02568	EMERGE	nitrogen_redox_1	EMERGE	Emerge	nitrate->nitrite	False
K02585	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02586	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02587	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02588	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02591	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02592	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K02793	EMERGE	mannose_degradation_2	EMERGE	Emerge	D-mannose->D-mannose-6P	False
K02794	EMERGE	mannose_degradation_2	EMERGE	Emerge	D-mannose->D-mannose-6P	False
K02795	EMERGE	mannose_degradation_2	EMERGE	Emerge	D-mannose->D-mannose-6P	False
K02796	EMERGE	mannose_degradation_2	EMERGE	Emerge	D-mannose->D-mannose-6P	False
K03385	EMERGE	nitrogen_redox_15	EMERGE	Emerge	nitric oxide->ammonium	False
K03388	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K03389	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K03390	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K03396	EMERGE	carbon_redox_6	EMERGE	Emerge	formaldehyde->formate	False
K03406	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K03407	EMERGE	chemotaxis_3	EMERGE	Emerge	cheA->None	False
K03408	EMERGE	chemotaxis_2	EMERGE	Emerge	cheW->None	False
K03412	EMERGE	chemotaxis_5	EMERGE	Emerge	cheBR->None	False
K03413	EMERGE	chemotaxis_4	EMERGE	Emerge	cheY->None	False
K03416	EMERGE	propionate_fermentation_8	EMERGE	Emerge	S-methylmalonyl-CoA->propionyl-CoA	False
K03737	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K03776	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K03777	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K03778	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K03841	EMERGE	Calvin_Benson_6	EMERGE	Emerge	fructose-1,6-bis-P->fructose-6-P	False
K04013	EMERGE	nitrogen_redox_15	EMERGE	Emerge	nitric oxide->ammonium	False
K04020	EMERGE	acetoclastic_methanogenesis_3	EMERGE	Emerge	acetyl-P->acetyl-CoA	False
K04041	EMERGE	Calvin_Benson_6	EMERGE	Emerge	fructose-1,6-bis-P->fructose-6-P	False
K04072	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K04073	EMERGE	ethanol_fermentation_2	EMERGE	Emerge	acetyl-CoA->acetaldehyde	False
K04480	EMERGE	methylotrophic_methanogenesis_1	EMERGE	Emerge	methanol->methyl-CoM	False
K04488	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K045610	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K045611	EMERGE	nitrogen_redox_4	EMERGE	Emerge	nitric oxide->dinitrogen	False
K05299	EMERGE	Wood_Ljungdahl_1	EMERGE	Emerge	carbon dioxide->formate	False
K05306	EMERGE	phosphorous_redox_9	EMERGE	Emerge	acetaldehyde-phosphonate->phosphate	False
K05349	EMERGE	cellulose_degradation_3	EMERGE	Emerge	cellobiose->D-glucose	False
K05350	EMERGE	cellulose_degradation_3	EMERGE	Emerge	cellobiose->D-glucose	False
K05351	EMERGE	xylose_degradation_4	EMERGE	Emerge	xylitol->D-xylulose	False
K05601	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K05606	EMERGE	HPHB_DCHB_14	EMERGE	Emerge	S-methylmalonyl-CoA->R-methylmalonyl-CoA	False
K05780	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K05781	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K05874	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K05875	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K05876	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K05877	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K05878	EMERGE	glycerol_degradation_3	EMERGE	Emerge	glycerone->glycerone-P	False
K05879	EMERGE	glycerol_degradation_3	EMERGE	Emerge	glycerone->glycerone-P	False
K05881	EMERGE	glycerol_degradation_3	EMERGE	Emerge	glycerone->glycerone-P	False
K05915	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K05916	EMERGE	nitrogen_redox_14	EMERGE	Emerge	nitric oxide->nitrate	False
K06595	EMERGE	chemotaxis_1	EMERGE	Emerge	mcp->None	False
K06162	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K06163	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K06164	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K06165	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K06166	EMERGE	phosphorous_redox_6	EMERGE	Emerge	methyl-phosphonate->phosphate	False
K07516	EMERGE	HPHB_DCHB_21	EMERGE	Emerge	3-hydroxybutanoyl-CoA->acetoacetyl-CoA	False
K08264	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K08265	EMERGE	methylotrophic_methanogenesis_8	EMERGE	Emerge	CoM-S-S-CoB->CoM+CoB	False
K08318	EMERGE	HPHB_DCHB_17	EMERGE	Emerge	succinate semialdehyde->4-hydroxybutanoate	False
K08348	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K08349	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K08350	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K08352	EMERGE	sulfur_redox_5	EMERGE	Emerge	thiosulfate->sulfide	False
K08353	EMERGE	sulfur_redox_5	EMERGE	Emerge	thiosulfate->sulfide	False
K08354	EMERGE	sulfur_redox_5	EMERGE	Emerge	thiosulfate->sulfide	False
K08357	EMERGE	sulfur_redox_4	EMERGE	Emerge	tetrathionate->thiosulfate	False
K08358	EMERGE	sulfur_redox_4	EMERGE	Emerge	tetrathionate->thiosulfate	False
K08359	EMERGE	sulfur_redox_4	EMERGE	Emerge	tetrathionate->thiosulfate	False
K08691	EMERGE	Fuchs_Holo_10	EMERGE	Emerge	S-malyl-CoA+propionyl-CoA+S-citramalyl-CoA->glyoxylate+acetyl-CoA+2R,3S-B-methylmalyl-CoA+pyruvate	False
K09709	EMERGE	Fuchs_Holo_13	EMERGE	Emerge	mesaconyl-C4-CoA->S-citramalyl-CoA	False
K09459	EMERGE	phosphorous_redox_3	EMERGE	Emerge	pyruvate-phosphonate->acetaldehyde-phosphonate	False
K10535	EMERGE	nitrogen_redox_11	EMERGE	Emerge	hydroxylamine->nitric oxide	False
K10670	EMERGE	reductive_glycine_7	EMERGE	Emerge	glycine->acetyl-P+ammonium	False
K10671	EMERGE	reductive_glycine_7	EMERGE	Emerge	glycine->acetyl-P+ammonium	False
K10672	EMERGE	reductive_glycine_7	EMERGE	Emerge	glycine->acetyl-P+ammonium	False
K10713	EMERGE	carbon_redox_5	EMERGE	Emerge	formaldehyde->5,10-methylene-THMPT	False
K109440	EMERGE	carbon_redox_3	EMERGE	Emerge	methane->methanol	False
K109450	EMERGE	carbon_redox_3	EMERGE	Emerge	methane->methanol	False
K109460	EMERGE	carbon_redox_3	EMERGE	Emerge	methane->methanol	False
K109441	EMERGE	nitrogen_redox_10	EMERGE	Emerge	ammonium->hydroxylamine	False
K109451	EMERGE	nitrogen_redox_10	EMERGE	Emerge	ammonium->hydroxylamine	False
K109461	EMERGE	nitrogen_redox_10	EMERGE	Emerge	ammonium->hydroxylamine	False
K111800	EMERGE	sulfur_redox_3	EMERGE	Emerge	sulfite->sulfide	False
K111801	EMERGE	sulfur_redox_9	EMERGE	Emerge	sulfur->sulfite	False
K111810	EMERGE	sulfur_redox_3	EMERGE	Emerge	sulfite->sulfide	False
K111811	EMERGE	sulfur_redox_9	EMERGE	Emerge	sulfur->sulfite	False
K11260	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K11261	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K11264	EMERGE	propionate_fermentation_8	EMERGE	Emerge	S-methylmalonyl-CoA->propionyl-CoA	False
K11532	EMERGE	Calvin_Benson_9	EMERGE	Emerge	sedoheptulose-1,7-bis-P->sedoheptulose-7-P	False
K11933	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K12111	EMERGE	lactose_degradation_1	EMERGE	Emerge	lactose->D-galactose+D-glucose	False
K12112	EMERGE	lactose_degradation_1	EMERGE	Emerge	lactose->D-galactose+D-glucose	False
K12264	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K12265	EMERGE	nitrogen_redox_5	EMERGE	Emerge	nitric oxide->nitrous oxide	False
K12957	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K13788	EMERGE	acetoclastic_methanogenesis_3	EMERGE	Emerge	acetyl-P->acetyl-CoA	False
K13812	EMERGE	carbon_redox_5	EMERGE	Emerge	formaldehyde->5,10-methylene-THMPT	False
K13924	EMERGE	chemotaxis_5	EMERGE	Emerge	cheBR->None	False
K13942	EMERGE	Wood_Ljungdahl_8	EMERGE	Emerge	5,10_methenyl_H4MPT->5,10_methylene_H4MPT	False
K13953	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K13954	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K13979	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K14028	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K14029	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K14048	EMERGE	urea_degradation_1	EMERGE	Emerge	urea->carbon dioxide	False
K14080	EMERGE	methylotrophic_methanogenesis_1	EMERGE	Emerge	methanol->methyl-CoM	False
K14081	EMERGE	methylotrophic_methanogenesis_1	EMERGE	Emerge	methanol->methyl-CoM	False
K14082	EMERGE	methylotrophic_methanogenesis_4	EMERGE	Emerge	trimethylamine->methyl-CoM	False
K14083	EMERGE	methylotrophic_methanogenesis_4	EMERGE	Emerge	trimethylamine->methyl-CoM	False
K14084	EMERGE	methylotrophic_methanogenesis_4	EMERGE	Emerge	trimethylamine->methyl-CoM	False
