"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70" 2.2480824 13.163701 3.9993505 0 0 0 0.7384992 1.9470899 2.4304512 0 0.15545009 0 0.05780612 0 0 3.4377527 51.29804 0.22086751 0.35882202 0 5.6621313 0.40627983 0.0862805 0 0 0.1322702 0.3545009 0 0 0.83851206 0.60259444 0.18646736 0 0 0.329306 0.07583278 0 0 0.18567352 0.37924004 0 0 0.29510552 0 0 0 0.2155095 0 0 0.07132937 0 0.2757062 4.7904315 0 0.076323204 0 0.45973957 0 0 0.096068926 0 0 0.2879389 1.1105092 0 0.09187287 0 0 0
"PLRX01" 0.1008128 18.77288 7.7001076 27.010239 0.22889023 0.0716879 0.2535192 0.23231503 16.06952 0.42399085 0.8867736 0 0 0.28536218 0.28871238 0 1.6286573 0.16203973 0 0 0.60105425 18.48263 7.9071503 0.25736675 0 0 0.83453274 17.013945 0.06478171 0 1.7126987 21.67043 0.1957162 0.31852326 0 0 0 0 0 3.0732474 5.701932 0.25913286 0 3.0806592 2.0661113 0.27374044 0.40277013 16.81014 0.1995884 0.9795161 0.7435963 0 0.8395934 0 0 0 0 0 0 0.11607929 0 0 0 3.4456701 0 0.23717591 0 4.9848585 0.16951938
"20170700_S33_13" 0 1.5551435 0.8704899 2.987655 0 10.215128 0 0.16139624 0.40931314 0 24.612244 0.15806812 0.089197315 0 0 0 0.34934446 0.17187925 1.502087 0 0.31914803 0.6010957 0 0 0.6680077 4.0185037 3.3375735 0.7040727 1.5415757 1.0474495 5.0982795 3.1802106 0 0.067851454 1.5026246 11.903017 1.0372494 0.25075108 12.715073 40.876854 0.10414853 0 1.0301646 12.47646 2.2832298 0.098925725 5.820829 0 0 0.9514711 0.8827896 0.5580308 0.26622862 0.09500493 0 0 7.251652 0.36698803 0 13.757778 12.771219 0.2516651 0 0 0 0 1.5725509 19.318483 0
"20120600_S3D_1" 3.3033493 144.96469 328.8746 11.716685 0.05734662 7.9265366 1.4259042 2.9621043 41.832558 1.1614152 60.596786 0.47757712 1.1097696 4.5674405 4.644778 4.310485 26.256588 2.2180192 0.4183442 0.07860772 6.583809 36.761772 2.150785 0.43937805 5.574352 41.842735 95.54874 17.244965 6.116706 8.025515 22.560822 108.363205 0.71695465 0.76070195 2.5054576 13.871284 7.389751 1.4063525 25.308771 195.09793 1.8779175 0.25828525 10.02856 109.92095 31.334827 1.3251922 18.796698 5.034169 0.15600261 5.6435876 6.6970625 1.6183853 35.091785 0.9339309 1.1138846 0 51.563942 2.539284 0 18.911913 5.484493 0.3220236 1.7124481 15.807563 0.085168466 0.8445047 6.513808 43.724545 0
"20130700_S3M_8" 0.9411668 10.597393 0.89385706 0.18573888 0 5.299834 0.07646737 0.34933594 0.762766 0 5.283643 0 0.7670259 0.3405304 0.347395 0 2.9380205 0.20874284 0 0 0.35285324 0.14574842 0 0 5.161354 20.69912 9.056849 0.71881217 6.3029475 0.55708367 2.4628599 3.493663 0 0 0.43209156 13.818946 0.68640053 0.54336673 26.007204 90.35176 0.59730893 0 0.40881202 2.592544 0 0 0.92485 0 0 0.24325092 0.23095809 0.11361129 0.18567829 0 0 0.34197268 33.735313 1.0092597 0 12.391224 2.4418414 0 0.1364678 0 0 0 1.7392302 1.834513 0
"20120600_S3D_7" 14.101837 322.5214 171.67673 7.5122457 0.2015758 57.310043 12.338912 69.07607 95.279144 2.3440154 42.958935 0.8955243 3.768831 2.9260101 2.7810023 108.25033 225.87244 40.977722 4.9238787 1.3653866 86.46951 19.206469 3.6252062 1.0203265 21.561098 45.87957 50.10695 8.807663 1.9113734 83.65665 43.109497 24.092855 1.1825026 1.620073 105.658676 168.25461 7.1954665 3.4332178 78.03819 247.63129 2.4441214 0.23106529 37.968056 20.95074 2.1364055 1.7593368 61.56085 1.8883952 0.4685427 13.540652 10.274773 76.39595 34.02126 2.7389076 2.891659 5.70952 170.58578 10.3109 0.08267728 56.17484 4.3749228 0.32369524 33.78112 14.2494755 0.3407743 2.7337775 6.6125355 10.188387 0
"20120600_S2D_17" 0.09007843 20.528244 7.5204706 79.19865 10.232996 35.94228 1.4730636 0.95921034 76.695816 2.26445 13.646994 0.6425269 0 4.9343305 4.63043 1.6423246 50.445168 76.08003 4.3747916 1.000995 2.0274115 56.891342 29.34777 1.716901 0 0.061136246 14.633166 33.572147 13.635146 0.101660684 5.3788395 55.327446 5.8281765 3.8921087 0 0.3038456 3.934812 0.20855351 0.46532744 5.508983 49.18435 6.7215433 0.061658133 19.639854 11.430497 1.2229712 0.99373496 25.15052 3.006563 7.26056 4.900591 0 156.50938 3.777832 2.5218272 0 8.520518 5.201745 2.7519984 2.7685156 6.2329373 1.8059502 0 69.19161 0.7978387 1.2011526 0 9.547344 3.008707
"20140700_S11_5" 1.9236027 34.454674 5.988964 0.69442445 0 2.5067441 4.3275957 26.102463 32.932102 0.7821349 3.439153 0 0.7268897 0.13870078 0.13366947 27.46377 36.154453 2.1803708 0.40142804 0.07816728 66.35495 3.5406177 1.047008 0.16863637 2.721222 6.198113 3.939179 0.16457403 0 35.91323 4.5483975 5.944795 0.09960219 0.15123989 16.41231 12.817215 0.39345518 0.3670774 7.384255 15.488925 0.09955916 0 9.39797 0.40502772 0.08133539 0.05846347 11.387403 0.07540027 0 0.7462361 0.68656695 4.257061 0.0894015 0.17859258 0.17862187 0.34288147 8.169422 0.7411695 0 30.249525 0.08917375 0 6.0125976 0.49003273 0 0.27971786 4.9952393 0 0
"Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29" 4.2699924 16.64545 9.764464 0.81904584 0 1.6533766 0.29376444 1.6346499 2.037361 0 0.9087161 0 0.42249447 0.07457566 0.06633476 1.0850849 1.9638909 0.07426165 0 0 1.0747875 0.25530165 0 0 0.9292961 1.7950608 1.0658749 0.17102726 0 1.8955965 0.6940647 0.64322835 0 0 1.8377949 1.1956381 0.38835406 0.15514307 1.1320757 2.0803895 0.25848278 0 4.7218275 1.2078922 1.3089234 0 7.199591 0.45553586 0 0.78326243 0.056404125 1.948538 1.6896198 0.14997452 0.26455316 0 0.50483316 0.060498312 0 4.80534 0.5143367 0 2.564794 3.2071998 0.15085083 0.18535404 2.0642464 0.8471004 0
"20120700_S1D_43" 1.6474524 79.88391 5.2455516 7.9384055 1.1625028 16.148071 0.88545394 1.9665045 22.001862 0.44790238 5.188713 0 0.09617555 0.24256247 0.22693282 1.5712067 6.5292497 1.0804428 0.5389782 0 2.217433 3.1755173 0.7074363 0.10774337 0.1466827 0.703106 1.875308 1.214392 0.34755012 1.9038289 3.6617937 6.537031 0.3261297 0.2323682 0.9175008 3.6235723 1.1688243 0.29659003 2.0610454 10.936648 5.2690406 0.1499468 4.0329356 15.481522 6.846679 0.56023103 24.589876 7.08286 0.62070477 3.7922344 0.36028638 1.0611349 5.7105975 1.0138175 0.9739659 0 0.4378571 0.06999887 0 38.552853 19.137821 0.40993327 0.98152417 10.506314 0.8363372 0.6788341 1.7720991 11.919935 0.6432928
"20111000_S1D_14" 0.1474923 2.6391232 0.33402684 0.8986608 0.07590644 0.59580785 0 0.08233497 1.0408732 0 2.8809197 0 0 0.11948952 0.10946466 0 0 0 0.553624 0 0.11980567 0.459196 0 0 0 0.11506895 0.06459347 0 0.06108771 0.14491956 0.44047496 2.2369897 0.1700733 0 0.08877711 0.27835125 2.5654747 0.19714285 6.8572264 12.302423 0.907118 0.1844692 3.364759 6.6670957 11.382706 0.22199382 2.1489522 0.57519776 0 2.3028874 0.51190645 0 0 0.10420026 0 0 0 0 0 5.6318974 5.22413 0.10758666 0 0.14683719 0.2929626 0.22349322 1.9680009 1.9734353 0
"20170700_S33_22" 0.2817453 3.081055 4.0148306 2.3313673 0 0.092994645 0 1.09991 0.9986269 0 3.841061 0 0.16730918 0 0 0.09734166 0 0 0 0 1.1164917 1.0476065 0 0 12.843194 11.751029 6.0880795 3.214662 0.9299932 11.196473 2.0437014 1.7368616 0 0 2.405393 2.9490588 0.100858845 0.36447364 9.251645 48.45809 0.095182024 0 2.8072674 3.5433676 0 0 35.33915 0.68274313 0 0.26014742 0.81049687 0.26839727 0 0 0 0.19205913 7.7518225 0.8129698 0 10.837607 0.50724256 0 0 0 0 0 5.4996023 22.231903 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88" 0 2.104611 0.80458015 0 0 1.3092295 0 0 0.728225 0 0.17225446 0 0 0.23410197 0.24983555 0 3.9728408 0.48400018 0.65296006 0 1.5837848 0.17756207 0.12394258 0 0 0.6582953 0.61167955 0.6429379 0.23650537 0 0.14540479 0.087540604 0 0 0 0 0.36521906 0 1.3510765 2.9367783 0.2887824 0 0 0.05614516 0 0 0.12055437 0 0 0 0 0 0.8433754 0.4987146 0.19066627 0 0.25432914 0.39754742 0.48008657 0.37012452 0.18834539 0 0 3.3430738 0.7803568 0.2136094 0.47073632 0.09813632 0
"20170700_S33_37" 0 1.2672546 3.1215029 1.5318584 0.06030002 0.07283426 0 0 0.78029823 0 1.0653268 0 0 0.1770915 0.17427608 0 0.88253486 0 0 0 0.08394257 0.09379864 0 0 0 0 1.2843717 2.8808906 0.1966907 0 0.26028645 11.238398 0 0 0 0.3687425 0 0 0 2.3639214 0.3692278 0 0 1.7612233 0.45892733 0 3.7853537 0.28764355 0 0 0 0 0 0 0 0 0.4556009 0 0 0.5268344 2.6736941 0 0 0.16763462 0 0 0 11.317333 0
