"genome" "711_S-1-S" "711_S-1-M" "711_S-2-M" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_S-1-S" "713_S-1-M" "713_S-1-X0" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-3-S" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_S1_1-5" "715_S3_20-24" "715_S3_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5"
"20110800_S3S_11" 0 0 0 0 0.15869538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06268147 0 0 0 0
"20110800_S3S_8" 0.2912295 0 0 0 3.328212 0.057773598 0 0 0 0.4165052 0 0 0 0.14794786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_S3S_11" 0.28673056 0 0 0 0.9914723 0.061881516 0 0 0 0.09085051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10387079 0 0 0 0
"20111000_S3S_4" 0.12896667 0 0 0 7.0800815 0.10823727 0 0 0 0.3508086 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.107975 0 0 0 0 0.12842253 0 0 0 0
"20110800_S3S_21" 2.5391932 0 0 0 6.393447 0 0 0 0 1.6973757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18233676 0 0 0 0.33789316 0 0 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21" 7.1287518 0 0 0 3.8707879 0 0 0 0 1.4222833 0.056765284 0 0 0.22637445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32145938 0 0 0 0
"20120700_S1D_35" 0.0702951 0.6032883 0.14419243 0.31741872 5.157283 3.020156 3.4201193 0.2335626 0.7197125 0.49165326 0.21115418 0.1298378 0 0.684264 0.46890417 0.23540038 0.1684768 0.06167454 0.16556205 1.5683019 0 0.27175325 0.2550155 9.235929 0.7009918 0.2605051 0 0 0 0.25923258 0 1.5863924 0.37522906 1.4996063 0.09733004 0.19989 0.2821665
"Bog.Labelled.R1.T2.F1.trimmomatic.megahit_bin.69_82.85_0.58" 0 0 0 0 0.10854158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06628135 0 0.16713603 0.06350378 0 0 0 0 0.30330262 0 0 0 0.08673887 0 0 0
"20110800_S3S_2" 0.959567 0 0 0 5.283973 0.63216877 0 0 0 1.2828699 0.276121 0 0 0.9198284 0 0 0 0 0 0 0.06909488 0 0.18603759 0 0 0 0 0 0.28724316 0 0 0 0.6663058 0 0 0 0
"20111000_S3S_12" 0 0 0 0 5.3407855 0.11701723 0 0 0 0.121427074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_S3S_9" 0.6672934 0 0 0 9.995408 0.3389374 0 0 0.14046726 1.4242865 0.10994933 0 0 0.08283964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2517405 0 0 0 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.319_70.21_1.04" 0.5882223 0 0 0 5.5704136 0.13763274 0 0 0 2.1856956 0.066958725 0 0 0.3109956 0 0 0 0.05559753 0 0 0 0 0 0 0 0 0.17523083 0.19807796 0 0 0 0 0 0 0 0 0
"Bog.Labelled.R3.T1.F3.trimmomatic.megahit_bin.44_93.46_0.05" 2.9505582 0 0 0 1.3167459 0 0 0 0 0.8420753 0 0 0 0.07616366 0 0 0 0 0 0 0 0 0.06434745 0 0 0 0 0 0 0 0 0 0.11032044 0 0 0 0
"20110800_S3S_33" 4.9602456 0 0 0 7.593912 0.08019302 0 0 0 2.5546842 0 0 0 2.4832954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17240505 0 0 0 0.2501783 0 0 0 0
"20111000_S3S_5" 0 0 0 0 7.1624746 0.07912998 0 0 0 0.0758814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060388114 0 0 0 0 0 0 0 0 0 0
"Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.129_91.29_3.23" 0.0633285 0 0 0 0.92025894 0 0 0 0 0.34370667 0 0 0 0.34516117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10394973 0 0 0 0
"Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.185_88.24_2.99" 0 0 0 0 0.09229153 0 0 0 0 0 0 0 0 0.5847836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_S2S_6" 0.432644 0 0 0 2.6027792 0.08758658 0 0 0 0.7985907 0 0 0 0.28931278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.122_84.22_0.85" 6.255914 0 0 0 13.793223 0.638043 0.085040934 0 0 2.5601473 0.61691976 0.25345135 0.07184543 1.756892 0 0 0 0.07869395 0 0 0 0 0.6241492 0.059932634 0 0 0 0 0.95927787 0 0 0 1.6880398 0 0 0.08761249 0
"20111000_S3S_7" 1.2509276 0 0 0 6.0265093 0.31340066 0 0 0.13271129 1.9008085 0.08523919 0 0 0.46588472 0 0 0 0 0 0 0.066646144 0 0 0 0 0 0.08326138 0.106909074 0.17559394 0 0 0 0.4125244 0 0 0 0
"20120700_S1S_1" 3.4662905 0 0 0 24.566599 2.193662 0.0644572 0 0.11438541 5.3990726 0.30468735 0 0 3.6319115 0 0 0.11545057 0.20387451 0 0 0.7210374 0 1.9243706 0 0 0.058057558 0 0.07263512 1.8118103 0 0.10524095 0 1.1586245 0 0 0 0.1313264
"20111000_S3S_8" 0.42207527 0 0 0 7.775715 0.122059904 0 0 0 1.0473332 0 0 0 0.15223749 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0715139 0.21287602 0 0 0 0.2936597 0 0 0 0
"20110800_S1S_8" 0.29897264 0 0 0 10.182197 0.11407057 0 0 0 0.16906248 0 0 0 0.5097066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
