"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-2-D" "712_S-3-S" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-2-S" "713_S-2-M" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_S1_1-5" "715_S2_10-14" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.66_77.13_3.14" 2.537529 0.125244 0 0 0 0.086796805 0.1626122 0 0 1.4648652 0.8154381 0.12015543 0 0.2596366 0 3.5940053 0 0 0 0 0.5823026 0 0 2.0514407 0 0 13.569472 1.9179289 0.2153247 0 0 0 0 0 14.019214 0 0.09249785 0.085976444 0.13070823 0 0 0.11110666 10.945503 0.08969002 0 0.15723717 2.3148944 0
"Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.30_90.30_1.69" 0.5750453 0.098232396 0 0 0 0.10814577 1.0624361 0 0.2068689 1.0243654 0.8494527 0.06131702 0 0.7390893 0 3.3952298 0.10380521 0 0 0 1.7094715 0 0 6.239774 0.73203874 0 0.6274137 0.8536196 0.12141304 0 2.693118 0 0 0 2.9914734 0 0 0 0.16057564 1.1800171 0.18311477 0.87888503 2.2520566 0.056042675 0 0 2.08444 0
"Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.148_70.25_9.70" 0.7947759 0.32963827 0 0 0 0 0.19440658 0.10903154 0.086968236 1.7028788 0.26458117 0.17666416 0.10797924 0.2809358 0 6.773781 0.39821556 0.08305357 0 0 0.8773039 0.08070404 0 0.5802455 0.2701063 0 1.9208277 1.4824789 0.14247794 0 0.10010053 1.181679 0 0 5.701579 0.39684644 0 0 0.15327726 2.0492098 0.122760564 1.0351055 2.0799747 0 0 0 4.5569067 0
"20170700_S31_5" 0.27085358 0 0 0 0 0 0.34502015 0 0 1.2185308 1.0429572 0 0 0 0 11.466745 0.28020808 0.06532535 0 0 2.452165 0 0 2.490924 0 0 4.2160664 9.646267 0.77039546 0 0.5051542 0.062492702 0 0 4.741647 0 0 0 0.49880913 2.0443332 0.20529467 9.235877 4.648017 0 0 0 27.933372 0
"Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71" 0.6493673 0 0 0 0 0.28290376 3.4234576 0 0.13970663 1.0217514 0 0 0 1.573506 0 2.5438068 0.09739964 0 0 0 0.557533 0 0 3.8824215 0 0 1.6884514 2.3614194 0.13836269 0 6.539777 1.406406 0.12929827 0.49846077 0.23727307 0 0 0 0 0 0 0.60460097 0.083491646 0 0 0 6.8502083 0
"20170700_S31_11" 0.12067684 0 0 0 0 0 0 0 0 2.0696585 0 0 0 0 0 38.564632 0.20659529 0.16044988 0 0 6.180346 0 0 0.19230394 0 0 0.19593212 0.20807907 0 0 0 0 0 0 5.5786133 0 0 0 8.79739 1.4582876 0.72975904 0.76685154 3.123317 0 0 0 16.66955 0
"20160700_S11_1" 7.5985622 0 0 0 0 0 0 0 0 2.7519712 0 0 0 0 0 3.0231616 0 0 0 0 0 0 0 0.87088656 0 0 7.6483865 0.65453184 0.07495266 0 0.59782577 0 0 0 25.687458 0 0 0 0.10340977 0 0 0 2.052957 0 0 0 6.2521644 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.150_72.98_1.61" 0 0 0 0 0 0 0 0 0 0.87930024 0 0 0 0 0 0.79595625 0 0 0 0 0 0 0 0.12861335 0 0 0.34616286 0.12165733 0 0 0.6006433 0 0 0 1.2268742 0 0 0 0 0 0 0 0 0 0 0 0.4133709 0
"20150700_S21_2" 13.185906 0.30930197 0 0 0 0 0.087918654 0 0.06476304 10.465862 0.122236304 0 0 0 0 8.449515 0.5339726 0 0 0 0.44824234 0 0 13.779197 0 0 8.428376 1.1071508 0.4971258 0 4.665075 0 0.30482253 0.1335758 12.606514 0 0 0 1.0230551 0 0 0 25.591932 0 0 0 7.561294 0
"20140700_S21_6" 0.44488978 0.0976296 0 0 0 0 0.24384907 0 0.22415197 0.54158556 2.85232 0 0 0.1025187 0 2.1075206 0.54880285 0 0 0 2.8467107 0 0 32.049046 0.50101703 0 1.6829559 1.7690108 0.106918015 0 5.3458443 0.18755116 0.09724035 0.116640225 8.404347 0 0 0 0.9540521 0 0.0635841 1.2654955 8.640442 0 0 0 4.511758 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10" 0.09767602 0 0 0 0 0 0.12917612 0 0 0.540522 0.1487838 0 0 0 0 1.3684999 0.1284981 0 0 0 0.50373715 0 0 0.09354606 0 0 0.75267005 0.9747235 0.09352228 0 0 0 0 0 1.1549056 0 0 0 0.7527077 0 0 0.12249684 0.62580097 0 0 0 3.1421444 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.335_92.02_1.58" 1.5029188 0 0 0 0 0 0 0 0 0.87446195 0 0 0 0 0 2.0979638 0 0 0 0 0 0 0 0.32682133 0 0 2.4092069 1.3226709 0.26400942 0 1.8955361 0 0.06656864 0.08074971 1.8086195 0 0 0 0 0 0 0 0.9052873 0 0 0 0.5313206 0
