"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.199_96.50_2.76" 0 0 0 0 0 0 0.42363098 0 0 0 0 0 0 0.13934748 0 0 0 0 0.48141015 0 0 0 0 0 0 0 0.12055463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10175646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13249561 0
"Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.108_95.64_2.59" 0 0 0 0 0 0.73020416 1.0584073 0 0 0.06978757 0 0 0 2.636491 0.0564922 0 0 0 4.282214 0 0 0 0 0 0 0 0.96694833 0 0 0 0 0.5669035 0 0 0 0 0 0.50174993 0 0 0 0 0 0 0 0.98193395 0 0 0 0 0 0 0 0 0.31371924 0 0 0 0 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33" 0.49442565 2.242931 0.24114238 0.18224397 0.16874805 5.0686707 17.745487 3.0007663 0.310277 1.093767 0.66275775 0 0 5.0046115 5.8843613 0.24713868 0.14975624 0 14.326359 0.39180377 0.36628368 0 0.6716129 0.329034 0.20222333 0 4.8538175 0.4128903 0.5059742 0 0 2.4712741 1.7937596 0.1120168 0.45477137 1.2943242 0.51016533 2.2059221 0.07741378 0 0 0.98094326 0 0.37514198 0.25640354 1.2520176 0.17372166 0.08452845 0.06885027 1.0138483 0.9438567 0.16329621 0 0.68234354 0.55464333 0.49444756 0 0.06456865 3.215631 0
"20120700_S1D_64" 0 0.24399753 0 0 0 2.9800172 9.3408985 2.7490714 0.09877985 0.6762019 0 0 0 0.842095 0.63315785 0 0 0 3.8699472 0 0 0 0.06814066 0 0 0 4.3301063 0.25545797 0.12845217 0 0 2.4231617 0.60251933 0 0 0.083982036 0 2.0407226 0 0 0 0.7411318 0 0 0 0.7119356 0.20233172 0 0 0 1.373504 0 0 0.12060975 1.2444687 0.24848257 0 0 0.8581719 0
"Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.142_89.72_0.85" 0 2.369799 0.12163241 0.15070944 0.34566122 3.3687124 21.667282 11.652567 0.26134136 1.6547686 0.0573213 0 0 15.349674 18.438473 0.5090719 0.11169435 0 77.92762 1.700982 0.84417903 0.06442792 0 0.09680721 0.2012271 0 3.3296485 1.4102958 0.9388884 0 0 0.29038605 0.18229048 0 0 0.3579545 0.25976536 9.4934025 0.25662807 0 0 1.7328632 0.3962619 0.19433469 0.22971146 0 0.38773096 0.057402167 0 0 0.17660137 0 0.05866873 0.72556424 0 1.8363737 0 0 0.7334623 0.064312555
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.166_92.84_2.72" 0.08474455 1.7664996 0.11109734 0 0.06470673 0.9854678 3.3231215 1.7689477 0 0.38235003 1.1116638 0 0 2.0116942 7.297789 0 0 0 8.009112 0.061622716 0.076499864 0 1.9599025 0.85845673 0.057933822 0 1.8978387 0.10356583 0.08393224 0 0 0.17186113 0.5779231 0 0 4.136655 0.38990957 0.13822025 0 0 0 0.34230152 0 0 0 0 0 0 0 0 0.6217809 0 0 0.23962827 0.73722863 0 0 0 3.3352318 0
"20120700_S1D_79" 0 0.44722193 0.07791915 0 0.072776474 0.08616876 0.45033145 2.1315367 0 0.32073152 0 0 0 0.0861127 0.3326727 0 0 0 4.7241817 0.12236672 0.10878992 0 0 0 0.33596158 0 0.3194486 0.115070425 0.4411948 0 0 0 0 0 0 0.8417541 0.43134865 0.4860002 0.10768316 0 0 0.7835804 0.06754411 0.07463539 0.06286144 0 0 0 0 0 0 0 0 0.23046279 0 0 0 0 0 0
"Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.170_83.72_0.87" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8484004 0 0 0 0 0 0 0 0.34563553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09454897 0
"Bog.Labelled.R2.T1.F3.trimmomatic.megahit_bin.3_74.36_1.22" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2436507 0 0 0 0 0 0 0 0 0 0 0 0 0.11775583 0 0 0 0 0.33599123 0 0 0 0.073791504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07815145 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.340_100.00_1.76" 0.0743224 0 0 0.212967 0.2463944 2.335422 3.402564 2.2430599 0.26956087 2.7644603 0.2703439 0 0 0.5815327 0.4104315 0 0 0 5.4804635 0.27236933 0.3367754 0 0.4331295 0 0.16449931 0 1.2738867 0.15961464 0.55652225 0 0 0 0.06629078 0 0 0.38526845 0 0.15658301 0 0 0 0.22047141 0 0.52307576 0.31607604 0 0 0 0 0 0 0 0 0.30530864 0 0 0 0 2.6970482 0.5436034
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.56_97.76_1.08" 0 0 0 0 0 0.8147899 2.5186644 0.08296913 0 0.093723655 0.08916474 0 0 0.253668 0 0 0 0 1.21039 0 0 0 0.058227062 0 0 0 0.18882667 0 0 0 0 0.6997485 0 0 0 0.1102782 0 0.27696472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1017027 0 0 0 0.39088342 0
"20150700_E23_13" 0 0 0 0 0 0 0.36733997 0 0 0 0 0 0 1.3016173 0 0 0 0 1.003271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20140700_S11_7" 3.1924598 3.0635095 0.33096766 0.45755178 0.09998176 12.965291 94.87716 8.783761 0.6819562 3.8337705 2.689714 0.22633885 0.24054497 36.798943 31.28276 0.16059169 0.3590739 0.094523184 54.84061 3.18655 1.3441525 0.1715409 3.7496135 6.9434752 0.4690268 0.24083428 22.242027 3.703049 2.1702428 0.33907023 0.18454644 19.272913 0.19524065 0 0.13278787 3.8205502 3.2596772 70.10768 0.35227078 0.18417047 0.0751013 4.8921494 0.104768746 1.9415101 1.8068112 2.1006792 0.4361742 0.0696847 0.099468134 0 0.19384688 0 0 0.35714802 0.96844596 2.9497466 0 0 0.12321707 0
