"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_S1X_2" 0 0 0 27.333326 30.087034 1.1834937 0 0 1.7009497 112.31374 16.597145 245.51393 0 47.03925 45.62644 0 0.16113691 0.06039075 16.503408 45.485985 0.4172356 3.8592863 19.04285 118.92986 0 0 0 10.89367 10.445331 0.15315838 0 3.8303876 32.299797 134.52013 0 0 92.936226 0 0.0669526 0.25810784 3.7244043 20.519976 0 0.18265632 35.288994 300.66238 0 35.457092 65.95133 130.57895 225.8492 0 0.9968328 4.529673 53.304474 0 0.351406 47.62654 327.41873 0.09768493 2.6333914 54.04147 0 0.7052975 41.02613 107.400475 0 5.6067595 37.324505
"20140700_E14_11" 0.84263945 81.59489 18.37061 78.21133 24.880049 67.032745 2.3070405 2.1298466 125.070786 7.041183 60.30877 14.906096 0.36013493 95.65613 91.2802 1.0925215 44.784103 43.84174 26.524387 2.668171 11.702461 166.72937 69.69592 10.282737 1.2076867 22.46476 67.88573 67.04254 43.847668 2.6730597 17.724222 110.68796 29.757416 10.381242 0.96200234 9.337236 126.31214 0.93808234 12.058948 98.64754 130.597 85.435555 0.44094706 50.50719 47.313656 47.87366 23.807224 51.177937 5.5681086 39.359325 30.628222 0.12867737 90.46992 16.108034 7.4388213 0.43991324 75.14823 38.624073 15.1811285 54.88054 34.37817 8.220215 0 161.33986 164.88345 27.306013 1.6353276 61.658535 9.568839
"20110800_E3D_9" 0 0 0 19.973177 65.21221 4.602286 0 0 2.140859 48.763874 7.898729 35.101376 0 4.964069 4.7634764 0 0 0.8513293 26.07987 2.5812843 0.08143249 3.695228 18.944088 60.115875 0 0 0.33362976 2.8100922 6.2970223 0 0 4.1868935 41.2382 65.87759 0 0 10.354151 0 0 0.49056253 0.3191788 12.458854 0 0.98963475 23.402529 41.03171 0 12.785159 26.396774 20.067482 41.5129 0 0.84248954 33.85744 21.30834 0 0.39397573 12.358154 13.5622425 0.33654824 14.155605 44.162426 0 0.21885183 35.30621 19.94614 0 5.6106577 34.89795
"20110800_S1M_17" 0.081691384 9.426467 52.351063 45.57491 113.6724 0.91793656 0.1007199 0.06436779 2.8055687 98.62175 21.318163 46.2051 0 82.610016 79.973946 0 0.16999389 0.24829265 25.000507 1.7188593 0.09815812 4.361577 3.3252525 122.74737 0.24509075 2.45979 26.703089 82.33442 39.453278 0.13739863 0.5862179 24.143095 43.49877 145.70448 0 0.16644593 54.679356 0 1.3649322 5.4660306 1.7317358 20.458635 0.100028716 11.880236 197.56123 7.5585556 1.3225684 62.145348 50.29563 75.21129 45.10987 0 5.3772283 2.550657 26.16634 0 2.2707305 12.659613 122.46441 7.6929355 17.976343 216.41646 0 0.18702058 1.2674427 2.9914463 0.12031181 31.64708 193.10025
"20170700_S34_26" 0 0 0 1.0869297 7.321145 0 0 0 0.09753141 2.5105817 3.9510033 0 0 0 0 0 0 0 5.7936177 0 0 0 0 2.5604358 0 0 0 0 1.7828158 0 0 1.9647876 11.18388 2.2950747 0 0 15.044676 0 0 1.6425446 0 0.18439716 0 0 17.343908 0.15216008 0 0.5585896 0.325439 1.751204 1.3387486 0 0 1.7623651 0.14519209 0 0 1.8172711 0.8466646 1.4108787 6.7476835 8.286089 0 0 1.1365278 0.10805507 0 3.3841329 17.082745
"20140700_S15_2" 0.45239177 93.7978 10.713276 432.3134 212.21251 40.196045 2.9886055 1.9537803 154.1687 31.103115 57.61072 15.397142 0 74.87537 74.29195 1.3539997 75.66758 97.24556 8.014309 2.4961045 2.2867126 144.87862 244.32529 25.662313 0.43885443 0.70045584 68.77064 269.3064 49.918007 0.26531994 6.2971063 127.393005 88.481865 71.02553 0 1.4885705 50.555187 0.6971517 1.2448062 49.194798 115.02556 20.048294 0.40887073 60.590057 76.37536 7.923296 1.8955797 331.12717 31.52247 50.856762 32.505028 0 77.86946 8.319525 6.672748 0 2.4549675 7.8228207 47.63558 5.392793 13.96855 62.223305 0 58.758205 0.9573522 21.067015 0 91.95562 50.558975
"20170700_S25_36" 0.27480036 1.5370641 2.7653975 0.92509854 10.094126 3.1305795 0 0 0.47212556 2.270816 9.423493 1.6320628 0 3.078674 3.0174012 0.10107724 0.59391165 1.935848 66.79918 1.9597691 0.09337495 0.3054748 0.20044543 6.5413675 0.3860013 0.9473224 0.5723068 1.6857349 13.038473 0.40296188 0.2264754 4.385154 11.33621 10.094796 0.106474526 0.7341319 20.99748 0 0.66905165 2.1840992 0.22408196 1.7330754 0.266198 0.566763 17.918303 0.3781185 0.2197732 0.8449203 9.9310255 22.475208 4.7654524 0.12540635 0.48835668 9.182404 11.171342 0.05766351 4.1278105 17.636251 4.635299 2.2997336 7.5620704 12.614625 0 0.786697 4.1580095 18.049414 0.54051954 1.0321164 4.184082
"20170700_S33_33" 0 0 0 2.4476202 2.850482 0 0 0 0.6767009 0.6621782 0.32272947 0.8474075 0 0.35580072 0.31464505 0 0 0 1.3596535 0.26362553 0 4.295995 6.029559 1.1124275 0 0 0.19416197 0 0 0 0 2.3056238 2.7482872 1.9757109 0 0 0.7208573 0 0.14044477 0.68245345 0.31623077 0.37791058 0 1.0294131 2.7715526 0.85842025 0 6.7837477 1.7350506 2.5625126 1.3998948 0 0.056245133 0.16224965 0.17735781 0 0 0 0 0 4.3714933 4.3454666 0 0 0.15048122 0.43633986 0 4.9009633 3.9403203
"PLTW01" 0 2.9145148 2.6202192 5.841962 2.5670953 1.8502885 0.080224395 0 9.050518 0.495465 2.3157253 0.280139 0 0.92472595 0.9966794 0 0.45018175 0.8620057 1.5487254 0.08263967 0.11596032 11.973446 6.362173 0.6575905 0 0 1.0013243 1.5745158 0.5582383 0 0.3973076 4.9734163 1.6874129 0.3893839 0 0 3.8190112 0 0.09189243 2.3718727 1.5621032 0.9379014 0 2.5000565 2.183614 0.6834067 0 4.393241 0.6052336 1.5871419 0.81536895 0 0.9348815 0.31704852 0.115343496 0 0 0.07948581 0.72467417 0.14810225 2.3038273 0.8584776 0 2.7687345 0.9763549 0.43747282 0 3.476502 0.936553
"20110800_S3D_3" 0 1.7646115 8.1654825 0 6.797794 7.600386 0 0 0 0.8120164 3.003457 0.34835994 0 22.21389 23.909119 0 0 1.434656 33.01234 1.553277 0 0 0.45064074 2.8477218 0.29113936 3.5580375 4.454409 17.942938 32.198902 0 0 0.11919187 5.6893406 0.8111611 0 0 20.094229 0 0.37532863 2.8433182 0.061575126 9.784777 0 0 4.260293 0.6538529 0 0 0.64487773 8.188507 2.3096387 0.16930321 0.4662176 77.00591 32.89573 0.32931742 2.5518918 22.009003 24.284084 0.5372342 22.024706 2.6222444 0 0 24.140339 25.839733 0 2.8358364 2.62722
