"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"Bog.None.R1.T0.trimmomatic.megahit_bin.120_96.00_3.87" 0.07361154 2.407308 0 0 0 0 0.35905677 1.4489185 0.9331114 0 0.30442578 0 0.15574674 0 0 5.3612337 1.1973563 0 0 0 0.44161677 0 0 0 2.3495724 0.17814857 0 0 0 2.081412 0.31829762 0.084598415 0 0 0.5648141 1.1351483 0 0 1.2050318 0.3190744 0 0 1.3473003 0 0 1.9118983 0 0 0 0.19948491 0 0 0 0 0.6039145 0 0 0.5277419 0 2.5297322 0 0 0 0.9272011 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.11_92.47_4.06" 0.39968595 0.28191903 0 0 0 0 1.6848196 1.36779 0 0 0 0 1.061959 0 0 1.4460822 0 0 0 0 0.12123635 0 0 0 0.28552753 0 0 0 0 1.0155499 0 0 0 0 0.062104743 0.35026094 0 0 0 0 0 0 1.1285257 0.0829716 0 0.6848712 0 0 0 0.20915109 0 0 0 0.15408656 0.7717719 0 0 0 0 1.0525125 0 0 0 0.77536964 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.47_85.24_5.81" 0.8360681 0.8437752 0 0 0 0 0.8266853 3.9568915 0.12381928 0 0.15236837 0 0.71940655 0 0 4.47934 0.21723725 0 0 0 0.091574475 0 0 0 1.1769423 0 0 0 0 2.6429694 0.2659556 0 0 0 1.0440495 0.66232246 0 0 0.6155047 0 0 0 0.6422967 0 0 0.41298538 0 0 0 0.703294 0 0 0 0.12013473 0.06476396 0 0 0.12162999 0 1.020034 0 0 0 0.08622048 0
"20160700_E21_6" 0.42196587 0 0 0 0 0 0.13538533 1.0688562 0 0 0 0 0 0 0 0.9622637 0 0 0 0 0.074591696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11610336 0 0 0 0 0 0 0 0 0 0.48743606 0 0 0 0 0
"20111000_S3M_6" 1.856433 3.7076254 0.057375133 0.2733074 0 0 3.2462635 33.151176 0.99964416 0.095329516 2.6463683 0 2.2062426 0.07289134 0.06828804 24.352898 2.4185948 0 0 0 16.346544 0.14111196 0.16512688 0 9.684651 7.4867096 0.53519875 0.09477282 0.06862134 32.86905 0.645147 0.76926154 0.055873495 0 20.113098 4.353344 0.08078297 0.5736594 14.26529 11.711267 0 0 10.492773 0.18437965 0 11.512991 0 0.7014856 0.775318 11.526399 0 0 0 0 0.6397188 0.14734574 0 7.057888 0 6.3747416 0 0 0.060080625 15.380887 0.061248966
"Bog.None.R3.T0.trimmomatic.megahit_bin.383_96.18_3.47" 35.330933 0.0760967 0 0 0 0 11.267032 15.008673 0.08954845 0 0.15489762 0 12.858052 0 0 11.222749 0.24888566 0 0 0 12.016432 0 0 0 17.56105 0.4557312 0.107997805 0 0 11.240571 0 0.13797641 0 0 4.819292 0 0 16.655577 2.9417033 0.26988947 0 0 4.2121162 0 0 0 0 0.08498309 0.16609181 21.074745 0 0 0 14.174097 0 0 0 0.13159862 0 62.138454 0 0 0.08731306 5.4705777 0
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_94.77_0.93" 0.53286207 0 0 0 0 0 0 0 0 0 0 0 0.12515274 0 0 0.9384128 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43914118 0 0 0 0 1.1397343 0 0 0.20556055 0.16755538 0 0 0 0.05781757 0 0 0 0 0 0 0.06412406 0 0 0 0.075902276 0 0 0 0 0 0.26201484 0 0 0 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.235_87.61_3.54" 0.5329743 0 0 0 0 0 0.05913901 0 0 0 0 0 0.18989709 0 0 0.32090783 0 0 0 0 0.068674885 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4034433 0 0 0 0.12624772 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.094564155 0 0 0 0 0 0.16664809 0 0 0 0 0
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77" 0 0.33576187 0 0 0 0 0.8728406 0.22075647 0.06533961 0 0.095944 0 0 0 0 0.08837383 0 0 0 0 0.23259574 0 0 0 0 0.06402454 0 0 0 4.1449323 0 0.058596097 0 0 1.3006582 0.39243042 0 0 0.6686615 0.07915867 0 0 0.064236745 0 0 0.09466598 0 0 0 0.6162251 0 0 0 0.5762115 0.10642673 0 0 0.12326364 0 0.51350206 0 0 0 1.4689567 0
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.74_92.32_2.91" 1.2637078 0 0 0 0 0 0.56758875 0.14830133 0 0 0 0 0.8557016 0 0 0.19588597 0 0 0 0 0.9319431 0 0 0 0.0998975 0 0 0 0 0.078184135 0 0 0 0 0.3250175 0 0 0.10058023 0 0 0 0 0.07911445 0 0 0 0 0 0 0.3186768 0 0 0 0 0 0 0 0 0 0.39730558 0 0 0 0 0
"Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.40_93.84_3.50" 7.4246616 0.07666923 0 0 0 0 0.8190175 7.792783 0 0 0.12607224 0 3.2370193 0 0 3.9621794 0 0 0 0 0.21938406 0 0 0 1.9627864 0 0 0 0 3.0640376 0 0 0 0 4.70883 0 0 1.0706836 0.17007141 0 0 0 2.8238811 0 0 0 0 0 0 2.273826 0 0 0 1.9908956 0 0 0 0 0 8.219783 0 0 0 0.98386467 0
"Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.4_95.88_2.80" 2.2793953 0.25003174 0 0 0 0 0.19761431 1.4849893 0.115724 0 0 0 0.6858675 0 0 1.0823317 0.33829755 0 0 0 0.75335157 0 0 0 0.470637 0 0 0 0 0.3878344 0 0 0 0 0.7542028 0 0 0.1832596 0 0 0 0 0.641615 0 0 0 0 0 0 4.5419593 0 0 0 3.6756945 0 0 0 0 0 2.394762 0 0 0 0.5011925 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.85_97.01_0.10" 1.0972815 0 0 0 0 0 0.3353529 0.4207373 0 0 0 0 0.42100802 0 0 0.1994784 0 0 0 0 0.22110981 0 0 0 0.16129023 0 0 0 0 0 0 0 0 0 0 0 0 0.15241963 0 0 0 0 0 0 0 0 0 0 0 0.13357738 0 0 0 0 0 0 0 0 0 0.5547337 0 0 0 0 0
"Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25" 3.508312 0 0 0 0 0 1.7401763 6.310297 0 0 0.14507008 0 2.753865 0 0 1.9539878 0.24376422 0 0 0 1.7105777 0 0 0 2.3381634 0.06285319 0 0 0 0.67962813 0 0 0 0 0.92621547 0 0 0.3746491 0.3083983 0.2814609 0 0 2.1636558 0 0 0 0 0 0 1.8622065 0 0 0 0.654025 0 0 0 0.2397635 0 2.4987085 0 0 0 1.6717885 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.22_74.64_1.66" 0.16462849 0.25100303 0 0 0 0 0.41460863 0.99004066 0 0 0 0 0.35998797 0 0 0.3142471 0.11103788 0 0 0 0.7516955 0 0 0 0.27472502 0 0 0 0 0.25851586 0 0 0 0 0.21532466 0 0 0.2691747 0.1407589 0 0 0 0.1848503 0 0 0 0 0 0 0.26501873 0 0 0 0 0 0 0 0 0 0.33915815 0 0 0 0.056380898 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.355_93.52_0.93" 0.059875324 0 0 0 0 0 0.45928133 1.7394147 0 0 0 0 0.52234685 0 0 2.7068334 0 0 0 0 1.2938322 0 0 0 0.212221 0 0 0 0 0.2107899 0 0 0 0 0.5185551 0 0 0.5802691 0 0 0 0 0.11113583 0 0 0 0 0 0 0.23035093 0 0 0 2.140408 0 0 0 0 0 3.1134207 0 0 0 0.37540844 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.289_96.76_2.78" 0.42480546 0.14247026 0 0 0 0 0.44726333 2.1392872 0.29599068 0 0 0 0.121645875 0 0 0.6656647 0.31797487 0 0 0 0.2261041 0 0 0 0.06910395 0 0 0 0 0.6405041 0 0 0 0 0.61334276 0.115168616 0 0 0 0 0 0 0.22969708 0 0 0.8127383 0 0 0 0.12145002 0 0 0 0 0 0 0 0 0 1.4357314 0 0 0 0.12241618 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.63_96.30_0.08" 1.2540078 0 0 0 0 0 0.17824398 1.9855027 0 0 0 0 0.68642384 0 0 0.8241375 0 0 0 0 1.7132154 0 0 0 0.1514045 0 0 0 0 0 0 0 0 0 0 0 0 0.4472081 0 0 0 0 0.6144019 0 0 0 0 0 0 0.47953138 0 0 0 0 0 0 0 0 0 0.6246963 0 0 0 0 0
