"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08" 2.539774 0.07574343 0 0 0 0 0.19136818 4.277931 0 0 0.36204994 0 5.126599 0 0 2.9230952 0 0 0 0 0 0 0 0 0.74814934 0 0 0 0 7.836293 0 0 0 0 1.4405593 0.7031365 0 0 0 0 0 0 1.1736557 0 0 0 0 0 0 0 0 0 0 7.858618 0.52021825 0 0 0 0 1.14697 0 0 0 0.1597703 0
"3300037349_9" 0.45979038 0 0 0 0 0 0.29797798 2.2745755 0 0 0.39698008 0 0.4645838 0 0 3.7474442 0 0 0 0 5.039716 0 0 0 1.1124158 0.0810029 0 0 0 6.3026304 0 0.087746054 0 0 9.206541 0 0 0 0.51635206 0 0 0 8.553114 0 0 0.15086706 0 0 0.06672559 0.9976699 0 0 0 0.077180184 0.11344552 0.0901133 0 0.20715865 0 10.475621 0 0 0.11046039 3.2134557 0
"Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.151_70.18_0.00" 0.8779891 0 0 0 0 0 0.8559897 2.5423841 0 0 0 0 1.5895681 0 0 2.898903 0.057849687 0 0 0 0.43106517 0 0 0 0.59474164 0 0 0 0 1.068316 0 0 0 0 1.6118778 0.24480289 0 0.7923012 0.18976612 0 0 0 0.8835283 0 0 0 0 0 0 1.204209 0 0 0 1.6615874 0 0 0 0 0 3.8959336 0 0 0 0.58719635 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35" 9.024635 0.057699353 0 0 0 0 0.3309607 6.198663 0 0 0.2463703 0 3.7323017 0 0 1.0136572 0 0 0 0 1.5147759 0 0 0 3.1399283 0 0 0 0 1.7387344 0 0 0 0 1.535318 0 0 1.0819048 0.09127799 0 0 0 1.1402876 0 0 0.08839848 0 0 0 2.464244 0 0 0 3.5547862 0 0 0 0 0 2.473921 0 0 0 0.24954559 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98" 3.010524 0 0 0 0 0 1.2229985 1.5689731 0 0 0.07460295 0 3.041762 0 0 0.3873493 0 0 0 0 0.9134958 0 0 0 8.217334 0.07229412 0 0 0 1.0645922 0 0 0 0 0.42659727 0.2923547 0 0.64968497 0.07207807 0 0 0 1.0929332 0 0 0.31192496 0 0 0 0.32973427 0 0 0 3.3040333 0.3058409 0 0 0.07759164 0 2.9390478 0 0 0 1.5374575 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.358_74.42_8.60" 0.9819697 0 0 0 0 0 0.057129495 0.66258514 0 0 0 0 0.5590198 0 0 0.16138871 0 0 0 0 0.23777308 0 0 0 1.531368 0 0 0 0 0.08293776 0 0 0 0 0.2771625 0 0 0 0.1409882 0 0 0 0.58682597 0 0 0 0 0 0 0.37076455 0 0 0 0.1480882 0 0 0 0 0 1.0240922 0 0 0 0.61583215 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.344_99.28_6.76" 0.142849 0.16558598 0 0 0 0 0.11902065 0.4836872 0.20534758 0 0 0 0.35929537 0 0 0.73481864 0.52529186 0 0 0 0.90546477 0 0 0 1.9726857 0.19600415 0 0 0 0.5819704 0.059063043 0 0 0 0.38731962 0.15267593 0 0 0.40952697 0.07322624 0 0 0.33950514 0 0 0.15168168 0 0 0 0.16957673 0 0 0 0 0.15414459 0 0 0 0 2.7089314 0 0 0 0.32834792 0
"3300037342_8" 1.8934392 0 0 0 0 0 0 0 0 0 0.121439576 0 1.7124639 0 0 1.3194681 0 0 0 0 0 0 0 0 1.6321024 0 0 0 0 0.82489055 0 0 0 0 2.3627362 0 0 0.21144581 0.06291517 0 0 0 0.5434629 0 0 0 0 0 0 1.1143999 0 0 0 0 0 0 0 0 0 13.241756 0 0 0 0.07596608 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70" 2.8306158 0 0 0 0 0 0 0.4099881 0 0 0.21604796 0 0.15623759 0 0 4.3152742 0.1940851 0 0.07941034 0 0 0 0 0 0.314705 0 0 0 0 2.0517898 0 0 0 0 2.636845 0 0 0.117769964 0.060792323 0 0 0 2.1179721 0 0 0 0 0.061158195 0 1.1045299 0 0 0 1.1619314 0 0 0 0 0 2.9462924 0 0 0 0.16106167 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05" 3.5221083 0 0 0 0 0 0.6731189 4.11059 0 0 0.111612074 0 4.3523707 0 0 0.989112 0 0 0 0 0.30578777 0 0 0 0.36403024 0 0 0 0 1.3910779 0 0 0 0 1.4847604 0 0 0 0 0 0 0 0.11360412 0 0 0.20285885 0 0 0 0.31869867 0 0 0 0 0 0 0 0 0 0.39120772 0 0 0 0 0
