"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120600_P2M_9" 0 0 0 0 0 0 0 0 0 0 0 0 0.10618429 0 0 0.11861193 0 0 0 0 0 0 0 0 0.76849794 0 0 0 0 0.08307227 0 0 0 0 0.6549621 0 0 0.46654066 0.27962634 0 0 0 0 0 0 0 0 0 0 0 0 0.64613813 0 0 0 1.0592872 2.3700998 0.07229407 0 0 0 0 0.47029582 0 0 0 0.4379795 0 0
"20130700_S3M_11" 0 0.43952256 0 0 0 0 0 0.42137808 0 0 1.3964431 0 0 0 0 0.20624705 0.13367096 0 0 0 0.3654742 0 0 0 4.5146775 7.643964 0.4161113 0.07909004 0 2.8584762 0 0 0 0 1.9049633 0.21972543 0 0.117601745 5.711125 8.115759 0 0 0.31896806 0 0 0 4.229077 0 0 0 0.06839187 1.9977231 0 0 0 0.7697214 39.350536 2.9919746 0 4.646508 0 0 0.3919384 0 0 0 3.3822167 0.5139597 0
"20110800_S3S_35" 0.52937806 0 0 0 0 0 0.27384567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.070171446 0 0 0.21572222 0.253522 0 0 0 0 0 0 0 0 0 0 0 0 0.12670541 0 0 0 1.2473203 0 0 0 0 0 0 0.35970345 0 0 0 0 0 0
"Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.56_91.47_0.17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18073528 0 0 0.608254 0.060143627 0 0 0 0 0 0 0 0 0 0 0 0 0.11144768 0 0 0 1.1675404 0 0 0 0 0 0 0 0 0 0 0.056501668 0 0
"20150700_P14_7" 0.27731478 0 0 0 0 0 0 0 0 0 0 0 0.31792977 0 0 0.36824867 0 0 0 0 0 0 0 0 1.9480672 0.05659559 0 0 0 0.16711059 0 0 0 0 1.0989604 0 0 4.987751 0.79554373 0.15848726 0 0 0.16371757 0 0 0 0 0 0 0 0 12.401368 0 0 0 12.937034 0.3297716 0.14916457 0 0.09153033 0 0 2.562844 0 0 0 2.2447486 0 0
"20120600_E2D_21" 0.12664104 0 0 0 0 0 0 0 0 0 0 0 0 2.3071585 2.484186 0 0 0 0 0 0 0 0 0 0.24535449 0 0 0 0 0 0 0 0 0 0.09257391 0 0 0.14250967 0.124906056 0.074821755 0 0 0 0 0 0 0 0 0 0 0 0.36058593 0 0 0 0.11339826 0 0 0 0 0 0 0 0 0 0 0.09131575 0 0
"20150700_P15_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05609232 0 0 0 1.8986093 0 0 0 0 0 0 0 0 0 0 0 0 0
"Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31992337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.3943121 0 0 0 0 0 0 0 0 0 0 0 0 0
"20140700_S31_9" 0.3073499 0 0 0 0 0 0 0 0 0 0 0 0.49354786 0 0 0 0 0 0 0 0 0 0 0 1.4739091 0 0 0 0 0 0 0 0 0 0 0 0 14.951449 1.1410158 0.24309011 0 0 0 0 0 0 0 0 0 0 0 2.0221972 0 0 0 4.2164574 0 0 0 0 0 0 0 0 0 0 6.387197 0 0
"20110600_P3S_5" 0.13600962 0 0 0 0 0 0.31358284 0 0 0 0 0 0.30099696 0 0 0 0 0 0 0 0 0 0 0 0.17526251 0 0 0 0 0 0 0 0 0 0.63557214 0 0 4.583351 0.59547716 0 0 0 0 0 0 0 0 0 0 0 0 1.3474599 0 0 0 24.690811 0 0.13358344 0 0 0 0 0 0 0 0 1.8944865 0 0
