genome,slp,etc,aerobic
20100900_E3D_9,4,4,TRUE
20100900_E3S_1,3,4,TRUE
20110600_E1D_1,4,2,FALSE
20110600_E1D_2,0,1,FALSE
20110600_E1M_1,4,5,TRUE
20110600_E1M_2,3,4,TRUE
20110600_E2D_1,4,4,TRUE
20110600_E2D_2,3,4,TRUE
20110600_E2D_3,4,5,TRUE
20110600_E2D_4,4,5,TRUE
20110600_E2D_5,3,5,TRUE
20110600_E2D_6,1,1,FALSE
20110600_E3D_1,4,4,TRUE
20110600_E3D_2,3,4,TRUE
20110600_E3D_3,0,1,FALSE
20110600_E3D_4,4,5,TRUE
20110600_E3D_5,4,4,TRUE
20110600_E3M_1,4,4,TRUE
20110600_E3M_2,1,0,FALSE
20110600_E3M_3,3,5,TRUE
20110600_E3M_4,3,5,TRUE
20110600_E3M_5,0,1,FALSE
20110600_E3S_1,4,5,TRUE
20110600_E3S_2,4,5,TRUE
20110600_E3S_3,1,1,FALSE
20110600_E3S_4,2,1,FALSE
20110600_E3S_5,2,4,TRUE
20110600_E3S_6,4,4,TRUE
20110600_E3S_7,3,3,TRUE
20110600_P1D_1,3,5,TRUE
20110600_P1D_10,4,5,TRUE
20110600_P1D_11,3,5,TRUE
20110600_P1D_12,3,5,TRUE
20110600_P1D_2,2,4,TRUE
20110600_P1D_3,3,5,TRUE
20110600_P1D_4,3,4,TRUE
20110600_P1D_5,3,4,TRUE
20110600_P1D_6,3,4,TRUE
20110600_P1D_7,1,1,FALSE
20110600_P1D_8,3,4,TRUE
20110600_P1D_9,3,5,TRUE
20110600_P1M_1,4,3,TRUE
20110600_P1M_10,3,4,TRUE
20110600_P1M_11,1,2,FALSE
20110600_P1M_12,4,5,TRUE
20110600_P1M_13,3,4,TRUE
20110600_P1M_14,3,5,TRUE
20110600_P1M_15,4,4,TRUE
20110600_P1M_16,3,3,TRUE
20110600_P1M_17,4,5,TRUE
20110600_P1M_18,3,3,TRUE
20110600_P1M_19,3,5,TRUE
20110600_P1M_2,3,4,TRUE
20110600_P1M_20,2,4,TRUE
20110600_P1M_21,3,4,TRUE
20110600_P1M_22,3,4,TRUE
20110600_P1M_23,3,3,TRUE
20110600_P1M_24,3,4,TRUE
20110600_P1M_25,4,4,TRUE
20110600_P1M_3,4,4,TRUE
20110600_P1M_4,2,3,TRUE
20110600_P1M_5,4,4,TRUE
20110600_P1M_6,3,5,TRUE
20110600_P1M_7,2,3,TRUE
20110600_P1M_8,4,5,TRUE
20110600_P1M_9,4,4,TRUE
20110600_P2S_1,3,3,TRUE
20110600_P2S_2,4,4,TRUE
20110600_P2S_3,4,4,TRUE
20110600_P3S_1,3,3,TRUE
20110600_P3S_10,3,3,TRUE
20110600_P3S_11,3,5,TRUE
20110600_P3S_12,3,4,TRUE
20110600_P3S_13,3,5,TRUE
20110600_P3S_14,4,3,TRUE
20110600_P3S_2,3,5,TRUE
20110600_P3S_3,3,4,TRUE
20110600_P3S_4,4,3,TRUE
20110600_P3S_5,3,3,TRUE
20110600_P3S_6,3,3,TRUE
20110600_P3S_7,3,5,TRUE
20110600_P3S_8,4,4,TRUE
20110600_P3S_9,3,5,TRUE
20110600_S1D_1,4,5,TRUE
20110600_S1D_10,4,4,TRUE
20110600_S1D_11,3,5,TRUE
20110600_S1D_12,4,4,TRUE
20110600_S1D_13,4,4,TRUE
20110600_S1D_14,3,2,FALSE
20110600_S1D_15,4,5,TRUE
20110600_S1D_16,4,4,TRUE
20110600_S1D_17,4,5,TRUE
20110600_S1D_18,3,5,TRUE
20110600_S1D_19,4,4,TRUE
20110600_S1D_2,4,5,TRUE
20110600_S1D_20,3,3,TRUE
20110600_S1D_21,3,4,TRUE
20110600_S1D_22,4,4,TRUE
20110600_S1D_3,4,4,TRUE
20110600_S1D_4,4,3,TRUE
20110600_S1D_5,3,4,TRUE
20110600_S1D_6,3,4,TRUE
20110600_S1D_7,3,4,TRUE
20110600_S1D_8,4,5,TRUE
20110600_S1D_9,4,4,TRUE
20110600_S1M_1,4,5,TRUE
20110600_S1M_10,3,4,TRUE
20110600_S1M_11,4,5,TRUE
20110600_S1M_12,2,4,TRUE
20110600_S1M_13,3,5,TRUE
20110600_S1M_14,3,5,TRUE
20110600_S1M_15,4,4,TRUE
20110600_S1M_16,4,4,TRUE
20110600_S1M_17,4,4,TRUE
20110600_S1M_18,4,5,TRUE
20110600_S1M_19,4,4,TRUE
20110600_S1M_2,3,4,TRUE
20110600_S1M_20,3,4,TRUE
20110600_S1M_21,3,4,TRUE
20110600_S1M_3,3,4,TRUE
20110600_S1M_4,3,5,TRUE
20110600_S1M_5,3,5,TRUE
20110600_S1M_6,3,4,TRUE
20110600_S1M_7,3,3,TRUE
20110600_S1M_8,3,4,TRUE
20110600_S1M_9,4,4,TRUE
20110600_S1S_1,3,5,TRUE
20110600_S1S_10,4,3,TRUE
20110600_S1S_11,4,5,TRUE
20110600_S1S_12,3,4,TRUE
20110600_S1S_2,3,4,TRUE
20110600_S1S_3,3,3,TRUE
20110600_S1S_4,4,4,TRUE
20110600_S1S_5,4,4,TRUE
20110600_S1S_6,4,4,TRUE
20110600_S1S_7,4,3,TRUE
20110600_S1S_8,3,4,TRUE
20110600_S1S_9,4,4,TRUE
20110600_S2D_1,4,5,TRUE
20110600_S2D_10,1,1,FALSE
20110600_S2D_11,4,4,TRUE
20110600_S2D_12,3,3,TRUE
20110600_S2D_13,3,2,FALSE
20110600_S2D_14,4,4,TRUE
20110600_S2D_15,4,4,TRUE
20110600_S2D_16,4,5,TRUE
20110600_S2D_17,3,5,TRUE
20110600_S2D_18,3,3,TRUE
20110600_S2D_2,4,5,TRUE
20110600_S2D_3,3,4,TRUE
20110600_S2D_4,3,4,TRUE
20110600_S2D_5,3,4,TRUE
20110600_S2D_6,2,5,TRUE
20110600_S2D_7,4,3,TRUE
20110600_S2D_8,3,5,TRUE
20110600_S2D_9,3,5,TRUE
20110600_S2M_1,3,4,TRUE
20110600_S2M_2,4,4,TRUE
20110600_S2M_3,4,5,TRUE
20110600_S2M_4,3,4,TRUE
20110600_S2M_5,4,5,TRUE
20110600_S2M_6,4,5,TRUE
20110600_S2M_7,4,4,TRUE
20110600_S2M_8,3,4,TRUE
20110600_S2M_9,3,5,TRUE
20110600_S2S_1,3,4,TRUE
20110600_S2S_2,3,4,TRUE
20110600_S2S_3,3,4,TRUE
20110600_S2S_4,4,4,TRUE
20110600_S2S_5,3,5,TRUE
20110600_S2S_6,4,5,TRUE
20110600_S3D_1,3,4,TRUE
20110600_S3D_10,3,3,TRUE
20110600_S3D_11,4,3,TRUE
20110600_S3D_2,4,4,TRUE
20110600_S3D_3,2,4,TRUE
20110600_S3D_4,3,4,TRUE
20110600_S3D_5,4,4,TRUE
20110600_S3D_6,3,4,TRUE
20110600_S3D_7,3,4,TRUE
20110600_S3D_8,3,5,TRUE
20110600_S3D_9,4,5,TRUE
20110600_S3M_1,4,4,TRUE
20110600_S3M_10,4,4,TRUE
20110600_S3M_11,3,4,TRUE
20110600_S3M_12,3,5,TRUE
20110600_S3M_13,3,5,TRUE
20110600_S3M_14,4,5,TRUE
20110600_S3M_15,1,1,FALSE
20110600_S3M_16,1,1,FALSE
20110600_S3M_17,4,5,TRUE
20110600_S3M_18,3,3,TRUE
20110600_S3M_19,4,3,TRUE
20110600_S3M_2,4,4,TRUE
20110600_S3M_20,3,1,FALSE
20110600_S3M_21,3,4,TRUE
20110600_S3M_3,3,4,TRUE
20110600_S3M_4,3,4,TRUE
20110600_S3M_5,3,4,TRUE
20110600_S3M_6,2,5,TRUE
20110600_S3M_7,4,5,TRUE
20110600_S3M_8,3,4,TRUE
